epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.032137994,0.011837591,0.17272326,0.4653691,0.06767456054687501,10.0,0.0,0.03787244,-1.7462006,-47.5109,0.07500000204890966,1.0,0.07500000204890966,20.0,0.037500000558793545,0.9984693877551021,0.037500000558793545
1,0.032255728,0.01175448,0.1923595,0.4282324,0.06736572265625,20.0,0.0,0.040111244,-2.2897322,-48.737637,0.05000000074505806,1.0,0.05000000074505806,40.0,0.03125000046566129,0.9998724489795918,0.03125000046566129
2,0.032253813,0.011714923,0.20255817,0.39851916,0.041705322265625,30.0,0.0,0.032942463,-2.9433465,-48.73778,0.05000000074505806,1.0,0.05000000074505806,60.0,0.03750000102445483,0.9996173469387756,0.03750000102445483
3,0.032279644,0.0117279645,0.2053557,0.37315857,0.022900390625,40.0,0.0,0.036651224,-3.718608,-49.350906,0.037500000558793545,1.0,0.037500000558793545,80.0,0.0437500006519258,0.9994897959183674,0.0437500006519258
4,0.032322325,0.011700235,0.20445617,0.35493442,0.02796142578125,50.0,0.0,0.041960925,-4.605362,-51.217613,0.0,1.0,0.0,100.0,0.0062500000931322575,0.9998724489795918,0.0062500000931322575
5,0.032277353,0.011693353,0.20230086,0.33828756,0.020321044921875003,60.0,0.0,0.028663378,-5.2716236,-49.364304,0.037500000558793545,1.0,0.037500000558793545,120.0,0.037500000558793545,0.9997448979591836,0.037500000558793545
6,0.032260686,0.011691294,0.2005653,0.3264486,0.015230712890625001,70.0,0.0,0.023793874,-5.9471974,-49.37623,0.037500000558793545,1.0,0.037500000558793545,140.0,0.02500000037252903,0.9997448979591836,0.02500000037252903
7,0.032231096,0.011691498,0.19967835,0.3168093,0.016715087890625,80.0,0.0,0.027023932,-6.8627706,-49.99199,0.02500000037252903,1.0,0.02500000037252903,160.0,0.018750000279396772,0.9994897959183674,0.018750000279396772
8,0.03220182,0.011679357,0.19829269,0.30812675,0.016026611328125002,90.0,0.0008371087023988366,0.036712505,-7.3764944,-50.048992,0.02500000037252903,1.0,0.02500000037252903,180.0,0.03125000046566129,1.0,0.03125000046566129
9,0.032214694,0.011706593,0.1994099,0.30233634,0.02977294921875,100.0,0.00523735664319247,0.04803712,-8.187346,-50.765854,0.012500000186264515,1.0,0.012500000186264515,200.0,0.06875000102445483,0.9998724489795918,0.06875000102445483
10,0.03221131,0.011707378,0.19981569,0.29639566,0.02229248046875,110.0,0.0,0.0313439,-8.731919,-49.999718,0.02500000037252903,1.0,0.02500000037252903,220.0,0.056250003166496754,1.0,0.056250003166496754
11,0.032206807,0.011685179,0.19888467,0.29125968,0.042652587890625,120.0,0.04098146269097924,0.12248433,-9.484138,-51.45808,0.012500000186264515,1.0,0.012500000186264515,240.0,0.04375000158324838,0.9991071428571429,0.04375000158324838
12,0.032242443,0.011685754,0.19784492,0.28703105,0.057021484375,130.0,0.026345435995608568,0.08901512,-10.44607,-50.463585,0.02500000037252903,1.0,0.02500000037252903,260.0,0.04375000111758709,0.9993622448979592,0.037500000558793545
13,0.032243732,0.011683895,0.19645458,0.2821658,0.05041259765625,140.0,0.009390024468302727,0.060310893,-10.262286,-47.062084,0.08750000316649675,1.0,0.08750000316649675,280.0,0.037500000558793545,0.9998724489795918,0.037500000558793545
14,0.032211997,0.01168404,0.19467956,0.27800798,0.0628369140625,150.0,0.015978237526724115,0.08740756,-11.19915,-49.767548,0.03750000149011612,1.0,0.03750000149011612,300.0,0.06875000335276127,0.9998724489795918,0.06875000335276127
15,0.03220108,0.011679529,0.19214296,0.27416396,0.07240844726562501,160.0,0.033028129022568464,0.14919245,-11.621864,-50.253082,0.037500000558793545,0.9997448979591836,0.037500000558793545,320.0,0.03750000102445483,0.9989795918367347,0.03750000102445483
16,0.032200832,0.011686153,0.18926151,0.2706551,0.058293457031249996,170.0,0.04128212854266167,0.17265835,-12.170549,-51.017685,0.02500000037252903,0.9994897959183673,0.02500000037252903,340.0,0.03125000046566129,0.9996173469387755,0.03125000046566129
17,0.032189764,0.0116936015,0.18600656,0.26700866,0.05134033203125,180.0,0.10563519,0.31199995,-11.693228,-51.722717,0.037500000558793545,0.9974489795918368,0.037500000558793545,360.0,0.031250000931322575,0.9988520408163266,0.031250000931322575
18,0.032174964,0.011697807,0.1832909,0.26373813,0.06514892578125,190.0,0.10245955,0.35509253,-12.145071,-51.777,0.037500000558793545,0.9997448979591836,0.037500000558793545,380.0,0.06250000232830644,0.9988520408163266,0.06250000232830644
19,0.032169823,0.011702457,0.18104523,0.2612785,0.058615722656249994,200.0,0.16768104,0.502538,-11.924802,-53.381046,0.02500000037252903,0.9994897959183674,0.02500000037252903,400.0,0.04375000111758709,0.9985969387755103,0.04375000111758709
20,0.032175772,0.011709502,0.18013653,0.25987458,0.073211669921875,210.0,0.09333417,0.37313455,-11.740086,-49.843018,0.06250000186264515,0.9989795918367347,0.06250000186264515,420.0,0.03125000046566129,0.9993622448979592,0.03125000046566129
21,0.03218397,0.011707055,0.17938168,0.2583887,0.086644287109375,220.0,0.13776512,0.4193554,-12.332359,-52.440445,0.037500000558793545,0.9987244897959184,0.037500000558793545,440.0,0.05000000121071935,0.9997448979591836,0.05000000121071935
22,0.032163043,0.011701309,0.17874452,0.2589457,0.08635620117187501,230.0,0.09532583,0.42425567,-12.305879,-51.783596,0.037500000558793545,0.9997448979591836,0.037500000558793545,460.0,0.06875,0.9997448979591836,0.06875
23,0.032194186,0.01170084,0.17732733,0.2567517,0.102080078125,240.0,0.08728231,0.35287562,-12.877176,-50.256374,0.06250000093132257,0.9987244897959184,0.06250000093132257,480.0,0.02500000037252903,1.0,0.02500000037252903
24,0.03220636,0.011707698,0.17606527,0.2701202,0.10912841796875,250.0,0.1064083,0.48192215,-13.731238,-52.775116,0.02500000037252903,1.0,0.02500000037252903,500.0,0.04375000111758709,0.9993622448979592,0.04375000111758709
25,0.032212626,0.011707901,0.17528005,0.26829386,0.089088134765625,260.0,0.104712576,0.5189103,-13.497137,-53.61566,0.012500000186264515,0.9984693877551021,0.012500000186264515,520.0,0.075,0.9998724489795918,0.075
26,0.032204866,0.011702286,0.17476723,0.26692867,0.068255615234375,270.0,0.098288625,0.43772924,-12.292122,-51.613068,0.050000001676380634,0.9987244897959184,0.050000001676380634,540.0,0.06250000232830644,0.9982142857142857,0.06250000232830644
27,0.032198522,0.011700963,0.17369682,0.26483318,0.08654296875,280.0,0.10206081,0.43934447,-12.995583,-53.4329,0.02500000037252903,0.9989795918367347,0.02500000037252903,560.0,0.03750000102445483,0.9993622448979593,0.03750000102445483
28,0.03219354,0.011704191,0.17262918,0.2653192,0.082313232421875,290.0,0.051439844,0.29788834,-11.224192,-48.709,0.1000000024214387,1.0,0.1000000024214387,580.0,0.03125000046566129,0.999234693877551,0.03125000046566129
29,0.032201406,0.011704929,0.17140935,0.26378483,0.065709228515625,300.0,0.03569139,0.21990739,-9.593283,-51.824387,0.012500000186264515,1.0,0.012500000186264515,600.0,0.03750000009313226,0.9987244897959184,0.03750000009313226
30,0.032198425,0.011707952,0.17020467,0.2620533,0.107637939453125,310.0,0.023380522150546312,0.2504838,-9.604855,-50.409054,0.037500000558793545,1.0,0.037500000558793545,620.0,0.03750000102445483,1.0,0.03750000102445483
31,0.032197922,0.011708071,0.16903147,0.26584667,0.11202148437500001,320.0,0.021532785,0.24346593,-9.996088,-50.256577,0.037500000558793545,0.9994897959183673,0.037500000558793545,640.0,0.05000000121071935,0.999107142857143,0.05000000121071935
32,0.032201212,0.011709089,0.16803864,0.26451445,0.09900634765625,330.0,0.026619816,0.2904003,-9.580814,-51.148277,0.02500000037252903,0.999234693877551,0.02500000037252903,660.0,0.037500000558793545,0.9994897959183673,0.037500000558793545
33,0.032212514,0.011708776,0.16743942,0.263142,0.093394775390625,340.0,0.047190167,0.2717474,-11.176662,-50.947178,0.037500000558793545,0.9989795918367347,0.037500000558793545,680.0,0.03750000102445483,0.9989795918367347,0.03750000102445483
34,0.032197695,0.011712673,0.1666308,0.2615698,0.09217163085937499,350.0,0.021551657933741808,0.17646445,-11.967051,-50.324486,0.037500000558793545,1.0,0.037500000558793545,700.0,0.08125000447034836,0.9989795918367347,0.08125000447034836
35,0.03220311,0.011710865,0.16605541,0.26060426,0.07437744140625,360.0,0.020125594,0.17778638,-11.592611,-49.026775,0.06250000186264515,1.0,0.06250000186264515,720.0,0.06250000046566129,1.0,0.06250000046566129
36,0.032216366,0.011708909,0.16609074,0.25976196,0.09667724609375,370.0,0.04423225,0.17267972,-12.529346,-50.21375,0.050000001676380634,0.999234693877551,0.050000001676380634,740.0,0.08125000121071935,1.0,0.08125000121071935
37,0.032212745,0.011706891,0.16575943,0.25857082,0.113245849609375,380.0,0.033894226,0.19435662,-11.95817,-51.26203,0.02500000037252903,0.9997448979591836,0.02500000037252903,760.0,0.03125000046566129,0.9997448979591836,0.03125000046566129
38,0.032215387,0.0117080435,0.16564286,0.2578649,0.098109130859375,390.0,0.026716065,0.13804932,-14.13008,-51.042107,0.02500000037252903,1.0,0.02500000037252903,780.0,0.06875000335276127,0.9996173469387755,0.06875000335276127
39,0.03220372,0.011705397,0.16574477,0.2571782,0.079434814453125,400.0,0.0035041013688896783,0.07283085,-12.970238,-49.73307,0.03750000149011612,1.0,0.03750000149011612,800.0,0.05625000176951289,1.0,0.05625000176951289
40,0.032200407,0.011708448,0.16585535,0.25647646,0.073001708984375,410.0,0.014215132337994874,0.11461744,-12.439362,-50.003174,0.037500000558793545,1.0,0.037500000558793545,820.0,0.06250000093132257,1.0,0.06250000093132257
41,0.032202065,0.011705988,0.1662359,0.25605017,0.064764404296875,420.0,0.016669564211042598,0.14033322,-12.110693,-49.751648,0.05000000074505806,1.0,0.05000000074505806,840.0,0.03750000102445483,1.0,0.03750000102445483
42,0.032206576,0.011705059,0.16650015,0.25548035,0.06952514648437501,430.0,0.023642403539270163,0.19724777,-12.027354,-48.72425,0.07500000111758709,1.0,0.07500000111758709,860.0,0.0437500006519258,0.9994897959183673,0.0437500006519258
43,0.03220827,0.011705542,0.16730587,0.25736162,0.069910888671875,440.0,0.01556658186018467,0.2760715,-9.896758,-49.81672,0.05000000074505806,0.9997448979591836,0.05000000074505806,880.0,0.043750000186264515,0.9993622448979591,0.043750000186264515
44,0.032210503,0.01170113,0.16740973,0.25672162,0.08942626953125,450.0,0.02001623,0.17580076,-9.925297,-46.02433,0.12500000093132257,1.0,0.12500000093132257,900.0,0.02500000037252903,0.9998724489795918,0.02500000037252903
45,0.032213908,0.011700592,0.16733861,0.25622547,0.12181640625000001,460.0,0.021673629,0.1895336,-11.176832,-50.960655,0.02500000037252903,0.9984693877551021,0.02500000037252903,920.0,0.05000000074505806,0.9989795918367348,0.05000000074505806
46,0.03220807,0.011700113,0.16705337,0.25526088,0.15189208984375002,470.0,0.012269429164007306,0.123535514,-12.169205,-46.88587,0.10000000055879354,0.9997448979591836,0.10000000055879354,940.0,0.05625000037252903,0.9996173469387755,0.05625000037252903
47,0.03220311,0.011701264,0.16714998,0.25453508,0.14960571289062502,480.0,0.021889992,0.2780402,-10.3101635,-51.67238,0.012500000186264515,1.0,0.012500000186264515,960.0,0.05625000083819032,0.9980867346938775,0.05625000083819032
48,0.03220659,0.011700618,0.16778705,0.25470147,0.13197998046875,490.0,0.016595416,0.21692224,-9.501847,-46.61357,0.11250000447034836,1.0,0.11250000447034836,980.0,0.05625000037252903,0.9996173469387755,0.05625000037252903
49,0.03219402,0.011703181,0.16807346,0.2545209,0.11639404296875,500.0,0.026515696954447776,0.26646677,-11.369877,-48.685894,0.07500000111758709,0.9987244897959184,0.07500000111758709,1000.0,0.05625000037252903,0.9989795918367347,0.05625000037252903
50,0.03219514,0.011702943,0.16806257,0.26958194,0.127762451171875,510.0,0.01444651503697969,0.20545228,-11.863556,-48.305557,0.07500000204890966,1.0,0.07500000204890966,1020.0,0.03750000102445483,0.9996173469387755,0.03750000102445483
51,0.03219453,0.011697478,0.16876294,0.27028117,0.127076416015625,520.0,0.015080171,0.22306389,-11.946473,-49.148964,0.06250000093132257,0.9994897959183673,0.06250000093132257,1040.0,0.025000000838190317,0.9991071428571429,0.025000000838190317
52,0.032195684,0.01169455,0.16930982,0.28314823,0.120634765625,530.0,0.0257531,0.29591078,-11.582767,-51.98793,0.012500000186264515,0.9997448979591836,0.012500000186264515,1060.0,0.03750000009313226,1.0,0.03750000009313226
53,0.032187846,0.01169532,0.16988835,0.28534046,0.117529296875,540.0,0.03283701,0.30115423,-12.306639,-51.666035,0.02500000037252903,1.0,0.02500000037252903,1080.0,0.037500000558793545,0.9993622448979592,0.037500000558793545
54,0.032181878,0.011695669,0.1709255,0.28786713,0.150799560546875,550.0,0.02173286,0.22347367,-12.30291,-51.937218,0.012500000186264515,1.0,0.012500000186264515,1100.0,0.06250000232830644,1.0,0.06250000232830644
55,0.032186907,0.011691914,0.17152661,0.28773776,0.138798828125,560.0,0.019034778233617544,0.15131278,-13.064707,-50.21128,0.037500000558793545,1.0,0.037500000558793545,1120.0,0.06250000232830644,0.9998724489795918,0.06250000232830644
56,0.032186646,0.011692806,0.17259414,0.2882566,0.11325683593750001,570.0,0.048226293,0.32429922,-13.273042,-48.570946,0.0875000013038516,1.0,0.0875000013038516,1140.0,0.07500000158324838,0.9998724489795918,0.07500000158324838
57,0.032184083,0.011692672,0.17373307,0.2934041,0.13650146484375,580.0,0.03801829041913152,0.257672,-14.074305,-51.400692,0.037500000558793545,0.9997448979591836,0.037500000558793545,1160.0,0.018750000279396772,0.9994897959183673,0.018750000279396772
58,0.032179527,0.011694894,0.17436022,0.29327017,0.155450439453125,590.0,0.015758864436065778,0.15942028,-15.836208,-51.49411,0.012500000186264515,1.0,0.012500000186264515,1180.0,0.03125000046566129,0.9997448979591836,0.03125000046566129
