# {"t_start": 1647184010.6773696, "env_id": "CheolFingersManipulate-v1"} 
r,l,t
-51.514178,50,39.595022
-51.306448,50,39.883251
-51.296667,50,40.138566
-51.263581,50,40.397872
-51.28328,50,40.67114
-51.266372,50,40.943412
-51.2717,50,41.202718
-51.256475,50,41.46402
-51.266044,50,41.748257
-51.256205,50,42.022524
-51.27498,50,79.677738
-51.24654,50,79.948013
-51.276099,50,80.214301
-51.247664,50,80.470616
-51.243158,50,80.730918
-51.239073,50,80.996208
-51.229052,50,81.256512
-51.254722,50,81.519806
-51.279604,50,81.778116
-51.277372,50,82.044402
-51.24091,50,119.660721
-51.2879,50,119.976874
-51.20353,50,120.278067
-51.226538,50,120.537375
-51.222388,50,120.793688
-51.2281,50,121.063965
-51.229305,50,121.322273
-51.245654,50,121.582577
-51.241221,50,121.847866
-51.21007,50,122.127118
-51.26671,50,159.630737
-51.263039,50,159.897026
-51.281184,50,160.165307
-51.2907,50,160.442565
-51.250837,50,160.704863
-51.272185,50,160.964169
-51.282845,50,161.226467
-51.278354,50,161.486771
-51.27118,50,161.75605
-51.248722,50,162.022337
-51.729696,50,199.917906
-51.160362,50,200.180204
-51.224289,50,200.444496
-51.230205,50,200.711782
-51.299883,50,200.976074
-51.220477,50,201.236377
-51.236248,50,201.513635
-52.270598,50,201.78491
-51.18518,50,202.053191
-51.36659,50,202.316487
-51.199236,50,240.350193
-51.220024,50,240.614485
-51.242873,50,240.872795
-51.37831,50,241.144068
-51.192732,50,241.410355
-51.237027,50,241.669662
-51.215435,50,241.926974
-51.220486,50,242.192263
-51.232071,50,242.459547
-51.209111,50,242.733813
-51.270291,50,280.755047
-51.241484,50,281.01535
-51.194723,50,281.274656
-51.2068,50,281.533962
-51.261256,50,281.800249
-51.205254,50,282.065539
-51.240796,50,282.325843
-51.190115,50,282.6031
-51.247156,50,282.871382
-51.199692,50,283.136672
-51.209209,50,321.424194
-51.224244,50,321.710428
-51.19519,50,321.969733
-51.181478,50,322.231034
-51.353137,50,322.491337
-51.194574,50,322.757625
-51.222733,50,323.021917
-51.213225,50,323.286209
-51.197357,50,323.552497
-51.212952,50,323.818785
-51.189352,50,362.184101
-54.772191,50,362.470334
-51.376373,50,362.738616
-51.168925,50,362.996926
-51.182329,50,363.258227
-51.228264,50,363.520525
-53.564766,50,363.792795
-51.046149,50,364.061078
-51.647729,50,364.330357
-51.121425,50,364.591656
-51.220801,50,402.617882
-51.241032,50,402.886163
-51.245138,50,403.157436
-51.244629,50,403.426225
-51.211781,50,403.684534
-51.231263,50,403.953813
-9.420545,50,404.264979
-51.027443,50,404.538249
-51.180392,50,404.823485
-51.279629,50,405.104731
-51.180414,50,443.322443
-51.191904,50,443.582746
-51.236039,50,443.855019
-51.237914,50,444.110334
-51.23496,50,444.379615
-51.226742,50,444.648893
-51.222374,50,444.926151
-51.20793,50,445.215378
-51.23348,50,445.513579
-51.220311,50,445.800811
-52.025805,50,483.986608
-51.124575,50,484.248905
-51.220932,50,484.509209
-51.187066,50,484.764526
-51.238606,50,485.02483
-51.23301,50,485.292113
-51.216012,50,485.553414
-51.201473,50,485.825686
-1.5868,50,486.090975
-51.146664,50,486.377208
-51.248542,50,524.600905
-51.223638,50,524.860211
-51.213518,50,525.118519
-52.472608,50,525.385803
-51.145242,50,525.647105
-51.464307,50,525.90641
-51.181204,50,526.166713
-51.197579,50,526.45195
-51.201477,50,526.72123
-51.32742,50,526.9935
-51.209201,50,565.35383
-51.145545,50,565.63408
-51.382306,50,565.899372
-51.545803,50,566.17264
-1.889915,50,566.42696
-55.74376,50,566.734137
-51.819007,50,566.994441
-51.223896,50,567.257736
-51.172468,50,567.526017
-51.404569,50,567.807264
-53.453632,50,606.456821
-51.104848,50,606.731085
-57.714081,50,607.033277
-55.243649,50,607.3235
-54.019816,50,607.645638
-51.083588,50,607.903946
-53.515804,50,608.210128
-51.106577,50,608.469433
-51.232211,50,608.746691
-1.214509,50,609.013976
-58.734317,50,647.612668
-55.910524,50,647.926826
-59.440292,50,648.238991
-51.086285,50,648.503284
-58.872411,50,648.806472
-55.869501,50,649.093704
-55.327792,50,649.392903
-55.727105,50,649.705067
-20.877043,50,650.030198
-56.360654,50,650.338373
-52.565833,50,689.024829
-53.119322,50,689.302087
-51.013192,50,689.581341
-54.848915,50,689.906469
-52.556082,50,690.196693
-51.802993,50,690.467967
-52.349469,50,690.760185
-54.63394,50,691.099278
-52.314961,50,691.379528
-50.985171,50,691.668754
-3.204817,50,730.303349
-55.101415,50,730.601552
-51.157663,50,730.864846
-51.209891,50,731.127144
-52.142584,50,731.405401
-2.856358,50,731.683654
-52.046201,50,731.971883
-51.219654,50,732.242161
-52.869936,50,732.564299
-52.754123,50,732.861502
-51.121169,50,771.43925
-2.979488,50,771.702545
-61.838438,50,772.001744
-50.067168,50,772.275013
-51.331504,50,772.542298
-52.166628,50,772.822547
-52.165723,50,773.108782
-55.097994,50,773.423938
-2.302145,50,773.699201
-51.308075,50,773.967484
-51.978922,50,812.808526
-51.301259,50,813.0798
-52.282476,50,813.36005
-56.493476,50,813.657255
-51.301271,50,813.919553
-55.535948,50,814.222742
-52.293893,50,814.502992
-57.143978,50,814.809172
-51.946355,50,815.095406
-53.126064,50,815.37765
-52.304054,50,854.301977
-54.505936,50,854.601177
-52.870158,50,854.859486
-52.703269,50,855.143725
-56.2671,50,855.449905
-51.117409,50,855.708214
-52.155136,50,855.980484
-55.063121,50,856.286665
-51.269586,50,856.561928
-51.478122,50,856.835196
-52.348484,50,895.383024
-52.13109,50,895.64632
-51.940457,50,895.913604
-2.642568,50,896.171913
-51.010807,50,896.445182
-2.747909,50,896.702494
-52.164649,50,896.978753
-53.149557,50,897.249032
-52.184486,50,897.545237
-52.378477,50,897.831472
-51.15356,50,936.522422
-51.245138,50,936.792699
-51.85479,50,937.058986
-52.239678,50,937.323278
-60.613157,50,937.620484
-51.115801,50,937.925667
-1.241529,50,938.188961
-51.230032,50,938.451305
-52.886239,50,938.76542
-1.156684,50,939.032704
-51.23138,50,978.207852
-51.290019,50,978.528994
-52.168885,50,978.839164
-52.064781,50,979.186235
-51.667511,50,979.521338
-52.106745,50,979.830509
-52.533989,50,980.133699
-52.76786,50,980.463816
-52.107778,50,980.882694
-52.890798,50,981.165936
-51.224784,50,1020.005981
-51.127364,50,1020.298198
-1.231954,50,1020.582438
-54.216231,50,1020.868672
-57.570591,50,1021.156901
-52.272702,50,1021.435156
-65.636496,50,1021.711416
-53.874215,50,1022.002637
-51.162882,50,1022.274908
-51.304282,50,1022.546183
-2.382514,50,1061.050128
-51.018856,50,1061.312473
-58.900547,50,1061.611624
-59.060448,50,1061.916809
-3.422837,50,1062.192072
-6.731043,50,1062.456365
-53.165488,50,1062.731628
-2.313792,50,1063.004897
-63.636579,50,1063.320054
-58.322277,50,1063.627231
-51.15324,50,1102.039421
-55.362839,50,1102.329645
-53.115653,50,1102.615878
-52.551662,50,1102.900119
-53.672639,50,1103.186352
-52.377749,50,1103.446656
-51.092642,50,1103.711944
-54.814743,50,1103.986211
-51.209978,50,1104.27045
-54.65432,50,1104.559676
-51.189205,50,1143.028716
-52.432453,50,1143.296998
-54.056864,50,1143.571262
-51.517978,50,1143.835557
-51.260446,50,1144.10284
-51.470276,50,1144.372121
-65.223467,50,1144.669325
-52.121726,50,1144.943591
-54.564269,50,1145.241791
-52.713504,50,1145.521044
-51.563133,50,1183.719806
-53.575646,50,1184.015017
-70.927835,50,1184.330173
-54.825922,50,1184.612419
-51.219233,50,1184.870726
-52.035365,50,1185.133024
-51.061006,50,1185.394325
-52.168172,50,1185.677568
-53.797274,50,1185.968788
-52.993447,50,1186.254025
-51.659666,50,1224.616349
-51.594439,50,1224.895601
-51.280914,50,1225.155904
-51.402156,50,1225.417204
-53.441974,50,1225.675513
-51.263099,50,1225.933824
-57.536065,50,1226.217064
-53.432268,50,1226.493324
-51.59146,50,1226.762604
-51.332655,50,1227.026898
-51.375744,50,1265.246604
-51.244016,50,1265.511893
-51.422318,50,1265.770201
-51.33304,50,1266.029556
-51.27341,50,1266.28981
-56.386763,50,1266.583026
-51.413807,50,1266.845325
-51.165626,50,1267.111611
-51.426693,50,1267.38089
-52.853441,50,1267.667124
-52.726906,50,1305.459973
-51.12072,50,1305.720276
-51.284929,50,1305.977589
-51.385538,50,1306.243875
-51.220305,50,1306.50717
-51.258103,50,1306.769469
-51.405903,50,1307.032763
-52.627334,50,1307.300049
-52.272456,50,1307.570325
-51.37101,50,1307.849578
-51.386108,50,1346.044351
-51.605618,50,1346.307646
-56.807255,50,1346.57493
-51.478691,50,1346.843212
-51.260234,50,1347.100523
-51.232323,50,1347.364816
-51.621065,50,1347.630106
-51.665534,50,1347.90138
-51.218951,50,1348.167668
-51.667418,50,1348.438942
-52.651835,50,1386.450205
-53.70927,50,1386.749404
-51.844624,50,1387.006716
-52.735058,50,1387.274
-51.914106,50,1387.535301
-51.915387,50,1387.797599
-51.566275,50,1388.058899
-52.594262,50,1388.352115
-51.297295,50,1388.622391
-52.100744,50,1388.897655
-52.343385,50,1427.302866
-51.928593,50,1427.575136
-52.075859,50,1427.84641
-51.963522,50,1428.114693
-2.089637,50,1428.376989
-51.620277,50,1428.641326
