# {"t_start": 1646118522.477594, "env_id": "CheolFingersManipulate-v1"} 
r,l,t
-51.666901,50,43.797832
-51.026107,50,44.260592
-52.487355,50,44.772221
-51.847385,50,45.27188
-50.927026,50,45.734639
-51.045899,50,46.222332
-51.151286,50,46.723987
-61.747834,50,47.316399
-51.075591,50,47.907814
-51.24277,50,48.414455
-51.215825,50,90.681402
-51.207977,50,91.158753
-50.831016,50,91.627047
-51.048252,50,92.101604
-51.176424,50,92.577053
-50.748881,50,93.049333
-51.036726,50,93.522766
-50.936044,50,93.988545
-51.472223,50,94.455894
-51.257854,50,94.914165
-51.116695,50,136.242143
-50.724174,50,136.714449
-51.024676,50,137.193839
-51.277811,50,137.6713
-51.406402,50,138.162764
-50.964312,50,138.641162
-50.968121,50,139.111466
-50.897276,50,139.582787
-51.15581,50,140.055138
-51.00628,50,140.519228
-51.12554,50,181.808292
-51.224857,50,182.286814
-50.54522,50,182.762258
-50.572587,50,183.22561
-50.638291,50,183.687935
-50.914873,50,184.156246
-51.286243,50,184.629628
-50.947275,50,185.114056
-52.070631,50,185.625079
-50.748599,50,186.086155
-50.766829,50,227.6153
-50.601301,50,228.105098
-50.786582,50,228.565521
-50.973921,50,229.019828
-51.426643,50,229.478153
-50.64116,50,229.939563
-50.949271,50,230.3969
-51.261951,50,230.872299
-50.962672,50,231.332708
-51.069342,50,231.78688
-50.778662,50,273.087766
-50.901368,50,273.546085
-50.706726,50,273.99934
-51.143375,50,274.466756
-50.931839,50,274.937209
-50.858705,50,275.403691
-50.921163,50,275.87306
-50.66462,50,276.351751
-50.863281,50,276.809083
-50.634717,50,277.277463
-50.790438,50,318.741638
-50.74292,50,319.234222
-51.006082,50,319.72888
-50.465169,50,320.208784
-50.717134,50,320.680209
-50.924109,50,321.151504
-50.803996,50,321.617739
-50.903317,50,322.078061
-51.033373,50,322.549434
-50.534231,50,323.009589
-58.400203,50,365.18012
-53.622568,50,365.673517
-51.043588,50,366.134812
-50.905326,50,366.602155
-50.752087,50,367.088706
-55.644971,50,367.729329
-50.929627,50,368.216777
-55.111184,50,368.718139
-52.791277,50,369.236681
-50.981905,50,369.704814
-0.951015,50,411.650711
-51.072266,50,412.099937
-50.609428,50,412.558154
-50.798174,50,413.023516
-50.970892,50,413.490844
-51.058621,50,413.952125
-53.767654,50,414.470713
-50.914522,50,414.935984
-51.308358,50,415.52448
-50.930955,50,415.990819
-50.467717,50,457.78878
-50.87652,50,458.247013
-50.97943,50,458.709393
-50.7139,50,459.16966
-0.771648,50,459.643057
-50.9988,50,460.130133
-50.952961,50,460.595428
-51.152201,50,461.064742
-50.889487,50,461.533966
-50.963271,50,461.999225
-50.743857,50,503.752589
-1.902293,50,504.207667
-51.023444,50,504.677012
-50.552251,50,505.139419
-50.728937,50,505.619027
-50.747343,50,506.097372
-50.821719,50,506.564772
-51.036215,50,507.035137
-51.066785,50,507.49766
-51.167237,50,507.956765
-51.163169,50,549.780166
-50.480364,50,550.244202
-54.887588,50,550.808254
-50.859041,50,551.274296
-50.911722,50,551.740661
-51.336976,50,552.206965
-50.887148,50,552.675292
-51.01533,50,553.147696
-50.879392,50,553.614036
-51.008834,50,554.071195
-50.716463,50,595.463233
-26.78242,50,595.932563
-50.688161,50,596.394829
-51.043304,50,596.861174
-51.948544,50,597.358767
-51.156798,50,597.828097
-50.839356,50,598.294426
-51.143004,50,598.75986
-51.059947,50,599.230362
-50.818159,50,599.69524
-50.651276,50,641.342218
-1.649794,50,641.78744
-50.939709,50,642.237638
-51.035456,50,642.685803
-50.912142,50,643.153143
-50.894599,50,643.622553
-51.096621,50,644.078775
-51.050686,50,644.545085
-50.56404,50,645.008363
-51.109018,50,645.470572
-50.997993,50,687.069815
-50.728787,50,687.589345
-50.869248,50,688.060758
-50.927475,50,688.527199
-50.884503,50,688.999635
-1.355801,50,689.474666
-51.254465,50,689.949114
-50.817335,50,690.433638
-51.093629,50,690.929014
-1.067701,50,691.387975
-50.688576,50,732.913344
-51.34449,50,733.380826
-51.017761,50,733.853176
-51.070717,50,734.312577
-51.129021,50,734.769882
-51.343512,50,735.283833
-51.127392,50,735.823946
-51.096897,50,736.290241
-51.06352,50,736.756616
-51.024143,50,737.212836
-51.053637,50,779.564094
-50.531634,50,780.022294
-56.990638,50,780.533789
-50.67722,50,780.992152
-37.374575,50,781.494682
-51.330255,50,781.957077
-50.922735,50,782.420387
-51.053523,50,782.886759
-50.784678,50,783.466026
-50.404603,50,783.954475
-51.371092,50,825.741857
-51.214712,50,826.281417
-50.66598,50,826.778168
-51.420846,50,827.35343
-51.025828,50,827.886658
-50.674415,50,828.37014
-50.579253,50,828.852646
-51.09696,50,829.334164
-51.095273,50,829.806617
-50.665638,50,830.263474
-50.805568,50,871.683898
-50.754192,50,872.137294
-50.837632,50,872.591515
-50.344898,50,873.04779
-6.528793,50,873.569609
-50.729053,50,874.055082
-50.625149,50,874.518292
-50.600313,50,874.990669
-50.916337,50,875.465185
-50.680423,50,875.933335
-50.921414,50,918.00514
-51.063713,50,918.455373
-50.520099,50,918.90661
-50.587956,50,919.357921
