# {"t_start": 1646602113.764177, "env_id": "CheolFingersManipulate-v1"} 
r,l,t
-144.708724,50,45.140404
-203.035713,50,45.652881
-184.483426,50,46.144197
-146.770374,50,46.652614
-158.454485,50,47.187354
-170.153072,50,47.712903
-157.348697,50,48.247554
-152.372366,50,48.741453
-146.967276,50,49.234904
-158.263733,50,49.758515
-61.609419,50,93.165183
-17.535355,50,93.686806
-150.596703,50,94.168279
-52.253306,50,94.737111
-95.95632,50,95.218428
-122.158509,50,95.717896
-65.800883,50,96.244554
-186.830782,50,96.735978
-94.678585,50,97.248656
-169.000736,50,97.736006
-189.347378,50,140.591989
-105.982023,50,141.109487
-160.571248,50,141.59386
-164.123821,50,142.093316
-168.819891,50,142.629022
-166.972348,50,143.130491
-169.239524,50,143.63754
-173.135323,50,144.221399
-147.749507,50,144.730891
-183.292726,50,145.226443
-90.340906,50,187.853822
-150.338041,50,188.344194
-50.431848,50,188.796447
-162.404332,50,189.287803
-50.237157,50,189.818415
-50.480646,50,190.260626
-128.144179,50,190.778185
-89.937202,50,191.267576
-61.13392,50,191.767061
-150.047659,50,192.273309
-137.994087,50,234.801737
-57.067626,50,235.270093
-50.196553,50,235.712209
-163.234847,50,236.20768
-50.115857,50,236.644808
-50.318648,50,237.08609
-126.735064,50,237.572447
-50.13617,50,238.01467
-121.987927,50,238.51316
-56.861021,50,238.97647
-169.652642,50,281.349809
-50.148711,50,281.788991
-0.161597,50,282.231161
-61.945353,50,282.715653
-50.118182,50,283.163887
-50.126407,50,283.604089
-50.124017,50,284.058464
-57.072855,50,284.526871
-75.014234,50,285.006821
-58.892363,50,285.51034
-50.156078,50,327.350358
-50.131833,50,327.791577
-50.161189,50,328.240882
-50.144532,50,328.683097
-50.124223,50,329.12545
-50.21374,50,329.576805
-50.158902,50,330.019125
-50.138011,50,330.465526
-50.142084,50,330.91278
-50.183713,50,331.356002
-50.146278,50,373.095275
-50.160356,50,373.553676
-50.109623,50,373.998978
-50.123443,50,374.444288
-50.108745,50,374.890563
-50.108357,50,375.366076
-50.114593,50,375.817347
-0.101714,50,376.263483
-50.110434,50,376.721841
-50.12273,50,377.173047
-0.130932,50,418.459723
-50.099915,50,418.908972
-50.132141,50,419.351138
-50.111673,50,419.802571
-50.109448,50,420.256153
-50.098085,50,420.723981
-50.881428,50,421.173453
-50.101153,50,421.627717
-50.075945,50,422.076991
-50.116321,50,422.534173
-50.121974,50,463.775881
-50.128841,50,464.219108
-50.145059,50,464.666449
