epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.032320336,0.011776773,0.10988018,0.39439714,0.08420654296874999,10.0,2.930496,0.891396,-3.3046527,-144.75551,0.6,0.34795918367346934,0.0,20.0,0.23750001,0.6549744897959183,0.0
1,0.032188896,0.011710821,0.10546218,0.33814415,0.048574218749999995,20.0,1.9192996,0.7822819,-3.1527934,-105.82203,0.57500005,0.6400510204081632,0.037500000558793545,40.0,0.26875,0.7681122448979592,0.012500000186264515
2,0.03212489,0.011666893,0.104372226,0.33473873,0.0683642578125,30.0,2.6522634,0.9076586,-2.4573088,-129.11185,0.58750004,0.5579081632653061,0.012500000186264515,60.0,0.30625,0.8834183673469387,0.0062500000931322575
3,0.032014806,0.011696361,0.103238635,0.3158504,0.04322265625,40.0,2.5219104,0.9102292,-3.7338002,-132.81941,0.525,0.5556122448979592,0.012500000186264515,80.0,0.325,0.8881377551020408,0.018750000279396772
4,0.03205926,0.011683195,0.1024393,0.29443285,0.06691528320312501,50.0,2.112928,0.8078718,-4.5534854,-114.66685,0.45000002,0.610204081632653,0.012500000186264515,100.0,0.225,0.9006377551020408,0.03125000046566129
5,0.032107882,0.011671239,0.10199135,0.39907277,0.127274169921875,60.0,2.199115,0.87155044,-5.789803,-120.3293,0.3375,0.6329081632653061,0.012500000186264515,120.0,0.17500001,0.895280612244898,0.018750000279396772
6,0.032097984,0.011688957,0.10250603,0.5143373,0.09633056640625,70.0,1.215926,0.8137052,-5.345235,-86.563965,0.275,0.8099489795918368,0.06250000093132257,140.0,0.05000000074505806,0.9804846938775511,0.037500000558793545
7,0.03216907,0.011697324,0.10318695,0.5324077,0.142071533203125,80.0,1.0341933,0.8380488,-5.600525,-82.57068,0.1625,0.8280612244897959,0.0875000013038516,160.0,0.03750000102445483,0.9815051020408163,0.031250000931322575
8,0.03218026,0.011712351,0.10403439,0.5110707,0.10533935546875,90.0,0.34047154,0.7312525,-6.382143,-59.045532,0.08750000223517418,0.9400510204081634,0.037500000558793545,180.0,0.02500000037252903,0.9996173469387755,0.02500000037252903
9,0.032145686,0.011713376,0.104623444,0.4899495,0.052803955078125,100.0,0.004495116474572569,0.8094098,-6.998268,-48.36618,0.037500000558793545,0.999234693877551,0.037500000558793545,200.0,0.0437500006519258,1.0,0.0437500006519258
10,0.032149475,0.011699428,0.104970284,0.4719839,0.02248291015625,110.0,0.20768791,0.4786814,-7.872014,-56.934357,0.06250000186264515,0.9770408163265306,0.037500000558793545,220.0,0.02500000037252903,0.9951530612244898,0.02500000037252903
11,0.03213291,0.011687835,0.10508081,0.45555952,0.06651611328125,120.0,0.0006112213595770299,0.7967379,-8.204252,-47.603188,0.05000000074505806,1.0,0.05000000074505806,240.0,0.037500000558793545,0.9952806122448979,0.037500000558793545
12,0.03214214,0.011678538,0.10513742,0.4407525,0.035501708984375,130.0,0.6872852,0.7832198,-8.468084,-74.261185,0.02500000037252903,0.9094387755102041,0.012500000186264515,260.0,0.031250000931322575,0.9919642857142856,0.031250000931322575
13,0.03213316,0.011679178,0.105145134,0.43391877,0.1016552734375,140.0,0.03134062,0.77592546,-9.321298,-49.56344,0.037500000558793545,0.9989795918367347,0.037500000558793545,280.0,0.018750000279396772,0.9909438775510204,0.018750000279396772
14,0.03212539,0.0116847595,0.105194844,0.42206866,0.127296142578125,150.0,0.07437969,0.76116645,-9.730085,-51.326103,0.02500000037252903,0.9979591836734694,0.02500000037252903,300.0,0.031250000931322575,0.9998724489795918,0.031250000931322575
