epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.032364976,0.011859219,0.103329815,0.4175797,0.024304199218750003,10.0,0.80908895,0.54857635,-1.9335946,-63.828568,0.3375,0.738265306122449,0.07500000111758709,20.0,0.2375,0.8832908163265306,0.13125
1,0.03241289,0.01176975,0.100812785,0.35800108,0.0076513671875,20.0,0.096600525,0.49100125,-2.356133,-49.600243,0.10000000335276127,0.9918367346938775,0.08750000316649675,40.0,0.112500004,0.9799744897959184,0.081250004
2,0.032374006,0.011725557,0.09809903,0.32062498,0.026340332031249997,30.0,0.03700968623161316,0.3873933,-3.102618,-48.831512,0.07500000111758709,0.9951530612244898,0.05000000074505806,60.0,0.06250000232830644,0.9877551020408164,0.05625000176951289
3,0.032376945,0.011736139,0.09554352,0.29399508,0.00792724609375,40.0,0.004464143930817954,0.32966748,-3.6862,-49.484264,0.05000000074505806,0.9979591836734694,0.05000000074505806,80.0,0.056250001303851604,1.0,0.056250001303851604
4,0.03240406,0.011707158,0.09360092,0.27345556,0.007930908203125,50.0,0.0024512813079127227,0.40380043,-4.6659346,-51.123146,0.0,1.0,0.0,100.0,0.0062500000931322575,1.0,0.0062500000931322575
5,0.03234782,0.011701181,0.09211945,0.25734994,0.0122509765625,60.0,0.003501396276988089,0.43571353,-5.425259,-49.5898,0.037500000558793545,1.0,0.037500000558793545,120.0,0.0437500006519258,1.0,0.0437500006519258
6,0.03232261,0.01169988,0.09116086,0.24419151,0.020617675781250004,70.0,0.0001756058627506718,0.37977645,-5.943803,-49.059456,0.037500000558793545,1.0,0.037500000558793545,140.0,0.03125000046566129,1.0,0.03125000046566129
7,0.032286324,0.011700648,0.09011441,0.2335892,0.006944580078125,80.0,0.0012391453274176456,0.3838661,-6.6924095,-49.781647,0.02500000037252903,1.0,0.02500000037252903,160.0,0.012500000186264515,1.0,0.012500000186264515
8,0.03225166,0.011688277,0.08911631,0.22474787,0.015537109375,90.0,0.01868954673409462,0.4013369,-7.1899204,-50.21839,0.02500000037252903,1.0,0.02500000037252903,180.0,0.050000001676380634,0.997704081632653,0.04375000111758709
9,0.032260105,0.011714832,0.08843786,0.21677029,0.028231201171875,100.0,0.4322173297405243,0.48543164,-8.411595,-57.62503,0.05000000074505806,0.928826530612245,0.02500000037252903,200.0,0.0750000006519258,0.9936224489795918,0.06875000102445483
10,0.032253016,0.011715117,0.087922126,0.2096011,0.0239111328125,110.0,0.005513653864909429,0.3303007,-8.360537,-49.97677,0.02500000037252903,1.0,0.02500000037252903,220.0,0.0437500006519258,0.9970663265306122,0.0437500006519258
11,0.032245364,0.011692523,0.08710729,0.20340319,0.015263671874999999,120.0,0.006074240314774215,0.26493225,-8.924237,-50.411613,0.012500000186264515,1.0,0.012500000186264515,240.0,0.04375000111758709,1.0,0.04375000111758709
