# {"t_start": 1646086013.1740077, "env_id": "CheolFingersManipulate-v1"} 
r,l,t
-67.506148,50,46.680513
-51.343197,50,47.124545
-52.70224,50,47.614975
-52.620903,50,48.147701
-51.401675,50,48.598826
-56.162004,50,49.185468
-1.209152,50,49.644704
-59.083099,50,50.294727
-52.613898,50,50.783026
-63.743244,50,51.356636
-51.057342,50,93.322129
-51.1032,50,93.791609
-50.863201,50,94.237825
-51.068453,50,94.690122
-51.387392,50,95.145293
-50.843747,50,95.685355
-51.315796,50,96.302476
-50.838401,50,96.838549
-51.135848,50,97.346666
-51.096536,50,97.797731
-50.760503,50,139.310367
-50.97885,50,139.784645
-50.982453,50,140.225804
-50.916476,50,140.702344
-51.315766,50,141.16707
-50.913324,50,141.618256
-50.999813,50,142.092621
-50.80291,50,142.546775
-50.591305,50,143.015988
-50.763076,50,143.472275
-50.756702,50,185.380009
-51.321554,50,185.852346
-50.811117,50,186.300618
-51.423082,50,186.776111
-51.020742,50,187.270863
-51.013607,50,187.755398
-53.492086,50,188.233785
-51.331954,50,188.707326
-50.809077,50,189.229389
-2.172227,50,189.741943
-57.911623,50,231.517529
-54.901239,50,232.066215
-51.062036,50,232.542495
-51.125893,50,232.998686
-50.640473,50,233.448836
-0.750189,50,233.898006
-52.332255,50,234.418994
-50.989483,50,234.894221
-51.197968,50,235.369513
-50.732256,50,235.840705
3893,50,121.139482
-51.811842,50,123.178676
-50.972765,50,125.210747
-51.087669,50,127.319533
-51.378825,50,129.38833
-50.934536,50,131.428106
-51.78103,50,133.468877
-1.063641,50,135.515724
-51.964606,50,137.564954
-51.80124,50,144.658317
-50.971501,50,146.674768
-50.803401,50,148.751973
-51.105403,50,150.778425
-51.611268,50,152.78183
-51.200209,50,154.807598
-51.514161,50,156.901742
-51.120717,50,158.954407
-51.571435,50,160.990576
-51.236555,50,162.999275
-51.730815,50,165.008862
-50.995635,50,167.028722
-50.732222,50,169.044064
-50.638628,50,171.059157
-51.156371,50,173.229975
-51.376508,50,175.352093
-51.417357,50,177.484938
-50.665287,50,179.50995
-51.885195,50,181.604126
-51.504818,50,183.649173
-1.275758,50,190.873315
-51.530619,50,192.922472
-51.445455,50,194.93736
-51.6013,50,196.977323
-51.066942,50,198.990816
-51.531424,50,200.994393
-52.50402,50,203.034415
-51.665701,50,205.0712
-51.962801,50,207.176243
-51.27133,50,209.236483
-50.891018,50,211.260041
-51.193806,50,213.298528
-51.506256,50,215.323133
-51.15692,50,217.436875
-51.277539,50,219.533906
-51.889898,50,221.552542
-51.863832,50,223.670058
-50.84191,50,225.658648
-50.95766,50,227.685977
-51.115399,50,229.693545
-56.261343,50,237.370779
-52.192613,50,239.417033
-52.209226,50,241.460827
-51.663821,50,243.507512
-50.966967,50,245.536467
