# {"t_start": 1646941687.9958313, "env_id": "CheolFingersManipulate-v1"} 
r,l,t
-51.173228,50,48.875777
-51.621197,50,49.400179
-50.731891,50,49.848375
-50.354692,50,50.30495
-50.310065,50,50.776502
-57.717049,50,51.324542
-50.739683,50,51.778835
-56.353815,50,52.427616
-50.712176,50,52.986821
-50.335073,50,53.647939
-50.427223,50,101.745855
-2.412689,50,102.386208
-50.674662,50,102.893669
-51.550831,50,103.503148
-50.709188,50,104.09556
-50.779473,50,104.74482
-50.481672,50,105.322272
-52.980226,50,105.966545
-0.666969,50,106.534023
-50.293335,50,107.039668
-50.468034,50,155.320027
-50.525133,50,155.877487
-50.396999,50,156.386796
-50.591047,50,156.953346
-51.281685,50,157.600354
-50.683362,50,158.125494
-0.334661,50,158.619551
-50.344129,50,159.176417
-50.325197,50,159.718845
-50.39748,50,160.276455
-50.456111,50,207.981147
-50.351614,50,208.518382
-50.307073,50,209.065613
-56.957928,50,209.649184
-50.667568,50,210.149216
-50.274357,50,210.748997
-50.502703,50,211.381769
-50.407893,50,211.928079
-50.342047,50,212.44921
-50.321138,50,212.941936
-50.442752,50,260.195574
-50.42698,50,260.735915
-50.349367,50,261.256072
-50.504086,50,261.823565
-50.372005,50,262.335651
-50.329512,50,262.844707
-50.344176,50,263.405137
-0.339553,50,263.916344
-50.321409,50,264.453156
-50.375545,50,265.034547
-50.358234,50,312.264505
-50.853039,50,312.714869
-50.592549,50,313.194335
-50.469419,50,313.674819
-50.378685,50,314.208327
-50.320285,50,314.66763
-50.565584,50,315.165797
-50.465332,50,315.679514
-50.576782,50,316.15401
-50.369809,50,316.658579
-1.068695,50,363.365041
-58.364995,50,363.914981
-50.690858,50,364.368475
-50.343992,50,364.906238
-9.512598,50,365.484419
-50.679722,50,365.962921
-50.324576,50,366.437302
-50.364185,50,366.952014
-50.289834,50,367.456695
-50.335573,50,368.02399
-9.110659,50,415.566983
-50.725798,50,416.017398
-50.336649,50,416.491479
-50.337615,50,416.94594
-50.324481,50,417.505893
-57.758448,50,418.118322
-50.726267,50,418.722556
-50.353254,50,419.188027
-50.470906,50,419.725905
-50.35174,50,420.154263
-50.388782,50,467.27568
-50.32376,50,467.747177
-56.965234,50,468.32834
-50.747378,50,468.861081
-50.647078,50,469.397928
-50.413658,50,469.896405
-57.739217,50,470.504555
-50.662995,50,471.033331
-56.103241,50,471.607071
-50.68083,50,472.051853
-50.298626,50,519.407255
-50.332727,50,519.864758
-50.328964,50,520.374276
-50.333449,50,520.908158
-52.104864,50,521.427983
-50.677049,50,521.960471
-50.343227,50,522.438961
-50.326651,50,523.057147
-50.346859,50,523.659487
-50.32661,50,524.100191
-50.290232,50,571.036188
-50.349158,50,571.503522
-50.349317,50,572.011129
-50.314497,50,572.469389
-51.56287,50,572.987134
-50.756073,50,573.441453
-50.341489,50,573.911845
-51.697599,50,574.424463
-50.764684,50,574.948217
-50.327566,50,575.426651
-53.3952,50,623.586291
-53.514506,50,624.164094
-51.069813,50,624.620459
-60.072293,50,625.165737
-52.814046,50,625.737607
-50.685611,50,626.219167
-50.721086,50,626.730838
-50.659768,50,627.19123
-50.322466,50,627.694903
-50.313087,50,628.127719
-51.558322,50,676.510132
-54.95558,50,677.211254
-53.966277,50,677.937498
-52.451098,50,678.643618
-52.336469,50,679.239083
-51.047676,50,679.693462
-56.252962,50,680.21921
-52.464172,50,680.813326
-51.847633,50,681.309759
-50.809787,50,681.821564
-53.749811,50,729.698812
-52.514421,50,730.190294
-52.204019,50,730.715229
-52.573675,50,731.230549
-52.401947,50,731.751277
-56.467672,50,732.315018
-52.517119,50,732.836774
-52.2471,50,733.422801
-53.01079,50,733.943543
-50.758713,50,734.493718
-51.398074,50,783.291685
-54.212892,50,783.907059
-53.076206,50,784.56559
-54.209539,50,785.116562
-53.032467,50,785.694517
-52.429231,50,786.238873
-51.858914,50,786.724558
-51.686063,50,787.194097
-51.894361,50,787.763623
-50.751069,50,788.204612
-51.130378,50,836.378271
-51.742811,50,836.867907
-55.474703,50,837.392486
-51.713729,50,837.906269
-51.894838,50,838.44507
-51.676079,50,839.01406
-0.8002,50,839.611994
-50.33178,50,840.058844
-51.898278,50,840.533327
-52.08416,50,841.068932
-51.424084,50,889.758422
-53.809335,50,890.30918
-53.123421,50,890.809825
-55.973027,50,891.340568
-55.178425,50,891.869313
-52.135943,50,892.457442
-51.26545,50,893.000221
-51.598866,50,893.463535
-54.892029,50,894.066633
-55.970835,50,894.610104
-56.308543,50,943.35162
-1.47193,50,943.875368
-51.347892,50,944.466359
-51.615219,50,945.008142
-58.944653,50,945.666061
-55.069874,50,946.276229
-51.550362,50,946.753703
-51.482225,50,947.315703
-50.708878,50,947.793025
-1.155742,50,948.216403
-51.637027,50,995.230293
-51.289131,50,995.730976
-51.074174,50,996.187415
-51.6736,50,996.69404
-52.163476,50,997.321208
-51.664745,50,997.788489
-54.876677,50,998.475067
-51.547409,50,998.930798
-51.440168,50,999.409082
-51.350665,50,999.917553
-51.822265,50,1048.38604
-55.59072,50,1048.966486
-51.338021,50,1049.424259
-52.344382,50,1049.974783
-51.430527,50,1050.61407
-50.653348,50,1051.102759
-50.458386,50,1051.555545
-50.737063,50,1052.012322
-55.006031,50,1052.650611
-51.153659,50,1053.116363
-51.921289,50,1101.201367
-51.863933,50,1101.678923
-51.733984,50,1102.20287
-50.730364,50,1102.796085
-50.893856,50,1103.320914
-51.647377,50,1103.819613
-51.357214,50,1104.275195
-51.152905,50,1104.731755
-0.673199,50,1105.200207
-0.421786,50,1105.643472
-50.508588,50,1154.085788
-51.155717,50,1154.661735
-52.070583,50,1155.271838
-56.470234,50,1155.928097
-51.807271,50,1156.461873
-50.885685,50,1156.955653
-53.059978,50,1157.513064
-53.290784,50,1158.267343
-51.955222,50,1158.764275
-59.457377,50,1159.310306
-50.80749,50,1206.743482
-51.118877,50,1207.20583
-53.54685,50,1207.743585
-50.752236,50,1208.185765
-54.544677,50,1208.74665
-50.745964,50,1209.207925
-50.732423,50,1209.794308
-50.854627,50,1210.250867
