epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.032155268,0.011792896,0.1415542,0.48791462,0.14369140625,10.0,0.04321523,0.14991555,-1.7146976,-50.217804,0.02500000037252903,1.0,0.02500000037252903,20.0,0.05625,0.9994897959183674,0.05000000121071935
1,0.032074604,0.01171364,0.17315276,0.46636337,0.087135009765625,20.0,0.019721204,0.10772278,-2.2653213,-48.434452,0.05000000074505806,1.0,0.05000000074505806,40.0,0.03125000046566129,1.0,0.03125000046566129
2,0.03203748,0.011675437,0.1982922,0.44739306,0.046279296875,30.0,0.007058907998725772,0.067754105,-2.7188067,-47.5681,0.06250000093132257,1.0,0.06250000093132257,60.0,0.025000000838190317,0.9997448979591836,0.025000000838190317
3,0.031944044,0.01170007,0.20891799,0.42281967,0.0581982421875,40.0,0.014255557267460972,0.070564665,-3.6715314,-50.03293,0.012500000186264515,1.0,0.012500000186264515,80.0,0.056250001303851604,0.9997448979591836,0.056250001303851604
4,0.03199982,0.011685049,0.21727484,0.40326023,0.050648193359375,50.0,0.012776477611623704,0.06427486,-4.612741,-50.034866,0.012500000186264515,1.0,0.012500000186264515,100.0,0.018750000279396772,0.9998724489795918,0.018750000279396772
5,0.032056637,0.011673065,0.22247866,0.38699338,0.0397802734375,60.0,0.015251428121700883,0.08103022,-5.2563734,-50.794403,0.0,1.0,0.0,120.0,0.018750000279396772,0.9996173469387755,0.018750000279396772
6,0.032052953,0.011690306,0.22338597,0.37325636,0.08073974609375001,70.0,0.15225512,0.31331858,-5.1104546,-49.81328,0.06250000093132257,1.0,0.06250000093132257,140.0,0.05625000176951289,1.0,0.05625000176951289
7,0.032128908,0.011699713,0.2233021,0.36208114,0.050750732421875,80.0,0.07737621106207371,0.17742012,-6.2423086,-47.310238,0.0875000013038516,1.0,0.0875000013038516,160.0,0.03750000102445483,0.9998724489795918,0.03750000102445483
8,0.032144018,0.011714845,0.2231479,0.35309732,0.054566650390625,90.0,0.13298069,0.27393895,-6.717661,-50.71112,0.037500000558793545,1.0,0.037500000558793545,180.0,0.03125000046566129,1.0,0.03125000046566129
9,0.03211266,0.011715987,0.22107765,0.34575444,0.08882568359375,100.0,0.017875269,0.10205611,-7.3603163,-48.97605,0.037500000558793545,1.0,0.037500000558793545,200.0,0.0437500006519258,1.0,0.0437500006519258
