# {"t_start": 1649263614.2177498, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0,50,35.427371
-88.156182,50,35.58919
-29.884384,50,35.766457
-52.749225,50,35.935522
-25.0,50,36.120994
-25.0,50,36.302733
-25.358484,50,36.464068
-25.0,50,36.625119
-25.0,50,36.801117
-25.0,50,36.953116
-25.0,50,70.848004
-34.908918,50,71.016002
-25.0,50,71.201384
-25.0,50,71.370446
-25.0,50,71.540608
-25.0,50,71.72869
-25.0,50,71.89669
-21.601115,50,72.072688
-25.0,50,72.240687
-40.911609,50,72.384016
-25.0,50,106.11599
-33.625224,50,106.291988
-57.21703,50,106.475987
-57.854205,50,106.638315
-49.695974,50,106.815387
-25.0,50,106.991385
-96.205687,50,107.161413
-25.0,50,107.329412
-25.0,50,107.514468
-25.0,50,107.658466
-24.86538,50,141.307911
-35.449676,50,141.482002
-25.0,50,141.662069
-104.923293,50,141.854067
-25.0,50,142.029488
-25.0,50,142.205486
-25.0,50,142.374742
-31.039037,50,142.54721
-39.648968,50,142.72321
-66.528071,50,142.867207
-65.299366,50,176.639429
-25.0,50,176.815428
-28.392224,50,176.975426
-25.314249,50,177.151426
-67.10469,50,177.335425
-39.34722,50,177.516858
-25.0,50,177.693917
-61.814923,50,177.863214
-31.756047,50,178.032269
-28.558839,50,178.176269
-25.0,50,211.986853
-95.728369,50,212.154851
-25.0,50,212.335049
-44.463207,50,212.500108
-24.153674,50,212.676107
-46.376007,50,212.860105
-25.0,50,213.045349
-26.657875,50,213.214412
-31.563653,50,213.384552
-52.45195,50,213.528545
-25.0,50,247.376306
-25.0,50,247.560305
-44.638452,50,247.720303
-32.640232,50,247.888303
-71.005597,50,248.072301
-25.0,50,248.2403
-42.786837,50,248.399595
-25.18231,50,248.576652
-25.217892,50,248.74465
-66.996254,50,248.904649
-103.356032,50,282.734388
-34.566552,50,282.911458
-41.585486,50,283.087457
-25.0,50,283.255455
-70.396655,50,283.427839
-25.0,50,283.595837
-25.0,50,283.771836
-25.0,50,283.955835
-118.931488,50,284.123833
-25.073443,50,284.259832
-43.942509,50,318.04208
-51.457129,50,318.202079
-78.070669,50,318.376817
-25.680998,50,318.551519
-45.817269,50,318.73281
-74.210713,50,318.901861
-56.853946,50,319.07786
-61.95874,50,319.237859
-25.680641,50,319.415857
-70.919979,50,319.576468
-43.275578,50,353.488302
-25.036691,50,353.6483
-64.635182,50,353.832299
-62.016773,50,353.992298
-33.220427,50,354.152297
-30.424114,50,354.320295
-69.060406,50,354.512294
-34.507893,50,354.680293
-33.548477,50,354.832291
-37.165738,50,355.00029
-70.78945,50,388.947568
-56.961859,50,389.115566
-25.261886,50,389.300805
-32.14388,50,389.477859
-25.154814,50,389.637857
-68.658209,50,389.815388
-82.495348,50,390.008451
-39.287945,50,390.177957
-60.519037,50,390.355013
-67.599373,50,390.499012
-25.30459,50,424.431102
-25.0,50,424.5991
-35.910344,50,424.767099
-80.839873,50,424.943098
-25.188468,50,425.119097
-25.0,50,425.287095
-99.026585,50,425.447094
-25.32087,50,425.608416
-32.433703,50,425.789908
-111.54227,50,425.941911
-33.366429,50,459.957377
-36.980675,50,460.125376
-46.668464,50,460.298195
-25.0,50,460.472269
-104.521577,50,460.644317
-59.278206,50,460.820316
-25.0,50,460.992302
-25.0,50,461.168305
-26.851135,50,461.353362
-25.618593,50,461.50536
-25.0,50,495.397522
-25.0,50,495.58152
-28.393972,50,495.74952
-25.0,50,495.909518
-25.0,50,496.069517
-31.137242,50,496.237515
-31.332777,50,496.421514
-104.125572,50,496.597512
-38.062901,50,496.749512
-25.0,50,496.90951
-32.759208,50,530.888661
-25.085614,50,531.048659
-25.0,50,531.224658
-109.123044,50,531.392658
-47.724016,50,531.560656
-27.500897,50,531.736654
-35.246625,50,531.904654
-30.79778,50,532.072652
-25.0,50,532.24865
-40.429337,50,532.416649
-25.071137,50,566.340455
-25.112288,50,566.508454
-27.975504,50,566.668454
-104.297868,50,566.836452
-25.022736,50,567.013752
-40.573506,50,567.18175
-35.297802,50,567.349749
-73.898141,50,567.526821
-25.0,50,567.71082
-28.595874,50,567.862819
-25.0,50,601.903331
-25.067126,50,602.07133
-80.628257,50,602.247329
-58.792331,50,602.415327
-67.053878,50,602.591326
-59.122149,50,602.760657
-25.041398,50,602.928656
-27.279161,50,603.072654
-37.981311,50,603.241714
-34.229891,50,603.406755
-38.287416,50,637.602773
-30.302332,50,637.78037
-83.824147,50,637.933424
-93.470197,50,638.101422
-28.636914,50,638.270686
-25.056301,50,638.431739
-25.0,50,638.599738
-96.970767,50,638.783736
-35.938033,50,638.991735
-25.060324,50,639.119733
-25.0,50,673.693689
-34.190635,50,673.862749
-52.837763,50,674.038747
-90.8295,50,674.206746
-25.547437,50,674.398745
-32.826897,50,674.591995
-25.0,50,674.785068
-84.453319,50,674.954306
-25.0,50,675.123363
-25.059533,50,675.251362
-32.676543,50,709.298672
-96.911835,50,709.47467
-36.265301,50,709.642668
-25.056087,50,709.818667
-84.540566,50,709.986666
-25.0,50,710.150507
-92.198975,50,710.322573
-107.421547,50,710.483837
-66.25786,50,710.657027
-25.0,50,710.801025
-25.627009,50,744.886092
-103.148069,50,745.05409
-20.932217,50,745.231481
-59.163136,50,745.408535
-70.496249,50,745.577668
-30.955735,50,745.737668
-51.723849,50,745.913666
-25.896494,50,746.073664
-26.433897,50,746.257663
-25.195826,50,746.409661
-68.695107,50,780.639714
-25.087963,50,780.807713
-32.995201,50,780.983712
-105.593283,50,781.152188
-37.813418,50,781.330621
-47.79702,50,781.523673
-25.715457,50,781.699671
-69.997994,50,781.86767
-90.079589,50,782.019669
-25.01198,50,782.171667
-25.722475,50,816.362251
-25.031839,50,816.53825
-60.388156,50,816.698249
-107.57685,50,816.859507
-25.0,50,817.04456
-87.709427,50,817.212559
-26.61931,50,817.380558
-25.281059,50,817.556556
-25.672476,50,817.740555
-51.855686,50,817.908553
-9.095803,50,852.002642
-23.730187,50,852.178642
-25.01531,50,852.354639
-25.243804,50,852.514638
-12.165752,50,852.698637
-25.131727,50,852.890635
-26.154917,50,853.066633
-26.308877,50,853.258633
-18.062189,50,853.434631
-29.285665,50,853.55463
-25.910138,50,887.738392
-33.878916,50,887.920433
-79.479283,50,888.097488
-25.0,50,888.273487
-9.342536,50,888.433486
-29.970965,50,888.585484
-110.822383,50,888.753483
-18.380094,50,888.929482
-22.865094,50,889.08948
-25.7253,50,889.265479
-11.656678,50,923.353993
-25.0,50,923.521992
-59.574889,50,923.697989
-10.52332,50,923.865989
-12.34946,50,924.025987
-113.756953,50,924.217986
-110.624256,50,924.398526
-74.915937,50,924.567582
-108.414875,50,924.74358
-71.022727,50,924.89558
-22.151633,50,959.122664
-23.261849,50,959.291722
-14.918675,50,959.46772
-40.745315,50,959.635719
-44.600107,50,959.803717
-15.683424,50,959.987716
-109.834918,50,960.155716
-33.717669,50,960.323714
-123.27343,50,960.48499
-11.898738,50,960.654218
-9.079178,50,994.892622
-28.253736,50,995.076622
-60.04935,50,995.25262
-68.076988,50,995.432584
-43.199158,50,995.605826
-23.130426,50,995.797825
-67.516928,50,995.957824
-31.24526,50,996.133823
-13.671107,50,996.309821
-40.352056,50,996.437819
-59.130934,50,1030.601728
-20.693398,50,1030.754786
-14.713716,50,1030.930785
-111.12795,50,1031.090783
-25.0,50,1031.258782
-46.761409,50,1031.418866
-24.009236,50,1031.588614
-74.129657,50,1031.759119
-13.0457,50,1031.927118
-27.958637,50,1032.080175
-67.007813,50,1066.351359
-25.0,50,1066.527358
-12.951903,50,1066.695357
-17.011274,50,1066.847356
-18.996292,50,1066.999354
-89.639385,50,1067.183353
-67.33333,50,1067.351351
-88.772029,50,1067.52735
-13.326148,50,1067.703349
-13.582026,50,1067.855348
-16.360469,50,1102.105544
-95.821307,50,1102.265543
-55.319924,50,1102.441542
-86.380562,50,1102.60154
-26.646599,50,1102.769539
-25.113407,50,1102.937537
-31.725166,50,1103.106783
-25.0,50,1103.275845
-45.039745,50,1103.435843
-25.291231,50,1103.603842
-25.0,50,1138.099973
-25.0,50,1138.272511
-25.28752,50,1138.452029
-25.423105,50,1138.622571
-112.254986,50,1138.801093
-30.674483,50,1138.964654
-25.312648,50,1139.1342
-30.038819,50,1139.297761
-25.0,50,1139.472293
-46.611702,50,1139.617447
-25.600447,50,1173.844651
-62.041236,50,1174.02198
-25.113097,50,1174.191038
-25.0,50,1174.359036
-44.655064,50,1174.519035
-42.950946,50,1174.687034
-25.817532,50,1174.863033
-26.859216,50,1175.047031
-25.0,50,1175.229094
-36.048662,50,1175.380687
-36.637825,50,1209.507671
-21.049913,50,1209.67567
-26.639475,50,1209.851669
-25.18445,50,1210.027667
-43.060774,50,1210.203665
-25.180027,50,1210.363665
-25.236054,50,1210.531663
-79.436495,50,1210.706087
-50.151529,50,1210.87515
-29.652185,50,1211.02715
-25.046323,50,1245.257549
-144.020256,50,1245.425547
-40.402594,50,1245.617546
-117.695801,50,1245.797974
-146.717195,50,1245.967025
-25.04847,50,1246.167023
-137.214261,50,1246.331463
-141.516358,50,1246.500787
-20.851432,50,1246.660785
-25.040355,50,1246.804784
-156.177045,50,1280.973182
-26.010755,50,1281.157181
-119.195431,50,1281.341179
-153.853519,50,1281.517178
-26.941273,50,1281.693176
-131.040095,50,1281.869175
-21.688505,50,1282.029174
-25.510642,50,1282.181173
-153.48173,50,1282.349172
-161.229185,50,1282.50917
-111.751343,50,1316.89554
-28.428833,50,1317.064884
-25.067301,50,1317.224883
-27.525457,50,1317.385936
-25.1619,50,1317.545935
-34.394719,50,1317.721934
-25.287754,50,1317.881933
-16.394447,50,1318.057931
-92.38685,50,1318.23393
-25.028578,50,1318.401929
-25.256955,50,1352.821981
-18.466806,50,1352.991721
-95.406891,50,1353.14372
-25.044444,50,1353.304778
-25.243585,50,1353.496776
-33.032916,50,1353.672776
-25.518575,50,1353.824774
-24.955074,50,1354.000773
-30.943943,50,1354.160771
