epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.35324076,0.32819828,0.00013549804687499998,10.0,-0.0005725061,0.15889034,0.6718954,-38.3638,0.050000001676380634,0.6635204081632653,0.0,20.0,0.018750000279396772,0.5894132653061225,0.0
1,0.06667902,0.01,0.2898592,0.3377156,0.0,20.0,-0.00043084795,0.15111782,0.69057673,-37.693638,0.02500000037252903,0.6533163265306122,0.0,40.0,0.02500000037252903,0.5693877551020409,0.0
2,0.06668393,0.01,0.26348022,0.33802226,0.0,30.0,-0.00012656084,0.1696221,0.73021066,-44.485252,0.07500000111758709,0.5344387755102041,0.0,60.0,0.06875000335276127,0.5456632653061225,0.0
3,0.06668698,0.01,0.24853046,0.34074962,0.0,40.0,-0.00017708086,0.11778107,0.71872187,-36.17184,0.12500000279396772,0.6451530612244898,0.0,80.0,0.09375,0.5821428571428572,0.0
4,0.06668912,0.01,0.23870425,0.33962962,0.0,50.0,-9.434398e-05,0.08548362,0.718786,-37.574017,0.1500000013038516,0.6586734693877552,0.0,100.0,0.11875000596046448,0.4696428571428571,0.0
5,0.06669066,0.01,0.23060143,0.33939812,0.0,60.0,-0.0004854954,0.11490406,0.69536,-31.988686,0.10000000149011612,0.7563775510204082,0.0,120.0,0.0875000013038516,0.47767857142857145,0.0
6,0.06669184,0.01,0.2245105,0.3400326,0.0,70.0,-0.00024674163,0.14414714,0.603225,-36.02031,0.0875000013038516,0.6926020408163265,0.0,140.0,0.08125000260770321,0.5343112244897958,0.0
7,0.066692755,0.01,0.21921544,0.3381928,0.0,80.0,0.00017778884,0.11176378,0.6988182,-40.925877,0.23750001,0.49056122448979594,0.0,160.0,0.10625,0.5488520408163265,0.0
8,0.06669349,0.01,0.2132765,0.3406004,0.0,90.0,0.0002703343,0.107206464,0.4130392,-46.404404,0.07500000111758709,0.5762755102040816,0.0,180.0,0.06875000102445483,0.49030612244897953,0.0
9,0.066694096,0.01,0.20579123,0.34445426,0.0,100.0,0.00048848114,0.48563203,0.6825179,-47.688995,0.06250000093132257,0.43214285714285716,0.0,200.0,0.05000000074505806,0.4867346938775511,0.0
10,0.06669461,0.01,0.2042311,0.34428295,0.0,110.0,0.0003138113,0.43065903,0.6595702,-45.287613,0.08750000223517418,0.5326530612244899,0.0,220.0,0.050000001676380634,0.5056122448979592,0.0
11,0.06669504,0.01,0.2036386,0.34480378,0.0,120.0,-0.00013243104,0.19966045,0.72676635,-39.598995,0.037500000558793545,0.6704081632653061,0.0,240.0,0.031250000931322575,0.5385204081632653,0.0
12,0.06669541,0.01,0.20190132,0.34444916,0.0,130.0,0.0001887527,0.16980109,0.72757995,-41.38241,0.11250000260770321,0.5632653061224488,0.012500000186264515,260.0,0.03125000046566129,0.5389030612244898,0.0
13,0.06669573,0.01,0.19988112,0.3437817,0.0,140.0,-2.2555945e-05,0.13017145,0.7116302,-36.60256,0.0875000013038516,0.7229591836734695,0.0,280.0,0.056250001303851604,0.5099489795918367,0.0
14,0.06669601,0.01,0.19817387,0.34233716,0.0,150.0,-5.9495276e-05,0.17765427,0.6776799,-40.232872,0.10000000335276127,0.6193877551020408,0.0,300.0,0.09375000279396772,0.48022959183673464,0.0
15,0.066696264,0.01,0.19679707,0.34141812,0.0,160.0,0.0001348071,0.19025308,0.639007,-37.69767,0.1875000074505806,0.6456632653061225,0.02500000037252903,320.0,0.06875000009313226,0.5228316326530611,0.0
16,0.06669649,0.01,0.19499083,0.3402276,0.0,170.0,0.00027299896,0.12650475,0.5504497,-38.84056,0.11250000353902578,0.551530612244898,0.0,340.0,0.07499999925494194,0.49553571428571425,0.0
17,0.066696696,0.01,0.19350137,0.33959565,0.0,180.0,0.00014852785,0.118581146,0.5819627,-37.772266,0.07500000111758709,0.6505102040816327,0.0,360.0,0.09375000186264515,0.5411989795918367,0.0
18,0.066696875,0.01,0.1927896,0.33880866,0.0,190.0,0.00014260958,0.12753563,0.65791047,-38.165127,0.10000000335276127,0.6653061224489796,0.0,380.0,0.10625,0.5039540816326531,0.0
19,0.066697,0.01,0.19314814,0.33813724,0.0,200.0,0.0004253711,0.37134752,0.7079775,-49.124763,0.02500000037252903,0.5160714285714285,0.0,400.0,0.08125000074505806,0.4660714285714286,0.0
20,0.066697076,0.01,0.19266333,0.33711132,0.0,210.0,0.0002771031,0.25118375,0.7224773,-39.952908,0.12500000279396772,0.635969387755102,0.05000000074505806,420.0,0.07500000391155481,0.5036989795918367,0.0
21,0.06669714,0.01,0.19250463,0.3358885,0.0,220.0,0.00051426067,0.3959843,0.7385965,-47.570007,0.05000000074505806,0.5400510204081632,0.012500000186264515,440.0,0.14375000353902578,0.46377551020408164,0.0
22,0.06669721,0.01,0.1921026,0.33494166,0.0,230.0,0.00025013636,0.16881281,0.72166276,-36.48909,0.16250000428408384,0.6540816326530612,0.012500000186264515,460.0,0.03750000102445483,0.4826530612244898,0.0
23,0.06669726,0.01,0.19130774,0.33399352,0.0,240.0,0.00019058652,0.123478234,0.6519036,-32.236977,0.58750004,0.6948979591836735,0.3375,480.0,0.10625,0.5118622448979592,0.0
24,0.06669732,0.01,0.19071686,0.33359608,0.0,250.0,0.00042291463,0.13481246,0.7314166,-37.112286,0.4875,0.547704081632653,0.19999999925494194,500.0,0.16250001,0.46109693877551017,0.0
25,0.06669737,0.01,0.19055796,0.33325505,0.0,260.0,0.0007380252,0.40053818,0.59434843,-50.002235,0.275,0.37015306122448977,0.1375000039115548,520.0,0.15000000223517418,0.4536989795918367,0.0
26,0.06669742,0.01,0.19007123,0.33260843,0.0,270.0,0.00041449958,0.27105588,0.59434223,-42.914837,0.5125,0.5966836734693878,0.28750002,540.0,0.1625,0.49464285714285705,0.0
27,0.066697456,0.01,0.18957263,0.33192763,0.0,280.0,0.0004306074,0.13415164,0.4208538,-38.239178,0.5125,0.3849489795918367,0.037500000558793545,560.0,0.09375000465661287,0.47232142857142856,0.0
28,0.0666975,0.01,0.18836991,0.33144256,0.0,290.0,0.00030923882,0.16529967,0.591976,-33.54205,0.6,0.5239795918367347,0.037500000558793545,580.0,0.13125000381842256,0.4735969387755102,0.0
29,0.06669754,0.01,0.18836878,0.33174017,0.0,300.0,0.00051612733,0.36807722,0.7169609,-40.100445,0.3875,0.5094387755102041,0.012500000186264515,600.0,0.05000000074505806,0.4799744897959183,0.0
