# {"t_start": 1649354095.806516, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.000005,50,35.546818
-25.000005,50,35.690816
-25.000005,50,35.858814
-25.000005,50,36.042813
-25.000005,50,36.21081
-25.000005,50,36.386809
-25.000005,50,36.554806
-25.000005,50,36.738805
-25.000005,50,36.900063
-25.000005,50,37.053127
-25.000005,50,71.028888
-25.000005,50,71.213948
-25.000005,50,71.365946
-25.000005,50,71.525944
-25.000005,50,71.717941
-25.000005,50,71.885939
-14.000005,50,72.053937
-25.000005,50,72.231248
-20.000005,50,72.399246
-25.000005,50,72.54557
-20.500005,50,106.669507
-20.000005,50,106.827324
-25.000005,50,106.996387
-25.000005,50,107.172385
-25.000005,50,107.348382
-23.500005,50,107.533721
-25.000005,50,107.693719
-25.000005,50,107.861718
-25.000005,50,108.038778
-25.000005,50,108.198777
-25.000005,50,142.561244
-23.000005,50,142.729242
-25.000005,50,142.898338
-25.000005,50,143.090335
-23.000005,50,143.259565
-15.500005,50,143.440734
-14.500005,50,143.592732
-7.500005,50,143.76873
-25.000005,50,143.944728
-21.000005,50,144.096726
-9.13346,50,178.439077
-5.228905,50,178.607075
-8.707323,50,178.791073
-9.576821,50,178.975071
-12.439296,50,179.135069
-6.013144,50,179.303067
-8.132012,50,179.479065
-9.037986,50,179.655063
-7.610999,50,179.839061
-10.057575,50,179.991059
-6.30135,50,214.417937
-5.614991,50,214.593935
-7.081165,50,214.761934
-6.961215,50,214.953931
-6.391332,50,215.117884
-7.041801,50,215.294933
-6.585636,50,215.464182
-6.271954,50,215.633239
-6.347683,50,215.801237
-7.657089,50,215.953236
-3.228824,50,250.373863
-3.451646,50,250.541863
-2.759249,50,250.701861
-3.251942,50,250.861858
-2.622136,50,251.039138
-3.421972,50,251.216196
-3.893409,50,251.392193
-3.62165,50,251.552191
-4.163117,50,251.736189
-2.218111,50,251.888187
-2.917784,50,286.74127
-3.516498,50,286.933267
-4.477638,50,287.093265
-3.885118,50,287.269263
-3.91599,50,287.461261
-3.772872,50,287.621259
-4.305271,50,287.798531
-4.542842,50,287.967589
-4.456517,50,288.127588
