epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.3713967,0.23473032,0.065845947265625,10.0,0.0,0.6284617,0.69268495,-24.425003,0.0,1.0,0.0,20.0,0.0062500000931322575,1.0,0.0062500000931322575
1,0.06667902,0.01,0.3250592,0.2278047,0.09498657226562501,20.0,0.0,0.57403576,0.6797825,-23.312504,0.0,1.0,0.0,40.0,0.06250000093132257,0.9871173469387755,0.018750000279396772
2,0.06668393,0.01,0.31317532,0.22102217,0.114410400390625,30.0,0.0,0.5671534,0.6485335,-23.193752,0.0,1.0,0.0,60.0,0.27499998,0.9076530612244897,0.05625000083819032
3,0.06668698,0.01,0.3074604,0.21605325,0.10020874023437501,40.0,18.183258698205464,0.45506418,0.5683978,-19.617922,0.11250000260770321,0.948469387755102,0.037500000558793545,80.0,0.24375000596046448,0.9414540816326531,0.08125000121071935
4,0.06668912,0.01,0.30924234,0.21329713,0.1137890625,50.0,41.795483,0.44454587,0.53682464,-8.384873,0.825,0.9005102040816326,0.3625,100.0,0.4125,0.9463010204081632,0.14375001
5,0.06669066,0.01,0.31589738,0.2123602,0.09967285156250001,60.0,63.804306,0.5121339,0.5442636,-6.4110885,1.0,0.8829081632653062,0.0,120.0,0.41875002,0.9503826530612245,0.11250000167638063
6,0.06669184,0.01,0.3224136,0.21034877,0.10533203125,70.0,7.9138117,0.32468703,0.44355276,-3.1959333,1.0,0.9997448979591836,0.9875,140.0,0.43125,0.9696428571428571,0.1625
7,0.066692755,0.01,0.3259815,0.20751692,0.09110229492187501,80.0,18.585745,0.36673063,0.4261502,-4.108808,1.0,1.0,1.0,160.0,0.41875,0.9859693877551021,0.29375
8,0.06669349,0.01,0.32875767,0.20430724,0.096556396484375,90.0,41.974308,0.43919834,0.4861941,-4.825632,1.0,0.9880102040816326,0.86249995,180.0,0.50625,0.9887755102040816,0.3625
9,0.066694096,0.01,0.33177808,0.20157568,0.126805419921875,100.0,15.14547,0.32076675,0.4431576,-3.4478235,0.975,0.9994897959183673,0.95,200.0,0.45625,0.9866071428571428,0.2875
10,0.06669461,0.01,0.33361557,0.19861902,0.12645751953125,110.0,19.043236,0.35226256,0.42116952,-3.7142198,0.975,0.9994897959183674,0.95,220.0,0.38125002,0.9889030612244898,0.28125
11,0.06669504,0.01,0.33536068,0.19566685,0.13016357421875,120.0,12.047891,0.32267976,0.39876997,-3.4847302,0.91249996,1.0,0.91249996,240.0,0.45625,0.9883928571428571,0.29999998
