# {"t_start": 1649390336.805063, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-18.6763,50,35.200279
-12.421914,50,35.37317
-6.163349,50,35.545003
-7.00005,50,35.716836
-22.290877,50,35.873049
-7.553952,50,36.060502
-24.799452,50,36.237686
-4.00005,50,36.410578
-10.00005,50,36.56679
-25.00005,50,36.723002
-22.00005,50,70.725176
-25.00005,50,70.897009
-25.00005,50,71.070149
-25.00005,50,71.243073
-25.00005,50,71.430527
-25.00005,50,71.586739
-19.303337,50,71.774193
-25.00005,50,71.977269
-3.50005,50,72.134781
-25.00005,50,72.293111
-10.540035,50,106.421811
-21.00005,50,106.594711
-9.325833,50,106.766544
-15.356505,50,106.938377
-6.981853,50,107.11021
-16.878583,50,107.266423
-6.570575,50,107.453877
-24.149673,50,107.64133
-16.50005,50,107.797543
-10.221811,50,107.953754
-10.70343,50,142.013455
-11.837954,50,142.186581
-20.372463,50,142.343858
-142.924332,50,142.51569
-78.803687,50,142.687524
-13.96331,50,142.859357
-17.219432,50,143.046811
-13.719876,50,143.203023
-22.997407,50,143.374856
-197.309639,50,143.547921
-25.00005,50,177.650394
-25.00005,50,177.838908
-25.00005,50,178.010742
-25.00005,50,178.198197
-25.00005,50,178.370029
-25.00005,50,178.547693
-25.00005,50,178.736227
-25.00005,50,178.908059
-25.00005,50,179.081129
-25.00005,50,179.191534
-25.00005,50,213.265732
-25.00005,50,213.421943
-25.00005,50,213.593777
-20.50005,50,213.76561
-25.00005,50,213.937443
-25.00005,50,214.109277
-25.00005,50,214.265488
-25.00005,50,214.43855
-25.00005,50,214.611441
-25.00005,50,214.752032
-18.00005,50,248.842138
-25.00005,50,249.013971
-21.00005,50,249.201426
-18.50005,50,249.357637
-16.501926,50,249.529471
-25.00005,50,249.715637
-18.00005,50,249.867876
-20.50005,50,250.040767
-25.00005,50,250.223862
-17.198435,50,250.380075
-25.00005,50,284.289933
-25.00005,50,284.461766
-25.00005,50,284.634869
-25.00005,50,284.807763
-25.00005,50,284.979596
-25.00005,50,285.167051
-25.00005,50,285.340141
-25.00005,50,285.511974
-25.00005,50,285.684867
-25.00005,50,285.825459
-10.798718,50,319.742689
-25.00005,50,319.898901
-25.00005,50,320.087577
-25.00005,50,320.27368
-25.00005,50,320.461134
-25.00005,50,320.618593
-25.00005,50,320.790426
-25.00005,50,320.963316
-25.00005,50,321.135149
-25.00005,50,321.275739
-7.50005,50,355.169122
-4.00005,50,355.340955
-4.003547,50,355.512788
-6.009242,50,355.685897
-6.003301,50,355.843168
-6.720393,50,356.030622
-6.00005,50,356.188166
-5.539683,50,356.361049
-6.50005,50,356.532883
-3.50005,50,356.673473
-4.00005,50,390.594623
-4.378347,50,390.767723
-6.022196,50,390.940639
-3.50005,50,391.128093
-6.224134,50,391.315548
-3.50005,50,391.47176
