epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.37158993,0.23660241,0.050538330078125,10.0,0.0,0.64189667,0.64195585,-24.425049,0.0,1.0,0.0,20.0,0.0062500000931322575,0.9993622448979591,0.0062500000931322575
1,0.06667902,0.01,0.32011664,0.22905223,0.04431396484375,20.0,0.0,0.58617854,0.63544023,-23.2938,0.0,1.0,0.0,40.0,0.037500000558793545,0.9975765306122448,0.031250000931322575
2,0.06668393,0.01,0.2984646,0.22468601,0.124486083984375,30.0,16.134201,0.28764167,0.34620017,-21.80477,0.6125,0.934438775510204,0.10000000149011612,60.0,0.14375,0.9866071428571429,0.08750000316649675
3,0.06668698,0.01,0.28679082,0.22612433,0.1382861328125,40.0,0.0381623209832469,0.63075924,0.6437262,-22.10663,0.0,1.0,0.0,80.0,0.225,0.9786989795918368,0.15625
4,0.06668912,0.01,0.27636418,0.22505872,0.123262939453125,50.0,0.002145824022591114,0.44666445,0.67046046,-21.345226,0.037500000558793545,1.0,0.037500000558793545,100.0,0.23124999,0.9983418367346939,0.20625001
5,0.06669066,0.01,0.26931968,0.22322936,0.14284912109375,60.0,0.02928797,0.42962113,0.45513576,-19.347202,0.19999999,1.0,0.19999999,120.0,0.19375001,0.9963010204081633,0.175
6,0.06669184,0.01,0.26591522,0.22381397,0.094388427734375,70.0,0.44418615,0.22946388,0.2770691,-10.046024,0.3625,1.0,0.3625,140.0,0.22500001,0.9975765306122449,0.2125
7,0.066692755,0.01,0.26400837,0.22490312,0.102080078125,80.0,0.16544975,0.25308523,0.2667432,-10.347652,0.5625,1.0,0.5625,160.0,0.2625,0.9989795918367348,0.25
8,0.06669349,0.01,0.26372185,0.2236271,0.092666015625,90.0,0.16960904,0.19983885,0.2092205,-9.480993,0.5625,1.0,0.5625,180.0,0.24375,0.9996173469387755,0.23124999
9,0.066694096,0.01,0.2639093,0.2217233,0.048275146484375,100.0,0.32885468,0.18233104,0.2003753,-6.867423,0.4125,1.0,0.4125,200.0,0.28750002,0.9985969387755103,0.2625
10,0.06669461,0.01,0.26407638,0.2199245,0.022999267578125003,110.0,0.5278871,0.19772033,0.20289698,-10.180581,0.5125,1.0,0.5125,220.0,0.21875,0.9984693877551021,0.18125
11,0.06669504,0.01,0.2649888,0.21910729,0.028450927734375,120.0,1.059417,0.22404824,0.23404916,-11.082735,0.2999999951571226,0.9982142857142857,0.2999999951571226,240.0,0.26250002,0.9970663265306123,0.24375
12,0.06669541,0.01,0.26613608,0.21785617,0.043052978515625,130.0,0.20497505,0.16950038,0.18889442,-9.691303,0.375,0.9994897959183674,0.375,260.0,0.225,0.9813775510204081,0.18125
13,0.06669573,0.01,0.26681176,0.21650644,0.015106201171875,140.0,0.43561554,0.19962153,0.20724395,-8.591947,0.5125,1.0,0.5125,280.0,0.29375,0.9956632653061225,0.275
14,0.06669601,0.01,0.26734874,0.21485436,0.017329101562499998,150.0,0.40272632,0.18023703,0.19599931,-5.3969984,0.45,1.0,0.45,300.0,0.3,0.9980867346938775,0.275
15,0.066696264,0.01,0.2680282,0.21315543,0.05008056640625,160.0,0.338646,0.16860631,0.18500847,-7.6353235,0.4,1.0,0.4,320.0,0.25625,0.9988520408163266,0.23125
16,0.06669649,0.01,0.2688159,0.21158104,0.004493408203125,170.0,0.39915752,0.1759493,0.1935273,-6.452113,0.5625,0.9997448979591836,0.55,340.0,0.24375,0.9973214285714286,0.225
