epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.37607217,0.21191657,0.0014404296875,10.0,0.0,0.6186821,0.6186821,-25.0005,0.0,1.0,0.0,20.0,0.0062500000931322575,0.9996173469387755,0.0062500000931322575
1,0.06667902,0.01,0.31943563,0.21479774,0.001912841796875,20.0,0.02952503,0.39929515,0.7540436,-18.033998,0.11250000167638063,1.0,0.11250000167638063,40.0,0.012500000186264515,0.9996173469387755,0.012500000186264515
2,0.06668393,0.01,0.29141533,0.2067944,0.0433544921875,30.0,0.0,0.50175846,0.58966506,-25.0005,0.0,1.0,0.0,60.0,0.0,1.0,0.0
3,0.06668698,0.01,0.27190864,0.20004529,0.014788818359375,40.0,0.0,0.4725644,0.60128725,-25.0005,0.0,1.0,0.0,80.0,0.0062500000931322575,0.9996173469387755,0.0062500000931322575
4,0.06668912,0.01,0.26336858,0.19724031,0.07565673828125,50.0,0.0,0.50708055,0.50708055,-25.0005,0.0,1.0,0.0,100.0,0.0437500006519258,0.9889030612244898,0.018750000279396772
5,0.06669066,0.01,0.2566047,0.19257861,0.049541015625000004,60.0,0.0,0.75027454,0.75027454,-25.0005,0.0,1.0,0.0,120.0,0.018750000279396772,0.9996173469387756,0.012500000186264515
6,0.06669184,0.01,0.2570739,0.19040257,0.004478759765625,70.0,0.30293235,0.38101536,0.77900696,-22.827045,0.2375000063329935,1.0,0.2375000063329935,140.0,0.15,0.9992346938775512,0.1375
7,0.066692755,0.01,0.2622337,0.18963157,0.0,80.0,0.01866578427143395,0.31465584,0.7520666,-24.675041,0.0,1.0,0.0,160.0,0.09375,0.9989795918367348,0.08125
8,0.06669349,0.01,0.26734114,0.19007082,0.011187744140625,90.0,0.05906540434807539,0.33266476,0.77736247,-23.990421,0.0875000013038516,1.0,0.0875000013038516,180.0,0.10000000149011612,0.9970663265306123,0.08750000409781933
9,0.066694096,0.01,0.267199,0.19031644,0.001285400390625,100.0,0.0,0.7601272,0.7601272,-25.0005,0.0,1.0,0.0,200.0,0.04375000158324838,0.9996173469387755,0.03750000102445483
10,0.06669461,0.01,0.26705468,0.19002022,0.0005261230468750001,110.0,0.027075833175331354,0.38246065,0.6726613,-24.568218,0.037500000558793545,1.0,0.037500000558793545,220.0,0.09375000186264515,0.9994897959183674,0.08750000223517418
11,0.06669504,0.01,0.2685715,0.19256628,0.033065185546875,120.0,0.04047455,0.20244047,0.794562,-22.19785,0.5,1.0,0.5,240.0,0.24375,0.9978316326530612,0.23125002
12,0.06669541,0.01,0.26800576,0.19227578,0.00346435546875,130.0,0.0,0.14739594,0.7255269,-7.0005007,0.0,1.0,0.0,260.0,0.11249999795109034,0.9996173469387755,0.10625000391155481
13,0.06669573,0.01,0.268931,0.19378401,0.0021118164062500005,140.0,0.06751125,0.34626976,0.47072354,-15.481051,0.27499998,1.0,0.27499998,280.0,0.15,0.9994897959183674,0.14375001
14,0.06669601,0.01,0.26932073,0.19823831,0.028919677734375,150.0,0.08046584,0.32121977,0.4120273,-21.063549,0.46250004,1.0,0.46250004,300.0,0.13125,0.9996173469387755,0.13125
15,0.066696264,0.01,0.269702,0.20088702,0.011094970703125,160.0,0.054571006,0.31243896,0.36201018,-16.096054,0.45,1.0,0.45,320.0,0.15,0.9989795918367347,0.13124999962747097
16,0.06669649,0.01,0.2708196,0.2037803,0.0021484374999999997,170.0,0.05632551,0.16853142,0.31208277,-19.049337,0.23750000167638063,1.0,0.23750000167638063,340.0,0.2187500037252903,0.9993622448979592,0.20625000074505806
17,0.066696696,0.01,0.27261508,0.20666666,0.0055700683593749994,180.0,0.1130415,0.21209338,0.2239582,-13.588358,0.6375,1.0,0.6375,360.0,0.35,0.9964285714285714,0.28125
18,0.066696875,0.01,0.27372596,0.20899229,0.014410400390625,190.0,0.07042375,0.21749379,0.22023323,-14.317022,0.51250005,1.0,0.51250005,380.0,0.34375,0.9983418367346939,0.31875
19,0.066697,0.01,0.27454838,0.21039975,0.007208251953125,200.0,0.1840961,0.2617452,0.26278323,-14.045934,0.67499995,1.0,0.67499995,400.0,0.31875,0.999234693877551,0.3
20,0.066697076,0.01,0.27549994,0.21117878,0.010546875,210.0,0.09108445,0.22885522,0.23868257,-13.04916,0.7875,1.0,0.7875,420.0,0.41875,0.9997448979591836,0.4125
21,0.06669714,0.01,0.27603796,0.21167386,0.014447021484375,220.0,0.06965456,0.16753286,0.19000918,-12.157906,0.7875,1.0,0.7875,440.0,0.46875,0.999107142857143,0.44375002
22,0.06669721,0.01,0.2766488,0.21228652,0.014739990234375,230.0,0.11786646,0.1624318,0.193589,-9.638826,0.875,1.0,0.875,460.0,0.46875,0.9998724489795918,0.46249998
23,0.06669726,0.01,0.27744368,0.21270652,0.011253662109375,240.0,0.09878017,0.14798424,0.18089609,-11.057474,0.7625,1.0,0.7625,480.0,0.50625,0.9985969387755103,0.47500002
24,0.06669732,0.01,0.27845573,0.21309526,0.0082568359375,250.0,1.2739116,0.19963966,0.49738842,-22.635376,0.5375,1.0,0.5375,500.0,0.46875,0.9992346938775512,0.44375
25,0.06669737,0.01,0.2792435,0.21340136,0.0038781738281250004,260.0,0.32711014,0.16663617,0.18644676,-9.366596,0.8000001,1.0,0.8000001,520.0,0.54375,0.9989795918367348,0.5125
26,0.06669742,0.01,0.2795132,0.2133552,0.00634033203125,270.0,0.0634751,0.15785766,0.25704575,-14.185324,0.825,1.0,0.825,540.0,0.5625,0.9996173469387755,0.55625
27,0.066697456,0.01,0.2797084,0.21324414,0.00593505859375,280.0,0.13895348,0.14651464,0.2064028,-9.775402,0.8625,1.0,0.8625,560.0,0.54375,0.9998724489795918,0.5375
28,0.0666975,0.01,0.28024027,0.21305972,0.0048828125,290.0,0.13489251,0.15652615,0.17299137,-9.0301895,0.875,1.0,0.875,580.0,0.5625,0.9989795918367348,0.53125
29,0.06669754,0.01,0.2803278,0.21268016,0.00437255859375,300.0,0.08589779,0.14936951,0.14936951,-11.4594,0.725,1.0,0.725,600.0,0.44375002,0.9993622448979593,0.41875
30,0.066697575,0.01,0.28072223,0.21243922,0.0020422363281249996,310.0,0.07413578,0.15340416,0.16093807,-9.905496,0.86249995,1.0,0.86249995,620.0,0.44375,0.9993622448979593,0.425
31,0.066697605,0.01,0.2811899,0.2121254,0.000740966796875,320.0,0.097720355,0.15232562,0.15232562,-8.581558,0.91249996,1.0,0.91249996,640.0,0.45624998,0.9992346938775512,0.41875
32,0.066697635,0.01,0.28170612,0.21186171,0.17634765624999998,330.0,0.0942589,0.1561408,0.15621045,-9.264905,0.8375,1.0,0.8375,660.0,0.51875,0.9994897959183674,0.5
33,0.066697665,0.01,0.28208682,0.21147151,0.15507812499999998,340.0,0.086681075,0.15435106,0.15460171,-10.312841,0.7375,1.0,0.7375,680.0,0.58124995,0.9996173469387755,0.57500005
34,0.066697694,0.01,0.2824739,0.21102388,0.15057861328125,350.0,0.09026438,0.14615738,0.14615738,-10.132199,0.8125,1.0,0.8125,700.0,0.52500004,0.9996173469387755,0.51875
35,0.066697724,0.01,0.28287446,0.2106322,0.15626708984374998,360.0,0.09940146,0.14869636,0.14869636,-8.322187,0.875,1.0,0.875,720.0,0.59375,0.9997448979591836,0.5875
36,0.06669775,0.01,0.28327748,0.21021754,0.15748291015625,370.0,0.115123756,0.16312335,0.16403869,-7.643182,0.8125,1.0,0.8125,740.0,0.6375,0.9994897959183673,0.63125
37,0.06669777,0.01,0.2836769,0.20972763,0.151275634765625,380.0,0.085125044,0.14392349,0.14424235,-8.6235695,0.8875,1.0,0.8875,760.0,0.51875,0.9994897959183674,0.5125
38,0.06669779,0.01,0.28412125,0.20920949,0.1487939453125,390.0,0.13025042,0.16493902,0.17955491,-7.69674,0.775,1.0,0.775,780.0,0.56875,0.9989795918367348,0.55625
39,0.06669781,0.01,0.2845317,0.20864661,0.150697021484375,400.0,0.10136745,0.14129674,0.1764065,-9.431264,0.7875,1.0,0.7875,800.0,0.58125,0.9994897959183674,0.56875
40,0.06669783,0.01,0.28488532,0.20802568,0.151326904296875,410.0,0.0933492,0.14054993,0.17494816,-7.539051,0.9,1.0,0.9,820.0,0.5625,0.9991071428571429,0.54375005
41,0.06669785,0.01,0.28524435,0.20738353,0.1538623046875,420.0,0.08579067,0.13929717,0.17564946,-8.077881,0.9375,1.0,0.9375,840.0,0.5375,0.9992346938775512,0.51875
42,0.06669787,0.01,0.2855711,0.20673251,0.15985595703125,430.0,0.076961696,0.14437315,0.17461495,-8.48691,0.8375,1.0,0.8375,860.0,0.52500004,0.9998724489795918,0.51875
43,0.06669789,0.01,0.28583625,0.20604326,0.150782470703125,440.0,0.07368739,0.14207098,0.17292532,-7.49417,0.9125,1.0,0.9125,880.0,0.58125,0.999107142857143,0.54375
44,0.0666979,0.01,0.28613904,0.20536937,0.1525830078125,450.0,0.066829056,0.14039259,0.17136598,-7.2539053,0.875,1.0,0.875,900.0,0.51875,0.9988520408163266,0.48125
45,0.06669792,0.01,0.28634882,0.20466073,0.15343139648437498,460.0,0.08934953,0.13921495,0.17298457,-6.8505783,0.9125,1.0,0.9125,920.0,0.57500005,0.9996173469387755,0.5625
46,0.06669793,0.01,0.28654987,0.20396931,0.15690429687500002,470.0,0.07287762,0.1421634,0.16857977,-7.146987,0.9,1.0,0.9,940.0,0.54999995,0.9994897959183674,0.53125
47,0.06669795,0.01,0.28676736,0.2032906,0.17268554687499998,480.0,0.06207678,0.13862014,0.16817427,-6.7863526,0.9,1.0,0.9,960.0,0.6,0.9993622448979591,0.59375
48,0.06669796,0.01,0.2869711,0.20261224,0.18025390624999998,490.0,0.083807245,0.14316797,0.17284004,-7.434765,0.8249999,1.0,0.8249999,980.0,0.56875,0.9997448979591836,0.56875
49,0.06669798,0.01,0.2871407,0.2019562,0.18877685546875,500.0,0.060412444,0.14231475,0.1628913,-8.152851,0.825,1.0,0.825,1000.0,0.5625,0.9993622448979592,0.55
