# {"t_start": 1649453155.971015, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-21.5005,50,35.057094
-21.5005,50,35.217092
-21.5005,50,35.390568
-21.5005,50,35.567623
-21.5005,50,35.735621
-21.5005,50,35.904854
-21.5005,50,36.081913
-21.5005,50,36.249912
-21.5005,50,36.433909
-21.5005,50,36.577907
-25.0005,50,70.918047
-25.0005,50,71.087573
-25.0005,50,71.24757
-25.0005,50,71.424646
-25.0005,50,71.600645
-25.0005,50,71.768642
-25.0005,50,71.94464
-25.0005,50,72.114299
-25.0005,50,72.291386
-25.0005,50,72.451384
-25.0005,50,106.987889
-25.0005,50,107.155886
-25.0005,50,107.331884
-25.0005,50,107.491882
-25.0005,50,107.66788
-25.0005,50,107.843877
-25.0005,50,108.019876
-25.0005,50,108.181134
-25.0005,50,108.350191
-25.0005,50,108.510189
-25.0005,50,143.146709
-25.0005,50,143.322707
-25.0005,50,143.490706
-25.0005,50,143.666703
-25.0005,50,143.835317
-25.0005,50,144.001454
-25.0005,50,144.170505
-25.0005,50,144.362502
-25.0005,50,144.5305
-25.0005,50,144.674497
-25.0005,50,179.429895
-25.0005,50,179.613893
-25.0005,50,179.77389
-25.0005,50,179.925889
-25.0005,50,180.095531
-25.0005,50,180.264591
-25.0005,50,180.425917
-25.0005,50,180.601915
-25.0005,50,180.764196
-25.0005,50,180.941254
-25.0005,50,215.772437
-25.0005,50,215.956488
-25.0005,50,216.125494
-25.0005,50,216.301492
-25.0005,50,216.485489
-25.0005,50,216.653488
-25.0005,50,216.821486
-25.0005,50,217.005483
-25.0005,50,217.166769
-25.0005,50,217.310767
-25.0005,50,252.126369
-25.0005,50,252.287897
-25.0005,50,252.479894
-25.0005,50,252.650844
-25.0005,50,252.82476
-25.0005,50,253.000761
-25.0005,50,253.169818
-25.0005,50,253.359088
-25.0005,50,253.544141
-25.0005,50,253.672138
-25.0005,50,288.692484
-25.0005,50,288.852481
-25.0005,50,289.025943
-25.0005,50,289.203001
-25.0005,50,289.374474
-25.0005,50,289.526472
-25.0005,50,289.711527
-25.0005,50,289.879524
-25.0005,50,290.071522
-25.0005,50,290.215521
-25.0005,50,325.218087
-25.0005,50,325.402085
-25.0005,50,325.578083
-25.0005,50,325.755379
-25.0005,50,325.940468
-25.0005,50,326.116466
-25.0005,50,326.284464
-25.0005,50,326.460462
-25.0005,50,326.64446
-25.0005,50,326.772458
-25.0005,50,361.7995
-25.0005,50,361.959498
-25.0005,50,362.119496
-25.0005,50,362.295494
-25.0005,50,362.487492
-25.0005,50,362.663489
-25.0005,50,362.847486
-25.0005,50,363.023485
-25.0005,50,363.207482
-25.0005,50,363.343481
-25.0005,50,398.582159
-25.0005,50,398.743218
-25.0005,50,398.903216
-25.0005,50,399.077533
-25.0005,50,399.254604
-25.0005,50,399.414602
-25.0005,50,399.5906
-25.0005,50,399.766598
-25.0005,50,399.943855
-25.0005,50,400.104909
-12.0005,50,435.217345
-12.0005,50,435.378567
-12.0005,50,435.563624
-12.0005,50,435.732888
-12.0005,50,435.909949
-12.0005,50,436.077947
-12.0005,50,436.253945
-12.0005,50,436.413942
-12.0005,50,436.58994
-12.0005,50,436.749938
-18.5005,50,471.938364
-18.5005,50,472.115784
-18.5005,50,472.284847
-17.156968,50,472.476844
-17.800561,50,472.644842
-18.5005,50,472.82084
-18.544205,50,472.980839
-18.533815,50,473.164835
-18.5005,50,473.324833
-17.488335,50,473.484831
-25.0005,50,508.63961
-25.0005,50,508.807609
-25.003849,50,508.991606
-25.0005,50,509.174643
-25.0005,50,509.35864
-25.0005,50,509.548749
-25.0005,50,509.716747
-25.0005,50,509.895334
-25.0005,50,510.064391
-25.0005,50,510.201861
-25.0005,50,545.310893
-21.081746,50,545.47089
-22.120089,50,545.646889
-17.668338,50,545.81211
-17.270871,50,545.996154
-13.635556,50,546.165161
-24.52926,50,546.339243
-25.0005,50,546.523243
-24.543322,50,546.700299
-25.029663,50,546.844296
-25.0005,50,582.290172
-25.0005,50,582.465699
-25.0005,50,582.642276
-25.0005,50,582.814763
-25.0005,50,582.974334
-25.0005,50,583.149861
-25.0005,50,583.327384
-25.0005,50,583.502914
-25.0005,50,583.677444
-25.0005,50,583.832029
-8.309317,50,619.159971
-9.15536,50,619.337251
-7.65689,50,619.506302
-9.043931,50,619.690301
-9.165527,50,619.866299
-9.092367,50,620.034296
-10.120326,50,620.210294
-9.041198,50,620.378292
-8.62469,50,620.546289
-24.645669,50,620.698287
-7.885078,50,656.029081
-26.680644,50,656.198135
-7.035898,50,656.374133
-8.454357,50,656.550131
-8.863459,50,656.742129
-26.205861,50,656.926126
-8.406417,50,657.094124
-9.478797,50,657.278122
-6.210447,50,657.439319
-26.174406,50,657.583318
-17.752355,50,692.834688
-16.745511,50,693.002687
-16.351852,50,693.178684
-19.979825,50,693.346682
-30.280392,50,693.52268
-37.809515,50,693.674679
-25.751796,50,693.858676
-17.171182,50,694.034782
-24.703142,50,694.215187
-5.762443,50,694.375188
-11.619317,50,729.81069
-24.759413,50,729.986688
-9.70582,50,730.154686
-13.5005,50,730.314683
-10.731442,50,730.482682
-7.174157,50,730.658679
-23.752166,50,730.826677
-7.201778,50,731.003938
-14.088754,50,731.187935
-11.984658,50,731.33299
-10.858442,50,766.875706
-13.769551,50,767.051704
