# {"t_start": 1649371586.9804692, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.000005,50,34.532923
-25.000005,50,34.726193
-25.000005,50,34.902192
-25.000005,50,35.079256
-25.000005,50,35.255255
-25.000005,50,35.423253
-25.000005,50,35.583252
-25.000005,50,35.743251
-25.000005,50,35.92725
-25.000005,50,36.087249
-25.000005,50,69.620269
-25.000005,50,69.788268
-25.000005,50,69.965553
-25.000005,50,70.136015
-25.000005,50,70.321067
-25.000005,50,70.481066
-25.000005,50,70.665064
-25.000005,50,70.841063
-25.000005,50,71.002355
-25.000005,50,71.155408
-25.000005,50,104.935095
-25.000005,50,105.111093
-25.000005,50,105.279092
-25.000005,50,105.447091
-25.000005,50,105.608344
-25.000005,50,105.768343
-25.000005,50,105.979802
-25.000005,50,106.147804
-25.000005,50,106.326549
-25.000005,50,106.478549
-25.000005,50,140.251348
-25.000005,50,140.411346
-25.000005,50,140.579347
-25.000005,50,140.755345
-25.000005,50,140.939343
-25.000005,50,141.100569
-25.000005,50,141.277644
-25.000005,50,141.445645
-25.000005,50,141.623696
-25.000005,50,141.784754
-25.000005,50,175.673185
-25.000005,50,175.84224
-25.000005,50,176.010238
-25.000005,50,176.194237
-25.000005,50,176.370235
-25.000005,50,176.555654
-25.000005,50,176.731803
-25.000005,50,176.900856
-25.000005,50,177.084855
-25.000005,50,177.244854
-25.000005,50,211.245557
-25.000005,50,211.421555
-25.000005,50,211.589554
-25.000005,50,211.754724
-25.000005,50,211.931984
-25.000005,50,212.107983
-25.000005,50,212.277045
-25.000005,50,212.461044
-25.000005,50,212.645043
-25.000005,50,212.805042
-25.000005,50,246.870743
-25.000005,50,247.046742
-25.000005,50,247.238741
-25.000005,50,247.400007
-25.000005,50,247.569105
-25.000005,50,247.744076
-25.000005,50,247.904057
-25.000005,50,248.080056
-25.000005,50,248.240056
-25.000005,50,248.417339
-25.000005,50,282.62834
-25.000005,50,282.812339
-25.000005,50,282.980338
-25.000005,50,283.156337
-25.000005,50,283.340335
-25.000005,50,283.509607
-25.000005,50,283.694664
-25.000005,50,283.870663
-25.000005,50,284.046662
-25.000005,50,284.198661
-25.000005,50,318.366088
-25.000005,50,318.535385
-25.000005,50,318.696445
-25.000005,50,318.872443
-25.000005,50,319.056442
-25.000005,50,319.232441
-25.000005,50,319.416439
-25.000005,50,319.592438
-25.000005,50,319.776438
-25.000005,50,319.912436
-25.000005,50,354.264
-25.000005,50,354.448
-25.000005,50,354.615999
-25.000005,50,354.799997
-25.000005,50,354.967996
-25.000005,50,355.13723
-25.000005,50,355.330305
-25.000005,50,355.506303
-25.000005,50,355.680081
-25.000005,50,355.841142
-25.000005,50,390.157047
-25.000005,50,390.334754
-25.000005,50,390.502752
-25.000005,50,390.687804
-25.000005,50,390.871802
-25.000005,50,391.031801
-25.000005,50,391.2078
-25.000005,50,391.3838
-25.000005,50,391.559798
-25.000005,50,391.714941
-25.000005,50,426.06449
-25.000005,50,426.232488
-25.000005,50,426.392488
-25.000005,50,426.553787
-25.000005,50,426.739444
-25.000005,50,426.923448
-25.000005,50,427.092506
-25.000005,50,427.261877
-25.000005,50,427.421875
-25.000005,50,427.59094
-25.000005,50,461.957089
-25.000005,50,462.141087
-25.000005,50,462.333087
-25.000005,50,462.525086
-25.000005,50,462.702432
-25.000005,50,462.878432
-25.000005,50,463.048756
-25.000005,50,463.225812
-25.000005,50,463.409814
-25.000005,50,463.545812
-25.000005,50,497.97614
-25.000005,50,498.14414
-25.000005,50,498.312138
-25.000005,50,498.488137
-25.000005,50,498.681507
-25.000005,50,498.85751
-25.000005,50,499.02657
-25.000005,50,499.210569
-25.000005,50,499.386568
-25.000005,50,499.538566
-25.000005,50,533.994493
-25.000005,50,534.171548
-25.000005,50,534.363546
-25.000005,50,534.539545
-25.000005,50,534.723544
-25.000005,50,534.891544
-25.000005,50,535.051541
-9.205988,50,535.25224
-25.000005,50,535.428239
-25.000005,50,535.576262
-5.894344,50,570.007711
-6.689097,50,570.18371
-6.990108,50,570.367709
-9.246504,50,570.553149
-5.375976,50,570.722205
-7.605057,50,570.906204
-5.033647,50,571.083533
-7.122999,50,571.260581
-5.698932,50,571.428581
-8.090591,50,571.572579
-8.315187,50,606.094967
-6.160428,50,606.262965
-7.820413,50,606.438964
-5.797981,50,606.606963
-6.077616,50,606.782159
-7.315913,50,606.958158
-5.896802,50,607.126157
-6.992837,50,607.303506
-7.713798,50,607.480592
-6.503854,50,607.640591
-33.567505,50,641.936899
-3.69993,50,642.120898
-3.959541,50,642.304897
-3.882852,50,642.480896
-7.408174,50,642.640894
-4.11289,50,642.800894
-5.769614,50,642.984893
-6.724228,50,643.144891
-6.095531,50,643.31289
-4.753414,50,643.47289
-9.031711,50,677.798142
-8.215942,50,677.99014
-8.275542,50,678.167379
-5.351904,50,678.344435
-7.123701,50,678.528434
-6.99737,50,678.696432
-7.292383,50,678.864695
-6.412057,50,679.033703
-6.752909,50,679.218752
-8.076059,50,679.34675
-5.64172,50,713.604297
-5.548445,50,713.780296
-4.374604,50,713.941558
-18.356225,50,714.118631
-4.660651,50,714.30263
-5.393299,50,714.454628
-4.669466,50,714.614627
-6.605657,50,714.790626
-4.950056,50,714.966625
-7.42577,50,715.134624
-5.473934,50,749.434678
-2.99333,50,749.617681
-3.924928,50,749.802735
-5.216603,50,749.962735
-3.662932,50,750.130733
-3.779462,50,750.308055
-4.100743,50,750.476054
-9.651282,50,750.636053
-4.375464,50,750.813104
-3.726224,50,750.949103
-6.104702,50,785.437604
-6.493121,50,785.613603
-3.933149,50,785.790886
-5.906116,50,785.967949
-7.752074,50,786.135947
-6.575405,50,786.30469
-5.385411,50,786.479527
-6.236944,50,786.663525
-5.814197,50,786.851668
-6.964111,50,786.979667
-28.415863,50,821.316037
-4.557648,50,821.492036
-4.717185,50,821.676035
-4.959003,50,821.838195
-4.479922,50,822.006194
-5.240859,50,822.174193
-4.392693,50,822.358192
-26.338073,50,822.52619
-3.32,50,822.695434
-3.909749,50,822.856489
-6.766099,50,857.275411
-4.586207,50,857.435411
-4.019005,50,857.611409
-5.571956,50,857.771408
-5.784113,50,857.955407
-5.239102,50,858.140639
-4.430553,50,858.309711
-4.286888,50,858.477709
-4.408037,50,858.653707
-5.238282,50,858.805707
-7.062248,50,893.303438
-4.952619,50,893.480684
-4.294061,50,893.649748
-6.217942,50,893.825747
-5.797295,50,893.995498
-4.893239,50,894.171497
-4.849163,50,894.355496
-4.538589,50,894.600144
-5.810444,50,894.792143
-7.737895,50,894.951971
-5.71398,50,929.617509
-32.961827,50,929.785508
-4.018695,50,929.969507
-6.086579,50,930.153505
-3.591079,50,930.322738
-31.676439,50,930.483795
-5.549791,50,930.643794
-5.013102,50,930.819792
-5.153648,50,931.003792
-4.167086,50,931.157053
-2.560942,50,965.597965
-4.006334,50,965.765965
-3.515068,50,965.941963
-27.530021,50,966.117962
-3.987913,50,966.285961
-4.301856,50,966.46996
-4.754049,50,966.637959
-5.635726,50,966.821154
-4.120037,50,966.997153
-3.695568,50,967.142843
-4.203439,50,1001.501726
-6.203942,50,1001.669725
-3.699556,50,1001.849854
-24.337269,50,1002.017853
-4.996936,50,1002.193851
-5.818935,50,1002.35385
-6.723624,50,1002.539096
-5.152452,50,1002.71615
-4.6122,50,1002.884149
-4.781192,50,1003.028147
