epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.26086628,0.2071988,0.2016455078125,10.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,20.0,0.34375,0.815561224489796,0.0
1,0.06667902,0.01,0.21188854,0.21006133,0.331065673828125,20.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,40.0,0.2875,0.8345663265306122,0.0
2,0.06668393,0.01,0.19961114,0.20864241,0.356204833984375,30.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,60.0,0.53125,0.6845663265306122,0.0
3,0.06668698,0.01,0.18840013,0.20643945,0.401466064453125,40.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,80.0,0.43125,0.7511479591836735,0.0
4,0.06668912,0.01,0.17780139,0.20381276,0.33983032226562504,50.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,100.0,0.3,0.8086734693877551,0.0
5,0.06669066,0.01,0.16869831,0.20114763,0.345174560546875,60.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,120.0,0.31875002,0.827295918367347,0.0
6,0.06669184,0.01,0.15979207,0.19840679,0.327576904296875,70.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,140.0,0.2625,0.8557397959183674,0.0062500000931322575
7,0.066692755,0.01,0.15252727,0.19621338,0.35406982421875,80.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,160.0,0.2375,0.8519132653061225,0.0
8,0.06669349,0.01,0.1452171,0.193398,0.19160644531249998,90.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,180.0,0.21875,0.892219387755102,0.0
9,0.066694096,0.01,0.14184004,0.19251235,0.09827758789062499,100.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,200.0,0.38125002,0.8082908163265305,0.0
10,0.06669461,0.01,0.13987936,0.19210869,0.081307373046875,110.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,220.0,0.425,0.7948979591836735,0.012500000186264515
11,0.06669504,0.01,0.14126526,0.19320019,0.118592529296875,120.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,240.0,0.61875004,0.6784438775510204,0.012500000186264515
12,0.06669541,0.01,0.15097417,0.19733611,0.12172119140625001,130.0,398.4768,0.8,0.8,-23.995537,1.0,0.11198979591836734,0.0,260.0,0.80625,0.3825255102040816,0.0062500000931322575
13,0.06669573,0.01,0.15418318,0.1988163,0.454580078125,140.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,280.0,0.65000004,0.5993622448979592,0.018750000279396772
14,0.06669601,0.01,0.15571815,0.19946176,0.4719873046875,150.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,300.0,0.63750005,0.6423469387755103,0.0
15,0.066696264,0.01,0.15782969,0.20019822,0.431925048828125,160.0,73.31822204589844,0.8,0.8,-23.270166,0.38750000298023224,0.8392857142857142,0.10000000335276127,320.0,0.65625,0.6215561224489796,0.0062500000931322575
16,0.06669649,0.01,0.15897769,0.200497,0.405126953125,170.0,12.475174,0.8,0.8,-22.858889,0.2625,0.9451530612244898,0.06250000093132257,340.0,0.59375,0.6857142857142857,0.031250000931322575
17,0.066696696,0.01,0.16206306,0.201314,0.387867431640625,180.0,3.5564766,0.8,0.8,-23.25874,0.12500000186264515,0.9997448979591836,0.11250000353902578,360.0,0.7,0.6082908163265306,0.0062500000931322575
18,0.066696875,0.01,0.1670691,0.20230225,0.37007080078125,190.0,141.93646,0.8,0.8,-16.753145,0.75,0.6262755102040816,0.30000001192092896,380.0,0.73125005,0.5135204081632652,0.0062500000931322575
19,0.066697,0.01,0.17274038,0.20321839,0.413138427734375,200.0,102.20804,0.8,0.8,-16.765743,0.67499995,0.7285714285714286,0.28750002,400.0,0.75,0.48813775510204077,0.018750000279396772
20,0.066697076,0.01,0.1785261,0.20411544,0.40700439453125004,210.0,128.05371,0.8,0.8,-14.280981,0.8125,0.6869897959183673,0.3375,420.0,0.8125,0.4650510204081633,0.018750000279396772
21,0.06669714,0.01,0.18380672,0.20474374,0.36989501953125004,220.0,108.02251,0.8,0.8,-14.58693,0.7625,0.7362244897959184,0.31250003,440.0,0.76875,0.48596938775510207,0.0
22,0.06669721,0.01,0.18809745,0.2049616,0.347554931640625,230.0,121.92006,0.8,0.8,-13.749673,0.8375,0.6752551020408164,0.23750000447034836,460.0,0.76874995,0.5187499999999999,0.0062500000931322575
23,0.06669726,0.01,0.19216907,0.20516726,0.3402880859375,240.0,54.95842,0.8,0.8,-12.583965,0.725,0.9130102040816327,0.41250002,480.0,0.76874995,0.5008928571428571,0.0062500000931322575
24,0.06669732,0.01,0.19560066,0.2052353,0.350186767578125,250.0,113.310974,0.8,0.8,-12.060908,0.9,0.7528061224489796,0.5375,500.0,0.68125,0.5315051020408164,0.012500000186264515
25,0.06669737,0.01,0.1993762,0.20531589,0.3561181640625,260.0,45.892765,0.8,0.8,-10.582411,0.775,0.9127551020408164,0.5375,520.0,0.74375,0.4989795918367347,0.018750000279396772
26,0.06669742,0.01,0.20306449,0.20532733,0.344810791015625,270.0,123.42293,0.8,0.8,-11.271525,0.95,0.672704081632653,0.425,540.0,0.775,0.4844387755102041,0.0062500000931322575
27,0.066697456,0.01,0.20652615,0.20532744,0.301075439453125,280.0,36.763004,0.8,0.8,-9.923296,0.79999995,0.9191326530612245,0.55,560.0,0.77500004,0.4721938775510204,0.02500000037252903
28,0.0666975,0.01,0.21001914,0.2054407,0.302379150390625,290.0,51.126114,0.8,0.8,-10.191733,0.8125,0.9140306122448979,0.45,580.0,0.76874995,0.44821428571428573,0.0
29,0.06669754,0.01,0.21320918,0.20526862,0.3085546875,300.0,36.07737,0.8,0.8,-9.725225,0.7875,0.960204081632653,0.5375,600.0,0.83125,0.4373724489795918,0.0
30,0.066697575,0.01,0.2160355,0.20514955,0.336695556640625,310.0,118.110855,0.8,0.8,-10.959074,0.9375,0.7252551020408163,0.3625,620.0,0.76875,0.48507653061224487,0.0062500000931322575
31,0.066697605,0.01,0.21878928,0.20497751,0.35788085937499997,320.0,76.67958,0.8,0.8,-7.345805,1.0,0.8454081632653061,0.51250005,640.0,0.81875,0.4558673469387755,0.018750000279396772
32,0.066697635,0.01,0.22156243,0.20476712,0.37740722656250003,330.0,45.321045,0.8,0.8,-8.529246,0.8625,0.9124999999999999,0.51250005,660.0,0.85625005,0.41989795918367345,0.0062500000931322575
33,0.066697665,0.01,0.22410858,0.20450659,0.38451782226562503,340.0,61.43296,0.8,0.8,-6.714509,0.9875,0.8826530612244898,0.46249998,680.0,0.79999995,0.4904336734693877,0.018750000279396772
34,0.066697694,0.01,0.22624518,0.20424503,0.38541015625,350.0,100.20717,0.8,0.8,-8.467537,1.0,0.7948979591836736,0.4375,700.0,0.7375,0.5096938775510204,0.012500000186264515
35,0.066697724,0.01,0.22847854,0.20398933,0.393765869140625,360.0,52.106255,0.8,0.8,-5.794282,1.0,0.8295918367346938,0.46249998,720.0,0.775,0.48520408163265305,0.0062500000931322575
36,0.06669775,0.01,0.23061259,0.20361501,0.395721435546875,370.0,38.430206,0.8,0.8,-5.7946672,0.9625,0.9137755102040817,0.65,740.0,0.8,0.49770408163265306,0.0062500000931322575
37,0.06669777,0.01,0.23264162,0.20331964,0.384703369140625,380.0,79.794876,0.8,0.8,-7.2543764,1.0,0.8076530612244898,0.425,760.0,0.7875,0.4871173469387755,0.0
38,0.06669779,0.01,0.23464893,0.20307969,0.379273681640625,390.0,36.023117,0.8,0.8,-5.553446,0.975,0.951530612244898,0.675,780.0,0.7375,0.49897959183673474,0.02500000037252903
39,0.06669781,0.01,0.23641668,0.2026945,0.375001220703125,400.0,53.2918,0.8,0.8,-5.6668386,1.0,0.8443877551020408,0.375,800.0,0.78125,0.5177295918367346,0.037500000558793545
40,0.06669783,0.01,0.23806302,0.20230864,0.35222900390625,410.0,46.582867,0.8,0.8,-5.68137,1.0,0.8941326530612245,0.57500005,820.0,0.79375,0.492984693877551,0.018750000279396772
41,0.06669785,0.01,0.23973025,0.20179524,0.35332885742187503,420.0,43.254364,0.8,0.8,-5.2353783,1.0,0.9214285714285714,0.5625,840.0,0.80625004,0.5135204081632654,0.018750000279396772
42,0.06669787,0.01,0.24139434,0.20138867,0.32945190429687504,430.0,73.03312,0.8,0.8,-6.902793,1.0,0.7767857142857142,0.4625,860.0,0.7875,0.47346938775510206,0.0062500000931322575
43,0.06669789,0.01,0.24296768,0.20103218,0.33828125,440.0,44.38984,0.8,0.8,-5.394287,1.0,0.8933673469387755,0.675,880.0,0.75,0.5089285714285714,0.0
44,0.0666979,0.01,0.24454562,0.20061916,0.345184326171875,450.0,45.77501,0.8,0.8,-6.908922,0.95,0.8635204081632653,0.51250005,900.0,0.76875,0.5116071428571429,0.012500000186264515
45,0.06669792,0.01,0.24589312,0.20014638,0.3034619140625,460.0,50.844524,0.8,0.8,-5.9257193,1.0,0.8762755102040816,0.475,920.0,0.76874995,0.506377551020408,0.0062500000931322575
46,0.06669793,0.01,0.24730591,0.19971353,0.29742797851562497,470.0,49.40356,0.8,0.8,-5.3374257,1.0,0.8668367346938775,0.55,940.0,0.79375,0.4871173469387755,0.025000000838190317
47,0.06669795,0.01,0.24877532,0.19938193,0.312117919921875,480.0,63.533527,0.8,0.8,-6.204487,1.0,0.7323979591836736,0.47500002,960.0,0.775,0.4855867346938775,0.0
48,0.06669796,0.01,0.25012824,0.19893116,0.29642456054687505,490.0,51.743904,0.8,0.8,-5.719778,1.0,0.8428571428571429,0.5125,980.0,0.725,0.5174744897959184,0.0062500000931322575
49,0.06669798,0.01,0.25131717,0.19844915,0.30559814453125,500.0,44.85201,0.8,0.8,-5.236076,1.0,0.8989795918367346,0.55,1000.0,0.80625,0.49591836734693884,0.018750000279396772
