epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.26202196,0.20590249,0.30928466796875,10.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,20.0,0.26875,0.8266581632653062,0.0062500000931322575
1,0.06667902,0.01,0.20718713,0.2080892,0.20670654296875002,20.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,40.0,0.20625001,0.8920918367346939,0.0
2,0.06668393,0.01,0.18781397,0.20408009,0.18059448242187498,30.0,5.06994703412056,0.8,0.8,-50.60784,0.012500000186264515,0.9875,0.0,60.0,0.29375,0.820280612244898,0.0
3,0.06668698,0.01,0.21694532,0.20840836,0.196700439453125,40.0,367.18,0.8,0.8,-1880.6318,0.9625,0.10561224489795917,0.0,80.0,0.86875004,0.20331632653061224,0.0
4,0.06668912,0.01,0.18767515,0.20821038,0.310216064453125,50.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,100.0,0.05,0.9567602040816326,0.0
5,0.06669066,0.01,0.1665204,0.20331246,0.3171142578125,60.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,120.0,0.0,0.9997448979591836,0.0
6,0.06669184,0.01,0.1500275,0.19838074,0.34039794921875,70.0,8.472426270600408e-05,0.8,0.8,-25.00114,0.0,1.0,0.0,140.0,0.0,0.9998724489795918,0.0
7,0.066692755,0.01,0.1381625,0.19337621,0.358779296875,80.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,160.0,0.0,0.9998724489795918,0.0
8,0.06669349,0.01,0.12801377,0.18876532,0.383533935546875,90.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,180.0,0.0,0.9998724489795918,0.0
9,0.066694096,0.01,0.119666114,0.1843989,0.383330078125,100.0,0.058388915611431,0.8,0.8,-25.296185,0.0,1.0,0.0,200.0,0.0062500000931322575,0.9998724489795918,0.0062500000931322575
10,0.06669461,0.01,0.1135126,0.18051904,0.3719482421875,110.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,220.0,0.012500000186264515,0.9950255102040817,0.0
11,0.06669504,0.01,0.10797798,0.17700803,0.39624267578125005,120.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,240.0,0.0,0.9998724489795918,0.0
12,0.06669541,0.01,0.10319768,0.17374077,0.442000732421875,130.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,260.0,0.0062500000931322575,0.9974489795918368,0.0
13,0.06669573,0.01,0.09884945,0.17059395,0.461441650390625,140.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,280.0,0.0062500000931322575,0.9966836734693878,0.0
14,0.06669601,0.01,0.09509192,0.16772808,0.47679321289062504,150.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,300.0,0.0,1.0,0.0
15,0.066696264,0.01,0.09145867,0.16493867,0.45239501953125,160.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,320.0,0.0,0.9997448979591836,0.0
16,0.06669649,0.01,0.08798448,0.16239858,0.42663330078125,170.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,340.0,0.0,0.9997448979591836,0.0
17,0.066696696,0.01,0.084746934,0.15999298,0.403160400390625,180.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,360.0,0.0,1.0,0.0
18,0.066696875,0.01,0.08179723,0.15773048,0.4080224609375,190.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,380.0,0.0,1.0,0.0
19,0.066697,0.01,0.079155095,0.15562916,0.43165283203125,200.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,400.0,0.0,0.9998724489795918,0.0
20,0.066697076,0.01,0.07716406,0.15375073,0.428919677734375,210.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,420.0,0.0,1.0,0.0
21,0.06669714,0.01,0.075094305,0.15189797,0.42994873046875,220.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,440.0,0.0,1.0,0.0
