# {"t_start": 1649432582.4595253, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0005,50,34.072432
-25.0005,50,34.220601
-25.0005,50,34.372599
-25.0005,50,34.524598
-25.0005,50,34.700597
-25.0005,50,34.836597
-25.0005,50,34.9819
-25.0005,50,35.134966
-25.0005,50,35.286965
-25.0005,50,35.454963
-25.0005,50,69.262735
-25.0005,50,69.414734
-25.0005,50,69.582731
-25.0005,50,69.750731
-25.0005,50,69.902729
-25.0005,50,70.056198
-25.0005,50,70.225261
-25.0005,50,70.38526
-25.0005,50,70.537258
-25.0005,50,70.713258
-25.0005,50,104.917379
-25.0005,50,105.078464
-25.0005,50,105.230463
-25.0005,50,105.398464
-25.0005,50,105.558461
-25.0005,50,105.71046
-25.0005,50,105.895696
-25.0005,50,106.056758
-25.0005,50,106.216757
-25.0005,50,106.368757
-25.0005,50,140.489815
-25.0005,50,140.641813
-25.0005,50,140.801812
-25.0005,50,140.953811
-25.0005,50,141.12181
-25.0005,50,141.289809
-25.0005,50,141.450522
-25.0005,50,141.602524
-25.0005,50,141.770523
-25.0005,50,141.930521
-25.0005,50,176.202858
-25.0005,50,176.370857
-25.0005,50,176.546854
-25.0005,50,176.708088
-25.0005,50,176.876087
-25.0005,50,177.037142
-25.0005,50,177.19714
-25.0005,50,177.35714
-25.0005,50,177.517138
-25.0005,50,177.695266
-25.0005,50,211.885088
-25.0005,50,212.045086
-25.0005,50,212.20635
-25.0005,50,212.383399
-25.0005,50,212.535398
-25.0005,50,212.695397
-25.0005,50,212.904687
-25.0005,50,213.065747
-25.0005,50,213.233745
-25.0005,50,213.401744
-25.0005,50,247.572487
-25.0005,50,247.732484
-25.0005,50,247.90183
-25.0005,50,248.053829
-25.0005,50,248.206887
-25.0005,50,248.350888
-25.0005,50,248.534885
-25.0005,50,248.686885
-25.0005,50,248.838883
-25.0005,50,249.014882
-25.0005,50,283.44685
-25.0005,50,283.606847
-25.0005,50,283.766847
-25.0005,50,283.918846
-25.0005,50,284.070844
-25.0005,50,284.224044
-25.0005,50,284.385283
-25.0005,50,284.553334
-25.0005,50,284.714342
-25.0005,50,284.86634
-25.0005,50,319.255599
-25.0005,50,319.415598
-25.0005,50,319.575597
-25.0005,50,319.735596
-25.0005,50,319.879594
-25.0005,50,320.031594
-25.0005,50,320.191592
-25.0005,50,320.343592
-25.0005,50,320.511589
-25.0005,50,320.679588
-25.0005,50,355.259739
-25.0005,50,355.427737
-25.0005,50,355.580827
-25.0005,50,355.748825
-25.0005,50,355.924824
-25.0005,50,356.092823
-25.0005,50,356.260821
-25.0005,50,356.412822
-25.0005,50,356.58882
-25.0005,50,356.758076
-25.0005,50,391.313779
-25.0005,50,391.489778
-25.0005,50,391.649776
-25.0005,50,391.817775
-25.0005,50,391.977774
-25.0005,50,392.147039
-25.0005,50,392.316103
-25.0005,50,392.468101
-25.0005,50,392.6441
-25.0005,50,392.812099
-25.0005,50,427.279668
-25.0005,50,427.431666
-25.0005,50,427.591666
-25.0005,50,427.759666
-25.0005,50,427.927663
-25.0005,50,428.072974
-25.0005,50,428.240974
-25.0005,50,428.402036
-25.0005,50,428.562035
-25.0005,50,428.738033
-25.0005,50,463.182355
-25.0005,50,463.343422
-25.0005,50,463.49542
-25.0005,50,463.63942
-25.0005,50,463.807417
-25.0005,50,463.959416
-25.0005,50,464.119416
-25.0005,50,464.29357
-25.0005,50,464.453569
-25.0005,50,464.613569
-25.0005,50,499.09687
-25.0005,50,499.261043
-25.0005,50,499.429042
-25.0005,50,499.59704
-25.0005,50,499.781038
-25.0005,50,499.949038
-25.0005,50,500.109037
-25.0005,50,500.277036
-25.0005,50,500.437034
-25.0005,50,500.605033
-25.0005,50,535.135021
-25.0005,50,535.30302
-25.0005,50,535.46302
-25.0005,50,535.615019
-25.0005,50,535.759017
-25.0005,50,535.927016
-25.0005,50,536.087014
-25.0005,50,536.239014
-25.0005,50,536.407012
-25.0005,50,536.575011
-25.0005,50,571.106774
-25.0005,50,571.274772
-25.0005,50,571.44277
-25.0005,50,571.60277
-25.0005,50,571.77077
-25.0005,50,571.930767
-25.0005,50,572.090767
-25.0005,50,572.266766
-25.0005,50,572.426764
-25.0005,50,572.594764
-25.0005,50,606.929686
-25.0005,50,607.105684
-25.0005,50,607.257683
-25.0005,50,607.401682
-25.0005,50,607.578913
-25.0005,50,607.715963
-25.0005,50,607.867963
-25.0005,50,608.021553
-25.0005,50,608.190618
-25.0005,50,608.351865
-25.0005,50,642.867354
-25.0005,50,643.027354
-25.0005,50,643.187352
-25.0005,50,643.347352
-25.0005,50,643.499351
-25.0005,50,643.659349
-25.0005,50,643.811347
-25.0005,50,643.987346
-25.0005,50,644.147345
-25.0005,50,644.290478
-25.0005,50,678.774704
-25.0005,50,678.942703
-25.0005,50,679.110702
-25.0005,50,679.270701
-25.0005,50,679.454699
-25.0005,50,679.615963
-25.0005,50,679.754637
-25.0005,50,679.931698
-25.0005,50,680.099696
-25.0005,50,680.259695
-25.0005,50,714.733403
-25.0005,50,714.875023
-25.0005,50,715.044569
-25.0005,50,715.215112
-25.0005,50,715.372689
-25.0005,50,715.532262
-25.0005,50,715.688842
-25.0005,50,715.836446
-25.0005,50,715.98804
-25.0005,50,716.15559
-25.0005,50,750.849424
-25.0005,50,751.033424
-25.0005,50,751.201423
-25.0005,50,751.38542
-25.0005,50,751.561421
-25.0005,50,751.745419
-25.0005,50,751.921487
-25.0005,50,752.090755
-25.0005,50,752.243813
-25.0005,50,752.419811
-25.0005,50,786.880282
-25.0005,50,787.04828
-25.0005,50,787.208279
-25.0005,50,787.368279
-25.0005,50,787.521517
-25.0005,50,787.682574
-25.0005,50,787.858572
-25.0005,50,788.018572
-25.0005,50,788.18657
-25.0005,50,788.35457
-25.0005,50,822.853662
-25.0005,50,823.018295
-25.521392,50,823.179352
-25.0005,50,823.363351
-25.0005,50,823.523348
-25.0005,50,823.692861
-25.0005,50,823.868859
-25.0005,50,824.021917
-25.0005,50,824.197915
-25.0005,50,824.348097
-25.0005,50,858.820856
-25.0005,50,858.980854
-29.494347,50,859.148854
-25.0005,50,859.316913
-25.460857,50,859.482957
-25.0005,50,859.644197
-25.0005,50,859.788199
-25.0005,50,859.95726
-25.0005,50,860.10926
-25.0005,50,860.262583
-25.0005,50,894.806881
-33.589431,50,894.950881
-25.0005,50,895.112125
-25.0005,50,895.272124
-51.004,50,895.44245
-25.0005,50,895.587508
-90.038865,50,895.755507
-62.293348,50,895.931505
-33.682339,50,896.099504
-25.438628,50,896.259503
-25.0005,50,930.741353
-25.0005,50,930.89335
-25.0005,50,931.053349
-25.0005,50,931.221349
-25.0005,50,931.373348
-25.0005,50,931.549346
-25.0005,50,931.717344
-25.0005,50,931.877344
-25.0005,50,932.046587
-25.0005,50,932.215665
-25.0005,50,966.619461
-25.0005,50,966.763462
-25.0005,50,966.915459
-25.0005,50,967.075458
-25.0005,50,967.267457
-25.0005,50,967.420728
-25.0005,50,967.589792
-25.0005,50,967.74179
-25.0005,50,967.909789
-25.0005,50,968.069788
-25.0005,50,1002.628363
-25.0005,50,1002.797587
-25.0005,50,1002.974638
-25.0005,50,1003.142639
-25.0005,50,1003.310637
-25.0005,50,1003.462636
-25.0005,50,1003.630636
-25.0005,50,1003.790636
-25.0005,50,1003.934634
-25.0005,50,1004.102633
-25.0005,50,1038.664554
-25.0005,50,1038.816552
-25.0005,50,1038.976551
-25.0005,50,1039.12855
-25.0005,50,1039.288549
-25.0005,50,1039.440548
-25.0005,50,1039.593779
-25.0005,50,1039.753776
-25.0005,50,1039.922848
-25.0005,50,1040.098846
-42.182656,50,1074.960402
-25.0005,50,1075.120402
-60.645788,50,1075.2884
-31.223571,50,1075.440399
