epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.30263212,0.19634539,0.05699951171875,10.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,20.0,0.63125,0.536734693877551,0.0
1,0.06667902,0.01,0.25053373,0.20983492,0.011383056640625,20.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,40.0,0.45,0.7224489795918367,0.0
2,0.06668393,0.01,0.25494587,0.20709024,0.005057373046875001,30.0,372.4189,0.8,0.8,-1906.4883,1.0,0.07270408163265306,0.0,60.0,0.73125,0.4053571428571428,0.0
3,0.06668698,0.01,0.23456626,0.20813152,0.25029296874999996,40.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,80.0,0.38125002,0.7241071428571428,0.0
4,0.06668912,0.01,0.2026133,0.20765208,0.256998291015625,50.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,100.0,0.012500000186264515,0.9946428571428572,0.0
5,0.06669066,0.01,0.17789799,0.20447245,0.27149658203125,60.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,120.0,0.0,0.9998724489795918,0.0
6,0.06669184,0.01,0.16241547,0.19899581,0.14079833984375,70.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,140.0,0.012500000186264515,0.9936224489795918,0.0
7,0.066692755,0.01,0.14915848,0.19375417,0.187755126953125,80.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,160.0,0.0062500000931322575,0.9988520408163265,0.0
8,0.06669349,0.01,0.13613373,0.18953711,0.25391357421875005,90.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,180.0,0.0,1.0,0.0
9,0.066694096,0.01,0.12522544,0.18535721,0.34465576171875,100.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,200.0,0.0,1.0,0.0
10,0.06669461,0.01,0.116012566,0.18124078,0.33331787109375,110.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,220.0,0.0,1.0,0.0
11,0.06669504,0.01,0.109503485,0.17681363,0.36101318359375,120.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,240.0,0.0,0.9998724489795918,0.0
12,0.06669541,0.01,0.104665555,0.17251298,0.405235595703125,130.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,260.0,0.0,1.0,0.0
13,0.06669573,0.01,0.1011937,0.16843608,0.34554443359375,140.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,280.0,0.0,1.0,0.0
14,0.06669601,0.01,0.09841953,0.16478778,0.318258056640625,150.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,300.0,0.0,1.0,0.0
15,0.066696264,0.01,0.096012,0.1614201,0.35128173828125,160.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,320.0,0.0062500000931322575,0.9973214285714286,0.0
16,0.06669649,0.01,0.094120756,0.15841001,0.33156494140625,170.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,340.0,0.0,0.9998724489795918,0.0
17,0.066696696,0.01,0.092983104,0.15585664,0.260211181640625,180.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,360.0,0.0062500000931322575,0.9977040816326531,0.0
18,0.066696875,0.01,0.09249809,0.1539618,0.37054931640625,190.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,380.0,0.0,0.9996173469387756,0.0
