# {"t_start": 1649471997.3890457, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0005,50,34.014053
-25.0005,50,34.187127
-25.0005,50,34.360019
-25.0005,50,34.516231
-25.0005,50,34.688065
-25.0005,50,34.862043
-25.0005,50,35.033054
-25.0005,50,35.205948
-25.0005,50,35.367507
-25.0005,50,35.523721
-25.0005,50,68.569324
-25.0005,50,68.756777
-25.0005,50,68.928611
-25.0005,50,69.100446
-25.0005,50,69.272279
-25.0005,50,69.459734
-25.0005,50,69.647187
-25.0005,50,69.820331
-25.0005,50,69.977606
-25.0005,50,70.102576
-25.0005,50,103.939122
-25.0005,50,104.110956
-25.0005,50,104.282788
-25.0005,50,104.439002
-25.0005,50,104.610835
-25.0005,50,104.782668
-25.0005,50,104.954502
-25.0005,50,105.095093
-25.0005,50,105.266926
-25.0005,50,105.43876
-25.0005,50,139.525142
-25.0005,50,139.696975
-25.0005,50,139.870056
-25.0005,50,140.062652
-25.0005,50,140.23554
-25.0005,50,140.407374
-25.0005,50,140.579207
-25.0005,50,140.75104
-25.0005,50,140.938496
-25.0005,50,141.063465
-25.0005,50,175.20798
-25.0005,50,175.40635
-25.0005,50,175.569911
-25.0005,50,175.736465
-25.0005,50,175.900027
-25.0005,50,176.067577
-25.0005,50,176.226152
-25.0005,50,176.392706
-25.0005,50,176.551281
-25.0005,50,176.731797
-1047.762825,50,211.334931
-1554.570412,50,211.523624
-1121.857199,50,211.696514
-1437.493917,50,211.854288
-1604.10844,50,212.042817
-2988.991612,50,212.214651
-2160.48493,50,212.402106
-1565.305283,50,212.573939
-49.191911,50,212.76264
-1024.489592,50,212.887611
-25.0005,50,247.180733
-25.0005,50,247.352566
-25.0005,50,247.508778
-25.0005,50,247.680612
-25.0005,50,247.852446
-25.0005,50,248.0114
-25.0005,50,248.200154
-25.0005,50,248.371988
-25.0005,50,248.529276
-25.0005,50,248.685489
-25.0005,50,283.181417
-25.0005,50,283.354305
-25.0005,50,283.526138
-25.0005,50,283.699356
-25.0005,50,283.872241
-25.0005,50,284.044075
-25.0005,50,284.215908
-25.0005,50,284.387741
-25.0005,50,284.559575
-25.0005,50,284.715788
-25.0005,50,319.236699
-25.0005,50,319.424155
-25.0005,50,319.580367
-25.0005,50,319.737087
-25.0005,50,319.908973
-25.0005,50,320.066193
-25.0005,50,320.238027
-25.0005,50,320.405906
-25.0005,50,320.57774
-25.0005,50,320.750633
-25.0005,50,355.398127
-25.0005,50,355.585582
-25.0005,50,355.757415
-25.0005,50,355.914883
-25.0005,50,356.103397
-25.0005,50,356.290852
-25.0005,50,356.447063
-25.0005,50,356.618897
-25.0005,50,356.790731
-25.0005,50,356.946944
-25.0005,50,391.44598
-25.0005,50,391.634488
-25.0005,50,391.806321
-25.0005,50,391.978155
-25.0005,50,392.134367
-25.0005,50,392.321821
-25.0005,50,392.493654
-25.0005,50,392.682448
-25.0005,50,392.854285
-25.0005,50,393.011557
-25.0005,50,427.524036
-25.0005,50,427.695869
-25.0005,50,427.852081
-25.0005,50,428.039536
-25.0005,50,428.21281
-25.0005,50,428.385702
-25.0005,50,428.557536
-25.0005,50,428.713749
-25.0005,50,428.901204
-25.0005,50,429.02744
-25.0005,50,463.624692
-25.0005,50,463.781968
-25.0005,50,463.953802
-25.0005,50,464.126918
-25.0005,50,464.299812
-25.0005,50,464.456024
-25.0005,50,464.659101
-25.0005,50,464.830934
-25.0005,50,464.987146
-25.0005,50,465.127738
-25.0005,50,499.660554
-25.0005,50,499.832387
-25.0005,50,499.989663
-25.0005,50,500.145875
-25.0005,50,500.333329
-25.0005,50,500.505164
-25.0005,50,500.676996
-25.0005,50,500.848831
-25.0005,50,501.005044
-25.0005,50,501.176877
-25.0005,50,535.720319
-25.0005,50,535.892151
-25.0005,50,536.067176
-25.0005,50,536.239054
-25.0005,50,536.411896
-25.0005,50,536.599352
-25.0005,50,536.771185
-25.0005,50,536.943018
-25.0005,50,537.09923
-25.0005,50,537.241146
-25.0005,50,571.782214
-25.0005,50,571.954047
-25.0005,50,572.12588
-25.0005,50,572.282093
-25.0005,50,572.438305
-25.0005,50,572.594517
-25.0005,50,572.783209
-25.0005,50,572.940474
-25.0005,50,573.112308
-25.0005,50,573.268522
-25.0005,50,607.831917
-25.0005,50,607.98813
-25.0005,50,608.161932
-25.0005,50,608.350441
-25.0005,50,608.522274
-25.0005,50,608.694107
-25.0005,50,608.86594
-25.0005,50,609.022153
-25.0005,50,609.209608
-25.0005,50,609.350199
-25.0005,50,643.89517
-25.0005,50,644.051383
-25.0005,50,644.207595
-25.0005,50,644.363808
-25.0005,50,644.52002
-25.0005,50,644.707475
-25.0005,50,644.879309
-25.0005,50,645.036813
-25.0005,50,645.209699
-25.0005,50,645.381533
-25.0005,50,679.917651
-25.0005,50,680.106391
-25.0005,50,680.279285
-25.0005,50,680.46674
-25.0005,50,680.622951
-25.0005,50,680.794786
-25.0005,50,680.950998
-25.0005,50,681.122831
-25.0005,50,681.294665
-25.0005,50,681.435255
-25.0005,50,715.870623
-25.0005,50,716.058077
-25.0005,50,716.22991
-25.0005,50,716.401744
-25.0005,50,716.557956
-25.0005,50,716.745411
-25.0005,50,716.917245
-25.0005,50,717.089078
-25.0005,50,717.260912
-25.0005,50,717.401504
-25.0005,50,751.792062
-25.0005,50,751.948275
-25.0005,50,752.13573
-25.0005,50,752.291943
-25.0005,50,752.479397
-25.0005,50,752.636879
-25.0005,50,752.825404
-25.0005,50,752.997238
-25.0005,50,753.184693
-25.0005,50,753.325283
-25.0005,50,787.687712
-25.0005,50,787.859547
-25.0005,50,788.040895
-25.0005,50,788.212728
-25.0005,50,788.384562
-25.0005,50,788.572017
-25.0005,50,788.759471
-25.0005,50,788.915684
-25.0005,50,789.087518
-25.14869,50,789.22811
-25.0005,50,823.628584
-25.0005,50,823.78586
-25.822114,50,823.957694
-25.284698,50,824.145153
-25.939917,50,824.30136
-25.0005,50,824.473193
-25.0005,50,824.629407
-25.0005,50,824.816862
-25.0005,50,824.988695
-25.0005,50,825.129287
-25.0005,50,859.601336
-25.0005,50,859.757548
-25.0005,50,859.929382
-25.0005,50,860.085594
-25.0005,50,860.257428
-25.0005,50,860.446166
-25.0005,50,860.619066
-25.0005,50,860.806519
-25.0005,50,860.978352
-25.0005,50,861.134565
-25.0005,50,895.709862
-25.0005,50,895.881696
