# {"t_start": 1649363705.2116234, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-12.835947,50,35.056916
-25.016989,50,35.233974
-16.674488,50,35.401973
-26.48817,50,35.585972
-26.839171,50,35.761971
-29.582357,50,35.93797
-20.952903,50,36.113968
-27.295374,50,36.281967
-29.621684,50,36.43527
-20.282258,50,36.586446
-10.354975,50,69.991532
-4.789922,50,70.173045
-6.754571,50,70.337604
-5.146275,50,70.52909
-3.773614,50,70.712966
-20.085827,50,70.888965
-4.30547,50,71.072964
-6.957804,50,71.232963
-5.818559,50,71.408961
-4.173272,50,71.542439
-8.628762,50,105.288545
-6.864275,50,105.456543
-4.830703,50,105.624542
-4.68789,50,105.801816
-7.955797,50,105.978873
-8.056555,50,106.130871
-6.11928,50,106.298869
-7.575111,50,106.466868
-7.020123,50,106.656295
-8.373106,50,106.801351
-8.637896,50,140.600349
-4.122571,50,140.769417
-4.066884,50,140.937418
-3.561107,50,141.105417
-3.509941,50,141.287123
-5.210129,50,141.448179
-6.272348,50,141.620582
-5.991268,50,141.797635
-3.701471,50,141.973633
-4.25634,50,142.133632
-6.272686,50,176.201205
-10.161853,50,176.361204
-3.010426,50,176.529203
-9.016579,50,176.690471
-2.06289,50,176.859529
-6.565722,50,177.043528
-6.185838,50,177.203526
-4.539613,50,177.379525
-3.389278,50,177.555524
-3.000005,50,177.707523
-6.736273,50,211.704829
-7.657544,50,211.873883
-3.985719,50,212.041881
-4.359374,50,212.219108
-6.956267,50,212.388167
-6.429803,50,212.548167
-3.14019,50,212.709454
-7.240592,50,212.877453
-4.362468,50,213.046527
-4.367205,50,213.214526
-3.719745,50,247.207836
-3.203197,50,247.375835
-4.695646,50,247.545111
-4.505501,50,247.722194
-3.788355,50,247.906192
-3.243204,50,248.090191
-3.264185,50,248.25819
-3.703008,50,248.434188
-3.732703,50,248.603423
-3.299858,50,248.748484
-3.747648,50,282.899432
-6.338208,50,283.07895
-3.459592,50,283.250491
-3.305182,50,283.417044
-3.358652,50,283.600552
-3.62372,50,283.756135
-4.214832,50,283.91471
-3.313304,50,284.078271
-10.088329,50,284.252803
-3.278032,50,284.401405
-3.69072,50,318.764896
-2.928389,50,318.93238
-3.011994,50,319.109446
-9.916577,50,319.285445
-22.766299,50,319.453444
-3.11059,50,319.640635
-3.389149,50,319.800635
-3.092539,50,319.976633
-3.267,50,320.145693
-3.366453,50,320.305691
-4.846336,50,354.175055
-3.483212,50,354.351053
-5.116292,50,354.527053
-4.814367,50,354.703052
-3.238074,50,354.867933
-3.835294,50,355.03699
-2.994373,50,355.222211
-2.012579,50,355.399273
-4.258263,50,355.567275
-3.114899,50,355.703274
-8.253817,50,389.703972
-5.322875,50,389.863971
-3.284236,50,390.03997
-2.852305,50,390.223968
-4.585304,50,390.407967
-7.136325,50,390.575966
-2.510394,50,390.743965
-2.55404,50,390.919963
-3.628322,50,391.087962
-3.572723,50,391.227111
-3.619903,50,425.327762
-3.081056,50,425.503761
-3.61769,50,425.67976
-3.664862,50,425.847758
-3.30721,50,426.023757
-3.697426,50,426.191756
-4.301029,50,426.359754
-2.655775,50,426.535754
-3.744323,50,426.702889
-4.779222,50,426.864136
-2.792101,50,461.147786
-4.717846,50,461.323785
-4.444233,50,461.483783
-3.157496,50,461.659929
-3.89243,50,461.819928
-3.971116,50,462.013241
-2.732563,50,462.190298
-4.486588,50,462.358297
-9.031828,50,462.526295
-3.236828,50,462.678295
-3.705578,50,496.885297
-2.133094,50,497.062581
-3.05516,50,497.246579
-3.288377,50,497.417234
-1.937538,50,497.618299
-1.776898,50,497.802298
-2.883471,50,497.978296
-4.477983,50,498.154295
-2.746811,50,498.322294
-2.777786,50,498.465084
-3.22332,50,532.685674
-5.545125,50,532.853673
-2.74725,50,533.013672
-3.79257,50,533.18967
-3.185015,50,533.357669
-3.904053,50,533.525668
-3.8199,50,533.677667
-3.257291,50,533.846898
-3.137267,50,534.02396
-3.083898,50,534.185605
-3.024627,50,568.498368
-2.51189,50,568.674367
-2.995622,50,568.858366
-3.497064,50,569.026364
-3.556031,50,569.186364
-2.887768,50,569.346362
-2.938243,50,569.530361
-3.053926,50,569.70636
-3.221686,50,569.898358
-3.664048,50,570.050357
-9.531635,50,604.290276
-3.644708,50,604.450275
-3.034242,50,604.634274
-3.885339,50,604.78753
-2.876041,50,604.972586
-3.45934,50,605.140585
-3.930322,50,605.364583
-2.854655,50,605.540582
-3.589929,50,605.724581
-3.685355,50,605.86058
-7.342741,50,640.184951
-3.623632,50,640.352502
-3.263652,50,640.539001
-3.292367,50,640.708942
-3.147136,50,640.876941
-2.773482,50,641.052939
-2.669781,50,641.220939
-2.755704,50,641.380937
-3.946135,50,641.542169
-2.69828,50,641.695381
-4.783245,50,676.084196
-4.205882,50,676.252196
-4.143215,50,676.412193
-3.677146,50,676.588192
-3.00107,50,676.756191
-2.480742,50,676.925465
-2.079082,50,677.093463
-3.289826,50,677.25578
-5.397214,50,677.43978
-4.207409,50,677.599779
-1.929689,50,712.047722
-3.004931,50,712.232994
-3.278859,50,712.410052
-5.057113,50,712.57005
-3.497482,50,712.747479
-2.362927,50,712.916537
-3.934506,50,713.084536
-3.000005,50,713.252534
-2.987611,50,713.420534
-8.11208,50,713.580533
-2.512809,50,747.963991
-3.730488,50,748.13999
-2.905001,50,748.307989
-3.093492,50,748.483988
-2.525987,50,748.659986
-3.551957,50,748.819985
-2.897768,50,748.995984
-3.785041,50,749.163982
-2.411142,50,749.339981
-2.577339,50,749.499979
-11.236971,50,783.847008
-3.717931,50,784.032066
-3.571578,50,784.216065
-2.898562,50,784.392063
-2.251988,50,784.560062
-3.73417,50,784.729316
-3.571855,50,784.906378
-3.057535,50,785.082378
-3.582151,50,785.266376
