epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.37347135,0.23237978,0.08803955078125,10.0,0.0,0.6135001,0.6762764,-24.231255,0.0,1.0,0.0,20.0,0.0062500000931322575,1.0,0.0062500000931322575
1,0.06667902,0.01,0.33416852,0.22585773,0.1984326171875,20.0,1.382155179977417,0.6060865,0.6883117,-23.826773,0.012500000186264515,0.9903061224489795,0.0,40.0,0.17500001,0.9350765306122449,0.03750000102445483
2,0.06668393,0.01,0.3267255,0.21945758,0.26579833984375,30.0,74.34259,0.53157496,0.72593343,-20.463905,0.5625,0.7908163265306122,0.12500000465661287,60.0,0.33749998,0.8417091836734694,0.03125000046566129
3,0.06668698,0.01,0.3305252,0.21553029,0.171290283203125,40.0,68.47194,0.42356712,0.77090895,-12.945847,0.83750004,0.8767857142857143,0.575,80.0,0.36874998,0.8628826530612246,0.07500000391155481
4,0.06668912,0.01,0.34084758,0.21307068,0.21470825195312498,50.0,251.61066,0.67072517,0.77784884,-15.922678,1.0,0.26658163265306123,0.0,100.0,0.40000004,0.8059948979591838,0.03125000046566129
5,0.06669066,0.01,0.35505748,0.2105599,0.116639404296875,60.0,365.11685,0.7655626,0.79729146,-21.615948,1.0,0.16862244897959183,0.0,120.0,0.48125,0.596938775510204,0.0062500000931322575
6,0.06669184,0.01,0.36502853,0.20700009,0.1184765625,70.0,214.84558,0.64042383,0.76220524,-13.955426,1.0,0.29719387755102045,0.0,140.0,0.5625,0.6661989795918367,0.018750000279396772
7,0.066692755,0.01,0.37170896,0.20355225,0.14784057617187502,80.0,48.436157,0.35669404,0.75912714,-5.1711597,1.0,0.8507653061224489,0.0,160.0,0.5,0.7223214285714286,0.018750000279396772
8,0.06669349,0.01,0.37289986,0.20195091,0.148656005859375,90.0,0.0,0.8,0.8,-25.000004,0.0,1.0,0.0,180.0,0.4125,0.8517857142857144,0.03750000102445483
9,0.066694096,0.01,0.36890492,0.20337039,0.15026733398437503,100.0,0.0,0.79999113,0.7999935,-25.000004,0.0,1.0,0.0,200.0,0.325,0.9306122448979591,0.0437500006519258
10,0.06669461,0.01,0.3675239,0.20297809,0.173687744140625,110.0,8.461184,0.646935,0.78762233,-18.936148,0.3125,0.9933673469387755,0.10000000149011612,220.0,0.39999998,0.9128826530612245,0.05000000027939677
11,0.06669504,0.01,0.36901927,0.2015921,0.19492309570312502,120.0,36.67205,0.47071677,0.7540436,-10.125746,0.7625,0.8686224489795918,0.02500000037252903,240.0,0.39375,0.8931122448979593,0.07500000111758709
12,0.06669541,0.01,0.37198544,0.19973326,0.184024658203125,130.0,29.4527,0.32381338,0.7526295,-3.9908473,0.9875,0.9670918367346938,0.12500000186264515,260.0,0.39375,0.8895408163265306,0.05000000121071935
13,0.06669573,0.01,0.37472036,0.19797999,0.17133666992187502,140.0,17.982718,0.2981896,0.751539,-3.6096072,0.9875,0.9808673469387754,0.4,280.0,0.41875002,0.9079081632653061,0.05625000037252903
14,0.06669601,0.01,0.3771397,0.19616537,0.155283203125,150.0,12.577219,0.27207786,0.7768022,-3.6929998,1.0,0.9926020408163265,0.7375001,300.0,0.425,0.917984693877551,0.10624999925494194
15,0.066696264,0.01,0.37919798,0.19442068,0.148671875,160.0,14.587837,0.27827197,0.75376433,-3.3613806,0.9875,0.9846938775510203,0.4375,320.0,0.35625,0.9271683673469386,0.08125000167638063
16,0.06669649,0.01,0.38091144,0.19273888,0.14437744140625,170.0,12.120403,0.2703216,0.7553242,-3.2130988,1.0,0.9905612244897959,0.6625,340.0,0.36875,0.9380102040816327,0.10625000158324838
17,0.066696696,0.01,0.38239518,0.19112487,0.13837280273437502,180.0,10.100748,0.26597732,0.7454587,-3.2864485,1.0,0.9961734693877551,0.8125,360.0,0.42499998,0.9348214285714285,0.1125
18,0.066696875,0.01,0.38375127,0.1895876,0.13768188476562498,190.0,8.356131,0.25524467,0.7686974,-3.4034114,1.0,0.9926020408163265,0.65,380.0,0.3375,0.9419642857142858,0.08124999888241291
19,0.066697,0.01,0.38494387,0.18816866,0.1362353515625,200.0,11.633166,0.27537706,0.7459172,-3.3205547,1.0,0.9936224489795918,0.7625,400.0,0.41875,0.9410714285714286,0.1
20,0.066697076,0.01,0.3860961,0.18668652,0.14013671875,210.0,13.17494,0.28903008,0.75454724,-3.4936602,0.9875,0.9938775510204082,0.6875,420.0,0.40625,0.9371173469387755,0.09375
21,0.06669714,0.01,0.38721213,0.18518008,0.14158569335937501,220.0,11.061712,0.26905686,0.7574905,-3.2606814,1.0,0.9928571428571429,0.7,440.0,0.35000002,0.9289540816326531,0.05000000121071935
22,0.06669721,0.01,0.387985,0.18391158,0.143712158203125,230.0,12.301928,0.26763028,0.7432854,-3.3490405,1.0,0.9943877551020408,0.725,460.0,0.46875,0.9334183673469387,0.08125000167638063
