# {"t_start": 1649430016.206905, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0005,50,35.420702
-26.91961,50,35.598227
-25.0005,50,35.775751
-19.5005,50,35.949286
-25.0005,50,36.124815
-28.874776,50,36.292366
-24.5005,50,36.459916
-18.5005,50,36.647413
-23.0005,50,36.814964
-24.5005,50,36.960574
-16.0005,50,71.455081
-23.0005,50,71.635597
-25.0005,50,71.819105
-25.0005,50,71.998623
-7.0005,50,72.174153
-25.0005,50,72.34669
-32.509437,50,72.51823
-25.0005,50,72.682789
-21.0005,50,72.848345
-25.0005,50,72.989965
-25.0005,50,107.937786
-23.5005,50,108.1193
-9.5005,50,108.303805
-25.0005,50,108.505265
-17.0005,50,108.681792
-25.0005,50,108.860312
-25.0005,50,109.028861
-23.5005,50,109.200401
-23.0005,50,109.357978
-25.0005,50,109.492617
-24.5005,50,144.774015
-19.5005,50,144.948546
-23.0005,50,145.105127
-25.0005,50,145.280656
-25.0005,50,145.45419
-24.0005,50,145.62972
-22.0005,50,145.816222
-24.0005,50,145.976789
-24.5005,50,146.138356
-25.0005,50,146.297928
-25.0005,50,182.02214
-25.0005,50,182.194676
-11.0005,50,182.370206
-25.51812,50,182.53975
-25.0005,50,182.706303
-25.0005,50,182.880836
-25.0005,50,183.067336
-25.0005,50,183.231895
-25.0005,50,183.400443
-5.0005,50,183.563006
-25.0005,50,218.995998
-25.0005,50,219.17751
-25.0005,50,219.352043
-25.0005,50,219.520591
-25.0005,50,219.686147
-25.0005,50,219.864668
-25.0005,50,220.055157
-25.0005,50,220.237668
-25.0005,50,220.407213
-25.0005,50,220.546839
-25.0005,50,256.066597
-25.0005,50,256.236143
-25.0005,50,256.42364
-25.0005,50,256.586204
-176.261071,50,256.756747
-25.0005,50,256.920308
-25.0005,50,257.09484
-25.0005,50,257.269372
-25.0005,50,257.447893
-29.46696,50,257.612452
-25.0005,50,292.422673
-25.0005,50,292.586235
-25.0005,50,292.772735
-25.0005,50,292.951257
-25.0005,50,293.124791
-25.0005,50,293.318272
-25.0005,50,293.493802
-3419.366446,50,293.680596
