epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.41698745,0.20065065,0.02921142578125,10.0,0.0,0.69226205,0.79999995,-23.34425,0.0,1.0,0.0,20.0,0.03125000046566129,0.9830357142857142,0.018750000279396772
1,0.06667902,0.01,0.36375,0.20468344,0.01266845703125,20.0,0.0,0.5856526,0.7691307,-22.79425,0.0,1.0,0.0,40.0,0.012500000186264515,0.9983418367346939,0.0062500000931322575
2,0.06668393,0.01,0.33166382,0.21241413,0.083831787109375,30.0,0.05556122190319002,0.22854787,0.5299288,-23.19434,0.0,1.0,0.0,60.0,0.05000000121071935,0.9994897959183674,0.03125000046566129
3,0.06668698,0.01,0.31107733,0.22328861,0.1453564453125,40.0,0.0,0.5898709,0.6533122,-24.413,0.0,1.0,0.0,80.0,0.03125000046566129,0.9988520408163266,0.02500000037252903
4,0.06668912,0.01,0.30058923,0.23264994,0.14441528320312502,50.0,0.0,0.79998827,0.79998827,-25.0005,0.0,1.0,0.0,100.0,0.050000001676380634,0.9980867346938775,0.04375000158324838
5,0.06669066,0.01,0.2939866,0.23335004,0.08439453124999999,60.0,0.0,0.7996063,0.8,-25.0005,0.0,1.0,0.0,120.0,0.02500000037252903,0.9975765306122448,0.02500000037252903
6,0.06669184,0.01,0.29469642,0.24009715,0.12491943359374999,70.0,0.0,0.7992902,0.8,-25.0005,0.0,1.0,0.0,140.0,0.0687500019557774,0.9686224489795918,0.02500000037252903
7,0.066692755,0.01,0.29508063,0.23826277,0.01137451171875,80.0,0.46022952,0.71373963,0.7385562,-27.35906,0.0,1.0,0.0,160.0,0.08750000223517418,0.9965561224489796,0.07500000018626451
8,0.06669349,0.01,0.2968407,0.24105762,0.041380615234375,90.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,180.0,0.14375001,0.953954081632653,0.081250004
9,0.066694096,0.01,0.2957128,0.25812253,0.455662841796875,100.0,3.3361483,0.11999999,0.11999999,-25.97829,0.5625,1.0,0.5625,200.0,0.275,0.9734693877551022,0.14375001
10,0.06669461,0.01,0.29517213,0.26419196,0.602427978515625,110.0,4.1004653,0.11999999,0.11999999,-29.11761,0.6125,1.0,0.6125,220.0,0.4375,0.9969387755102042,0.3625
11,0.06669504,0.01,0.29472265,0.2672315,0.48949951171875,120.0,3.7624288,0.11999999,0.11999999,-28.568142,0.5625,1.0,0.5625,240.0,0.50625,0.9969387755102042,0.43125
12,0.06669541,0.01,0.29436842,0.2691778,0.5343981933593751,130.0,3.6932144,0.11999999,0.11999999,-27.516417,0.675,0.9994897959183674,0.65,260.0,0.45,0.9963010204081634,0.34375
13,0.06669573,0.01,0.29440978,0.26936495,0.44753295898437506,140.0,5.1868243,0.1304582,0.1307272,-33.527294,0.6625,0.9951530612244899,0.4375,280.0,0.38125,0.9863520408163264,0.3
14,0.06669601,0.01,0.29195487,0.26933083,0.277138671875,150.0,246.30997,0.671488,0.67820895,-1280.9788,0.9,0.4112244897959183,0.0,300.0,0.13125,0.9207908163265306,0.03750000102445483
15,0.066696264,0.01,0.28684226,0.2693353,0.416312255859375,160.0,123.88153,0.5451969,0.54875004,-646.76483,0.8125,0.4308673469387755,0.0,320.0,0.24375,0.8117346938775509,0.0
16,0.06669649,0.01,0.28747562,0.2656828,0.322657470703125,170.0,0.0,0.4265582,0.43022335,-24.638,0.0,1.0,0.0,340.0,0.10000000055879354,0.9098214285714286,0.012500000186264515
17,0.066696696,0.01,0.2854875,0.2610427,0.27311279296875,180.0,0.0,0.4214542,0.4226413,-22.525501,0.0,1.0,0.0,360.0,0.0,0.9993622448979592,0.0
18,0.066696875,0.01,0.28467652,0.25699228,0.315361328125,190.0,0.0,0.5277725,0.5279292,-23.96925,0.0,1.0,0.0,380.0,0.0062500000931322575,0.9993622448979592,0.0
19,0.066697,0.01,0.28453264,0.25313553,0.29984252929687505,200.0,0.0,0.547161,0.5516044,-24.144249,0.0,1.0,0.0,400.0,0.0,0.9996173469387755,0.0
20,0.066697076,0.01,0.28489423,0.25033054,0.340516357421875,210.0,0.0005294248694553971,0.63181865,0.63430244,-23.584496,0.0,1.0,0.0,420.0,0.0,0.9964285714285714,0.0
