# {"t_start": 1649469928.5768025, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0005,50,34.969838
-25.0005,50,35.126051
-25.0005,50,35.314559
-25.0005,50,35.506317
-25.0005,50,35.678151
-25.0005,50,35.84955
-25.0005,50,36.037005
-25.0005,50,36.194493
-25.0005,50,36.366327
-25.0005,50,36.5101
-12.5005,50,70.272483
-12.5005,50,70.428699
-12.5005,50,70.601596
-12.5005,50,70.757809
-12.5005,50,70.929642
-12.5005,50,71.117097
-12.5005,50,71.288931
-12.5005,50,71.460763
-12.5005,50,71.634994
-12.5005,50,71.776592
-20.5005,50,106.115537
-20.5005,50,106.287371
-20.5005,50,106.459205
-20.5005,50,106.640418
-20.5005,50,106.797709
-20.5005,50,106.970874
-20.5005,50,107.143773
-20.5005,50,107.315607
-20.5005,50,107.471819
-20.5005,50,107.628031
-8.0005,50,142.315317
-8.0005,50,142.48715
-8.0005,50,142.658984
-8.0005,50,142.799575
-8.0005,50,142.955787
-8.0005,50,143.143242
-8.0005,50,143.299454
-8.0005,50,143.471288
-8.0005,50,143.658743
-8.0005,50,143.799333
-25.0005,50,178.517409
-25.0005,50,178.69276
-25.0005,50,178.880218
-25.0005,50,179.098913
-25.0005,50,179.256183
-25.0005,50,179.431032
-25.0005,50,179.60394
-25.0005,50,179.760151
-25.0005,50,179.947606
-25.0005,50,180.088197
-11.0005,50,214.670018
-11.0005,50,214.843075
-11.0005,50,215.000347
-11.0005,50,215.187801
-11.0005,50,215.344014
-11.0005,50,215.51396
-11.0005,50,215.685794
-11.0005,50,215.857628
-11.0005,50,216.029461
-11.0005,50,216.186905
-25.0005,50,250.85588
-25.0005,50,251.027713
-25.615003,50,251.183926
-29.001003,50,251.35576
-25.614616,50,251.544566
-21.042454,50,251.702965
-26.587962,50,251.875855
-25.0005,50,252.04769
-28.177772,50,252.235143
-25.124298,50,252.391356
-25.0005,50,287.164993
-25.0005,50,287.321205
-25.0005,50,287.493038
-25.472728,50,287.664872
-25.786241,50,287.838072
-25.0005,50,288.010964
-25.0005,50,288.198419
-25.438222,50,288.385873
-25.0005,50,288.542085
-25.0005,50,288.698298
-25.0005,50,323.583736
-25.0005,50,323.771191
-25.0005,50,323.944266
-25.0005,50,324.10156
-25.0005,50,324.304636
-25.0005,50,324.476471
-25.0005,50,324.663924
-25.0005,50,324.820137
-25.0005,50,324.991971
-25.0005,50,325.132562
-22.5005,50,360.030303
-22.5005,50,360.217758
-22.5005,50,360.37397
-22.5005,50,360.545803
-22.5005,50,360.702015
-22.5005,50,360.858227
-22.5005,50,361.030061
-22.5005,50,361.201895
-22.5005,50,361.420592
-22.5005,50,361.561183
-25.0005,50,396.738783
-25.0005,50,396.894995
-25.0005,50,397.07381
-25.0005,50,397.245643
-25.0005,50,397.434419
-25.0005,50,397.590634
-25.0005,50,397.76354
-25.0005,50,397.935373
-25.0005,50,398.107207
-25.0005,50,398.263419
-17.5005,50,433.164594
-17.5005,50,433.320806
-17.5005,50,433.508261
-17.5005,50,433.696994
-17.5005,50,433.869898
-17.5005,50,434.041732
-17.5005,50,434.213566
-17.5005,50,434.371076
-17.5005,50,434.528351
-17.5005,50,434.668941
-33.718112,50,469.459112
-33.400428,50,469.630945
-32.879794,50,469.804098
-26.572523,50,469.961369
-31.88226,50,470.133203
-34.244729,50,470.289415
-29.491041,50,470.476869
-31.73263,50,470.664325
-44.56063,50,470.820536
-29.975951,50,470.976749
-25.0005,50,505.978642
-25.0005,50,506.166096
-25.0005,50,506.358716
-25.0005,50,506.51805
-25.0005,50,506.690966
-25.0005,50,506.847181
-25.0005,50,507.029439
-25.0005,50,507.191028
-25.0005,50,507.36272
-25.0005,50,507.518935
-25.0005,50,542.46596
-25.0005,50,542.638849
-25.0005,50,542.810683
-25.0005,50,542.982516
-25.0005,50,543.169971
-25.0005,50,543.341805
-25.0005,50,543.513638
-25.0005,50,543.669852
-25.0005,50,543.844267
-25.0005,50,544.001542
-25.0005,50,579.091308
-25.0005,50,579.24858
-25.0005,50,579.436035
-25.0005,50,579.607868
-25.0005,50,579.779702
-25.0005,50,579.953074
-25.0005,50,580.124908
-25.0005,50,580.297801
-25.0005,50,580.486552
-25.0005,50,580.643833
-943.044967,50,615.814382
-1392.477276,50,615.986217
-2265.661091,50,616.158049
-2237.535961,50,616.314262
-1418.48119,50,616.486095
-1276.537045,50,616.642308
-2157.073237,50,616.829762
-1035.45301,50,616.993093
-1525.224285,50,617.173039
-837.751101,50,617.344872
-594.112709,50,652.611971
-467.060325,50,652.783804
-480.034608,50,652.955637
-299.076138,50,653.143093
-450.21694,50,653.299304
-499.516622,50,653.486759
-489.977697,50,653.627352
-493.300766,50,653.800623
-523.173171,50,653.989138
-651.10943,50,654.129729
-1365.121029,50,689.545362
-1339.323104,50,689.717195
-1904.216119,50,689.88903
-1851.439398,50,690.060862
-1573.779055,50,690.248317
-1262.806851,50,690.420151
-1816.498823,50,690.593288
-1746.348698,50,690.749501
-1368.884214,50,690.938012
-1149.696428,50,691.094224
-25.0005,50,726.496473
-25.0005,50,726.668307
-25.0005,50,726.840141
-25.0005,50,727.004084
-25.0005,50,727.175918
-25.0005,50,727.332131
-25.0005,50,727.503964
-25.0005,50,727.691418
-25.0005,50,727.847631
-25.0005,50,728.003843
-25.0005,50,763.51122
-25.0005,50,763.698676
-34.924923,50,763.870509
-27.08583,50,764.026721
-29.967946,50,764.214175
-25.0005,50,764.370388
-48.430449,50,764.557842
-31.753299,50,764.714055
-24.669016,50,764.885888
-25.0005,50,765.057721
-217.43268,50,800.563814
-149.11158,50,800.720025
-151.215432,50,800.876238
-141.017744,50,801.049298
-119.99272,50,801.237825
-203.730465,50,801.41094
-215.166131,50,801.568203
-131.892641,50,801.740037
-150.090729,50,801.909757
-138.800593,50,802.097216
-25.0005,50,837.53086
-25.0005,50,837.685776
-25.0005,50,837.85761
-25.0005,50,838.030509
-25.0005,50,838.217964
-25.0005,50,838.389239
-25.0005,50,838.561072
-25.0005,50,838.732906
-25.0005,50,838.905796
-25.0005,50,839.062009
-2115.304251,50,874.266306
-2329.447449,50,874.438139
-951.337587,50,874.609972
-1056.66653,50,874.781806
-372.71775,50,874.938019
-947.235828,50,875.125474
-1211.470908,50,875.297307
-938.16926,50,875.46914
-2042.989965,50,875.625353
-2294.398335,50,875.781564
-25.0005,50,911.162891
-25.0005,50,911.322226
-25.0005,50,911.49406
