epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.06666974,0.01,0.40075585,0.2227699,0.023515625000000002,10.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,20.0,0.06875000381842256,0.9653061224489796,0.02500000037252903
1,0.06667902,0.01,0.34346077,0.23877726,0.03289062499999999,20.0,0.0,0.52238977,0.7696847,-25.0005,0.0,1.0,0.0,40.0,0.0,0.9954081632653062,0.0
2,0.06668393,0.01,0.30637512,0.24303423,0.0386181640625,30.0,0.0,0.4824768,0.7988249,-25.0005,0.0,1.0,0.0,60.0,0.0,0.9970663265306123,0.0
3,0.06668698,0.01,0.28446677,0.23544885,0.07033935546875,40.0,0.0,0.6320499,0.7983184,-25.0005,0.0,1.0,0.0,80.0,0.0,0.9991071428571429,0.0
4,0.06668912,0.01,0.27213034,0.23097588,0.0869384765625,50.0,0.0,0.69475454,0.79986817,-25.0005,0.0,1.0,0.0,100.0,0.0062500000931322575,0.9975765306122448,0.0
5,0.06669066,0.01,0.26633897,0.22651087,0.11662109375,60.0,0.0,0.74739736,0.79990655,-25.0005,0.0,1.0,0.0,120.0,0.0,0.9987244897959184,0.0
6,0.06669184,0.01,0.26832995,0.22102512,0.0775634765625,70.0,0.0,0.7953123,0.8,-25.0005,0.0,1.0,0.0,140.0,0.012500000186264515,0.9920918367346938,0.0
7,0.066692755,0.01,0.2717848,0.2211839,0.005372314453125001,80.0,0.0,0.60254335,0.60254335,-25.0005,0.0,1.0,0.0,160.0,0.012500000186264515,0.9820153061224489,0.0062500000931322575
8,0.06669349,0.01,0.27525973,0.23549016,0.082747802734375,90.0,257.6728,0.6047405,0.64631987,-1310.5774,0.45000002,0.30153061224489797,0.0,180.0,0.012500000186264515,0.9267857142857143,0.0
9,0.066694096,0.01,0.2804775,0.24625735,0.06589721679687499,100.0,107.71237,0.3273934,0.45469818,-551.4502,0.73749995,0.7346938775510203,0.0,200.0,0.06875,0.9395408163265306,0.0
10,0.06669461,0.01,0.287302,0.25039506,0.08032958984375001,110.0,376.12762,0.791164,0.7992559,-1925.0597,0.95,0.08647959183673469,0.0,220.0,0.11250000074505806,0.8522959183673469,0.0
11,0.06669504,0.01,0.28566778,0.2475853,0.24159667968749998,120.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,240.0,0.0,0.9873724489795919,0.0
12,0.06669541,0.01,0.28468,0.24433392,0.18094970703125002,130.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,260.0,0.0,0.9998724489795918,0.0
13,0.06669573,0.01,0.28219792,0.240775,0.20659912109375,140.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,280.0,0.0,1.0,0.0
14,0.06669601,0.01,0.28029576,0.23710221,0.2317822265625,150.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,300.0,0.0,1.0,0.0
15,0.066696264,0.01,0.2780049,0.233784,0.257347412109375,160.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,320.0,0.0,1.0,0.0
16,0.06669649,0.01,0.2761877,0.23052041,0.26277099609375,170.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,340.0,0.0,1.0,0.0
17,0.066696696,0.01,0.27424753,0.2276419,0.28423583984375,180.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,360.0,0.0,1.0,0.0
18,0.066696875,0.01,0.27298108,0.22476713,0.29868164062499997,190.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,380.0,0.0,1.0,0.0
19,0.066697,0.01,0.27142927,0.2220944,0.25249267578125,200.0,0.0,0.7999612,0.7999612,-25.0005,0.0,1.0,0.0,400.0,0.0,1.0,0.0
20,0.066697076,0.01,0.27037445,0.21939279,0.22349853515625,210.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,420.0,0.0,1.0,0.0
21,0.06669714,0.01,0.2698844,0.21670987,0.203994140625,220.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,440.0,0.0,0.9998724489795918,0.0
22,0.06669721,0.01,0.26940557,0.2142301,0.21487304687499997,230.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,460.0,0.0,1.0,0.0
23,0.06669726,0.01,0.26901156,0.2119515,0.2075927734375,240.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,480.0,0.012500000186264515,1.0,0.012500000186264515
24,0.06669732,0.01,0.2687008,0.20984161,0.21552124023437502,250.0,0.0,0.79988915,0.8,-25.0005,0.0,1.0,0.0,500.0,0.0062500000931322575,1.0,0.0062500000931322575
25,0.06669737,0.01,0.26858062,0.20763545,0.224571533203125,260.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,520.0,0.0,1.0,0.0
26,0.06669742,0.01,0.26836348,0.20588814,0.25018310546875,270.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,540.0,0.0062500000931322575,1.0,0.0062500000931322575
27,0.066697456,0.01,0.26821575,0.20418699,0.30511962890625,280.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,560.0,0.018750000279396772,1.0,0.018750000279396772
28,0.0666975,0.01,0.26811028,0.20300984,0.324229736328125,290.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,580.0,0.04375000158324838,0.9998724489795918,0.04375000158324838
