epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.066631965,0.01,0.084857516,0.118718244,0.0,10.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,20.0,0.0,0.9964285714285714,0.0
1,0.066665925,0.01,0.08849604,0.11838705,0.0,20.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,40.0,0.0,0.997576530612245,0.0
2,0.06667725,0.01,0.090690225,0.12032752,0.0,30.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,60.0,0.0,0.9960459183673469,0.0
3,0.06668291,0.01,0.09397237,0.1217394,0.0,40.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,80.0,0.0,0.9950255102040816,0.0
4,0.06668632,0.01,0.0940583,0.12220429,0.0,50.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,100.0,0.0,0.9941326530612246,0.0
5,0.066688634,0.01,0.09382633,0.12247853,0.0,60.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,120.0,0.0,0.9965561224489796,0.0
6,0.06669031,0.01,0.09308791,0.12238392,0.0,70.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,140.0,0.0062500000931322575,0.9957908163265307,0.0
7,0.06669156,0.01,0.09323869,0.12243382,0.0,80.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,160.0,0.0,0.9954081632653062,0.0
8,0.06669254,0.01,0.09461804,0.1227708,0.0,90.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,180.0,0.0062500000931322575,0.9929846938775511,0.0
9,0.06669331,0.01,0.09554277,0.12294759,0.0,100.0,0.0016505507519468665,0.8,0.8,-25.010109,0.0,1.0,0.0,200.0,0.0,0.9933673469387756,0.0
10,0.06669395,0.01,0.096752465,0.12344936,0.0,110.0,0.0005079654511064291,0.8,0.8,-25.003193,0.0,1.0,0.0,220.0,0.0,0.9959183673469387,0.0
11,0.066694476,0.01,0.09758649,0.12394698,0.0,120.0,0.0006177463219501078,0.8,0.8,-25.009724,0.0,1.0,0.0,240.0,0.0,0.9943877551020408,0.0
12,0.06669493,0.01,0.09872028,0.124144465,0.0,130.0,0.0002775072935037315,0.8,0.8,-25.002125,0.0,1.0,0.0,260.0,0.012500000186264515,0.9926020408163265,0.0062500000931322575
13,0.06669531,0.01,0.099295475,0.124090984,0.0,140.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,280.0,0.0062500000931322575,0.9929846938775511,0.0
14,0.06669565,0.01,0.10022607,0.12422963,0.0,150.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,300.0,0.0062500000931322575,0.9917091836734694,0.0062500000931322575
15,0.06669594,0.01,0.10112249,0.1245721,0.0,160.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,320.0,0.012500000186264515,0.9919642857142857,0.012500000186264515
16,0.066696204,0.01,0.1014293,0.12466049,0.0,170.0,0.00035679267602972686,0.8,0.8,-25.002281,0.0,1.0,0.0,340.0,0.012500000186264515,0.9940051020408163,0.0062500000931322575
17,0.06669643,0.01,0.10214712,0.12501647,0.0,180.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,360.0,0.0,0.9922193877551021,0.0
18,0.06669664,0.01,0.102813154,0.12529539,0.0,190.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,380.0,0.0,0.9923469387755102,0.0
19,0.06669682,0.01,0.10371646,0.12544389,0.0,200.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,400.0,0.0,0.9922193877551021,0.0
20,0.06669698,0.01,0.10445896,0.12576635,0.0,210.0,0.023512902902439237,0.8,0.8,-25.122751,0.0,1.0,0.0,420.0,0.012500000186264515,0.9926020408163265,0.0
21,0.06669706,0.01,0.105258115,0.12619957,0.0,220.0,0.0010872831335291266,0.8,0.8,-25.0069,0.0,1.0,0.0,440.0,0.0062500000931322575,0.9889030612244898,0.0
22,0.06669713,0.01,0.10596378,0.12644914,0.0,230.0,0.0009716610657051206,0.8,0.8,-25.0057,0.0,1.0,0.0,460.0,0.0,0.9906887755102041,0.0
23,0.066697195,0.01,0.10641604,0.12657854,0.0,240.0,0.0007338194409385324,0.8,0.8,-25.005062,0.0,1.0,0.0,480.0,0.0062500000931322575,0.9924744897959183,0.0062500000931322575
24,0.066697255,0.01,0.1070942,0.12685989,0.0,250.0,0.0070383280399255455,0.8,0.8,-25.038559,0.0,1.0,0.0,500.0,0.0,0.9905612244897959,0.0
25,0.06669731,0.01,0.1081314,0.12714782,0.0,260.0,0.015152346226386726,0.8,0.8,-25.077541,0.0,1.0,0.0,520.0,0.012500000186264515,0.9900510204081634,0.0062500000931322575
26,0.06669736,0.01,0.109013155,0.12746944,0.0,270.0,0.024429013952612877,0.8,0.8,-25.135159,0.0,1.0,0.0,540.0,0.012500000186264515,0.9844387755102041,0.0062500000931322575
27,0.066697404,0.01,0.10994337,0.12773392,0.0,280.0,0.03357679513283074,0.8,0.8,-25.17933,0.0,1.0,0.0,560.0,0.0,0.9857142857142858,0.0
28,0.06669745,0.01,0.11071692,0.12796062,0.0,290.0,0.08819182601291686,0.8,0.8,-25.483202,0.0,1.0,0.0,580.0,0.0,0.988265306122449,0.0
29,0.066697486,0.01,0.11176516,0.12822407,0.0,300.0,0.03988699859473854,0.8,0.8,-25.20543,0.0,1.0,0.0,600.0,0.0,0.9899234693877552,0.0
30,0.06669753,0.01,0.112786725,0.12841418,0.0,310.0,0.0053331623785197735,0.8,0.8,-25.028782,0.0,1.0,0.0,620.0,0.012500000186264515,0.985969387755102,0.0062500000931322575
