# {"t_start": 1652450303.0240238, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0005,50,27.7828
-25.0005,50,27.954631
-25.0005,50,28.142083
-25.0005,50,28.313914
-25.0005,50,28.485745
-25.0005,50,28.657576
-25.0005,50,28.815097
-25.0005,50,29.00255
-25.0005,50,29.190002
-25.0005,50,29.31497
-25.0005,50,56.657014
-25.0005,50,56.828845
-25.0005,50,57.000676
-25.0005,50,57.15836
-25.0005,50,57.330192
-25.0005,50,57.487687
-25.0005,50,57.67514
-25.0005,50,57.862592
-25.0005,50,58.018802
-25.0005,50,58.159391
-25.0005,50,85.757881
-25.0005,50,85.914091
-25.0005,50,86.076773
-25.0005,50,86.218823
-25.0005,50,86.406276
-25.0005,50,86.578107
-25.0005,50,86.749938
-25.0005,50,86.92177
-25.0005,50,87.093601
-25.0005,50,87.235852
-25.0005,50,114.742827
-25.0005,50,114.914659
-25.0005,50,115.08649
-25.0005,50,115.258321
-25.0005,50,115.414532
-25.0005,50,115.586363
-25.0005,50,115.773814
-25.0005,50,115.945645
-25.0005,50,116.118774
-25.0005,50,116.259363
-25.0005,50,143.849241
-25.0005,50,144.021072
-25.0005,50,144.192903
-25.0005,50,144.364734
-25.0005,50,144.520945
-25.0005,50,144.681122
-25.0005,50,144.837332
-25.0005,50,144.993542
-25.0005,50,145.165374
-25.0005,50,145.321584
-25.0005,50,173.356941
-25.0005,50,173.528772
-25.0005,50,173.684983
-25.0005,50,173.841193
-25.0005,50,174.028646
-25.0005,50,174.184856
-25.0005,50,174.360594
-25.0005,50,174.516804
-25.0005,50,174.697555
-25.0005,50,174.853766
-25.0005,50,202.882914
-25.0005,50,203.039124
-25.0005,50,203.210956
-25.0005,50,203.368471
-25.0005,50,203.540303
-25.0005,50,203.712135
-25.0005,50,203.883966
-25.0005,50,204.071419
-25.0005,50,204.24325
-25.0005,50,204.38384
-25.0005,50,232.467518
-25.0005,50,232.639349
-25.0005,50,232.826802
-25.0005,50,232.998634
-25.0005,50,233.170465
-25.0005,50,233.35921
-25.0005,50,233.531041
-25.0005,50,233.718494
-25.0005,50,233.874704
-25.0005,50,234.015294
-25.0005,50,262.064813
-25.0005,50,262.252266
-25.0005,50,262.424098
-25.0005,50,262.597295
-25.0005,50,262.784747
-25.0005,50,262.956578
-25.0005,50,263.112789
-25.0005,50,263.269
-25.0005,50,263.440831
-25.0005,50,263.597043
-25.0005,50,291.81661
-25.0005,50,291.974125
-25.0005,50,292.161577
-25.0005,50,292.317788
-25.0005,50,292.489619
-25.0005,50,292.647239
-25.0005,50,292.819071
-25.0005,50,292.975281
-25.0005,50,293.147114
-25.0005,50,293.304665
-25.0005,50,321.487919
-25.0005,50,321.67877
-25.0005,50,321.839057
-25.0005,50,322.010889
-25.0005,50,322.175331
-25.0005,50,322.347162
-25.0005,50,322.503373
-25.0005,50,322.661182
-25.0005,50,322.833014
-25.0005,50,323.004845
-25.0005,50,351.313107
-25.0005,50,351.469317
-25.0005,50,351.641149
-25.0005,50,351.81298
-25.0005,50,351.984812
-25.0005,50,352.172264
-25.0005,50,352.359717
-25.0005,50,352.531548
-25.0005,50,352.719001
-25.0005,50,352.84397
-25.0005,50,381.041273
-25.0005,50,381.211162
-25.0005,50,381.367373
-25.0005,50,381.539204
-25.0005,50,381.726657
-25.0005,50,381.898488
-25.0005,50,382.054699
-25.0005,50,382.210909
-25.0005,50,382.36712
-25.0005,50,382.523331
-25.0005,50,410.902781
-25.0005,50,411.090234
-25.0005,50,411.262065
-25.0005,50,411.433896
-25.0005,50,411.590107
-25.0005,50,411.77756
-25.0005,50,411.949392
-25.0005,50,412.105602
-25.0005,50,412.277433
-25.0005,50,412.418023
-25.0005,50,440.683306
-25.0005,50,440.855137
-25.0005,50,441.011348
-25.0005,50,441.189033
-25.0005,50,441.351415
-25.0005,50,441.523246
-25.0005,50,441.695078
-25.0005,50,441.843045
-25.0005,50,442.030498
-25.0005,50,442.188143
-25.0005,50,470.481416
-25.0005,50,470.653248
-25.0005,50,470.82508
-25.0005,50,470.981291
-25.0005,50,471.153123
-25.0005,50,471.341663
-25.0005,50,471.505918
-25.0005,50,471.67775
-25.0005,50,471.835279
-25.0005,50,471.99149
-25.0005,50,500.234385
-25.0005,50,500.421839
-25.0005,50,500.593671
-25.0005,50,500.781124
-25.0005,50,500.969952
-25.0005,50,501.141784
-25.0005,50,501.303327
-25.0005,50,501.475159
