# {"t_start": 1652460100.002641, "env_id": "CheolFingersSearch-v1"} 
r,l,t
-25.0005,50,28.183855
-25.0005,50,28.351854
-25.0005,50,28.515967
-25.0005,50,28.683966
-25.0005,50,28.851965
-25.0005,50,29.027965
-25.0005,50,29.179964
-25.0005,50,29.352217
-25.0005,50,29.524317
-25.0005,50,29.676318
-25.0005,50,57.190982
-25.0005,50,57.366981
-25.0005,50,57.526981
-25.0005,50,57.71098
-25.0005,50,57.88698
-25.0005,50,58.054979
-25.0005,50,58.214979
-25.0005,50,58.374978
-25.0005,50,58.544263
-25.0005,50,58.688263
-25.0005,50,86.655618
-25.0005,50,86.807617
-25.0005,50,86.975617
-25.0005,50,87.128909
-25.0005,50,87.296908
-25.0005,50,87.464908
-25.0005,50,87.632908
-25.0005,50,87.808907
-25.0005,50,87.975839
-25.0005,50,88.127839
-25.0005,50,116.184338
-25.0005,50,116.368338
-25.0005,50,116.528337
-25.0005,50,116.688337
-25.0005,50,116.856337
-25.0005,50,117.016336
-25.0005,50,117.176336
-25.0005,50,117.352335
-25.0005,50,117.520335
-25.0005,50,117.660518
-25.0005,50,145.64845
-25.0005,50,145.833736
-25.0005,50,146.001736
-25.0005,50,146.177736
-25.0005,50,146.345735
-25.0005,50,146.505735
-25.0005,50,146.673735
-25.0005,50,146.825734
-25.0005,50,147.001734
-25.0005,50,147.149563
-25.0005,50,175.193041
-25.0005,50,175.353041
-25.0005,50,175.513041
-25.0005,50,175.690333
-25.0005,50,175.834333
-25.0005,50,175.994332
-25.0005,50,176.162332
-25.0005,50,176.338331
-25.0005,50,176.530331
-25.0005,50,176.674331
-25.0005,50,204.803399
-25.0005,50,204.955399
-25.0005,50,205.109418
-25.0005,50,205.269418
-25.0005,50,205.437418
-25.0005,50,205.597418
-25.0005,50,205.766693
-25.0005,50,205.934692
-25.0005,50,206.094692
-25.0005,50,206.254692
-25.0005,50,234.481908
-25.0005,50,234.657908
-25.0005,50,234.809907
-25.0005,50,234.961907
-25.0005,50,235.137907
-25.0005,50,235.313906
-25.0005,50,235.489906
-25.0005,50,235.681906
-25.0005,50,235.843501
-25.0005,50,235.979503
-25.0005,50,264.171855
-25.0005,50,264.341219
-25.0005,50,264.517219
-25.0005,50,264.686364
-25.0005,50,264.846363
-25.0005,50,265.022364
-25.0005,50,265.190362
-25.0005,50,265.374364
-25.0005,50,265.543655
-25.0005,50,265.695654
-25.0005,50,293.932735
-25.0005,50,294.092734
-25.0005,50,294.252734
-25.0005,50,294.417038
-25.0005,50,294.577038
-25.0005,50,294.745037
-25.0005,50,294.921037
-25.0005,50,295.089037
-25.0005,50,295.249037
-25.0005,50,295.417036
-25.0005,50,323.598124
-25.0005,50,323.758123
-25.0005,50,323.934122
-25.0005,50,324.08749
-25.0005,50,324.255489
-25.0005,50,324.415489
-25.0005,50,324.583488
-25.0005,50,324.744642
-25.0005,50,324.896641
-25.0005,50,325.065971
-25.0005,50,353.461895
-25.0005,50,353.629894
-25.0005,50,353.813894
-25.0005,50,353.989893
-25.0005,50,354.165893
-25.0005,50,354.335212
-25.0005,50,354.511212
-25.0005,50,354.687212
-25.0005,50,354.847211
-25.0005,50,354.983211
-25.0005,50,383.267771
-25.0005,50,383.419771
-25.0005,50,383.58777
-25.0005,50,383.76377
-25.0005,50,383.93977
-25.0005,50,384.107769
-25.0005,50,384.26777
-25.0005,50,384.443769
-25.0005,50,384.603769
-25.0005,50,384.739768
-25.0005,50,413.095203
-25.0005,50,413.2712
-25.0005,50,413.447197
-25.0005,50,413.599195
-25.0005,50,413.759192
-25.0005,50,413.927191
-25.0005,50,414.095187
-25.0005,50,414.255185
-25.0005,50,414.431181
-25.0005,50,414.583179
-25.0005,50,442.9044
-25.0005,50,443.072397
-25.0005,50,443.248394
-25.0005,50,443.416392
-25.0005,50,443.576389
-25.0005,50,443.728387
-25.0005,50,443.896384
-25.0005,50,444.072381
-25.0005,50,444.232379
-25.0005,50,444.393686
-25.0005,50,472.750881
-25.0005,50,472.918879
-25.0005,50,473.102875
