epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.066631965,0.01,0.100140765,0.10666364,0.0,10.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,20.0,0.0062500000931322575,0.9960459183673469,0.0
1,0.066665925,0.01,0.10092101,0.10632905,0.0,20.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,40.0,0.0,0.996938775510204,0.0
2,0.06667725,0.01,0.100167066,0.10669138,0.0,30.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,60.0,0.0,0.9965561224489796,0.0
3,0.06668291,0.01,0.101745486,0.1081402,0.0,40.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,80.0,0.0,0.9956632653061226,0.0
4,0.06668632,0.01,0.10140307,0.108642384,0.0,50.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,100.0,0.0,0.9964285714285714,0.0
5,0.066688634,0.01,0.10003371,0.10834127,0.0,60.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,120.0,0.0,0.9970663265306123,0.0
6,0.06669031,0.01,0.099683985,0.10840775,0.0,70.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,140.0,0.0062500000931322575,0.9971938775510204,0.0062500000931322575
7,0.06669156,0.01,0.10100932,0.10912075,0.0,80.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,160.0,0.0,0.9964285714285714,0.0
8,0.06669254,0.01,0.101935126,0.11003544,0.0,90.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,180.0,0.0062500000931322575,0.9951530612244899,0.0062500000931322575
9,0.06669331,0.01,0.10278118,0.11053395,0.0,100.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,200.0,0.0,0.9947704081632653,0.0
10,0.06669395,0.01,0.10258369,0.110831425,0.0,110.0,0.0,0.8,0.8,-25.0005,0.0,1.0,0.0,220.0,0.0,0.9950255102040817,0.0
