epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.021068191,0.010883886,0.09255585,0.039562248,0.067308349609375,10.0,102.910255,0.68153894,0.75665873,-2.0625412,0.9,0.9099489795918366,0.38750002,20.0,0.18125,0.9713010204081632,0.125
1,0.021020567,0.010953215,0.09079947,0.05139518,0.075621337890625,20.0,47.77764,0.52776116,0.5817255,-2.8990426,0.4875,0.8862244897959184,0.25,40.0,0.3625,0.9720663265306122,0.27499998
2,0.021012705,0.010932637,0.08748973,0.05494403,0.044476318359375,30.0,47.362755,0.57701516,0.6551833,6.5133476,0.6,0.8816326530612244,0.32500002,60.0,0.43124998,0.9770408163265307,0.3375
3,0.020989224,0.010957977,0.084646046,0.05709515,0.032154541015624996,40.0,8.073693,0.4473528,0.5450225,0.5819191,0.46249998,0.9926020408163265,0.425,80.0,0.41875,0.9955357142857144,0.39375
4,0.020991504,0.010980994,0.08408692,0.06255845,0.048864746093749994,50.0,20.500076,0.4968456,0.68575895,-7.5347834,0.4875,0.9744897959183674,0.4,100.0,0.40625,0.9994897959183673,0.4
5,0.021014478,0.010991311,0.08412813,0.06507172,0.11261962890624999,60.0,32.542107,0.49064973,0.6309031,0.07859695,0.4375,0.952295918367347,0.2875000024214387,120.0,0.41875,0.9900510204081633,0.35000002
6,0.02101345,0.010986542,0.083293505,0.06458261,0.107891845703125,70.0,25.949055,0.45568925,0.5668082,3.272849,0.425,0.9471938775510205,0.26250000670552254,140.0,0.45624998,0.9809948979591837,0.30624998
7,0.020992609,0.010992931,0.082765944,0.067719325,0.09606689453125,80.0,52.6563,0.571806,0.6606351,-6.891759,0.525,0.9211734693877551,0.25,160.0,0.41875,0.9753826530612246,0.28750002
8,0.021002492,0.010995994,0.083675146,0.095535465,0.08141723632812499,90.0,7.166109,0.36197716,0.55027616,-2.8927631,0.35000002,0.9989795918367347,0.3375,180.0,0.50625,0.985204081632653,0.425
9,0.020978864,0.01099085,0.08432107,0.10941837,0.08534423828124998,100.0,3.758919,0.3864044,0.47116265,2.091687,0.2875,0.9941326530612244,0.26250002,200.0,0.38125,0.9943877551020408,0.3625
