# {"t_start": 1651575445.5916967, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-50.191957,50,35.478652
-50.116515,50,35.634866
-18.199773,50,35.812461
-22.161521,50,35.999917
-16.232766,50,36.187371
-38.102313,50,36.359204
-1.102611,50,36.515418
-50.143063,50,36.702872
-2.107548,50,36.874705
-50.224168,50,37.030919
-28.267606,50,71.282423
-6.234105,50,71.471164
-16.219614,50,71.642998
-50.057156,50,71.79921
-50.086275,50,71.971044
-50.092045,50,72.142878
-50.073159,50,72.299091
-0.066806,50,72.470924
-33.142327,50,72.640936
-5.165724,50,72.798434
-50.076724,50,107.154465
-50.088837,50,107.326298
-50.078871,50,107.513753
-50.119574,50,107.67126
-50.071193,50,107.827473
-50.135718,50,107.999306
-0.105611,50,108.172472
-50.088625,50,108.344306
-0.066615,50,108.500518
-0.137507,50,108.656731
-0.140446,50,143.048409
-50.085738,50,143.204622
-50.119017,50,143.360834
-7.193555,50,143.532669
-3.200807,50,143.705811
-50.10266,50,143.862023
-50.094401,50,144.033857
-24.273207,50,144.221312
-0.105179,50,144.377524
-18.158781,50,144.533736
-50.10607,50,179.052039
-50.223675,50,179.223873
-0.086593,50,179.380085
-50.121064,50,179.551919
-50.138643,50,179.723753
-50.217404,50,179.895586
-50.122511,50,180.0518
-0.113169,50,180.209387
-50.142816,50,180.381221
-50.157776,50,180.523103
-5.096838,50,214.865146
-50.13883,50,215.021358
-50.128677,50,215.193192
-42.145791,50,215.350766
-50.097856,50,215.522601
-0.117136,50,215.678812
-50.161899,50,215.86756
-0.097677,50,216.023772
-0.078898,50,216.195606
-50.162809,50,216.336198
-0.198967,50,250.782539
-0.096925,50,250.938753
-37.366404,50,251.110586
-50.146901,50,251.28242
-18.268201,50,251.469875
-17.203244,50,251.641708
-50.105067,50,251.829163
-2.275774,50,252.000997
-2.1967,50,252.172831
-17.218444,50,252.344665
-15.249657,50,286.840897
-50.127163,50,287.012732
-18.191791,50,287.215807
-50.136883,50,287.403263
-0.24994,50,287.575097
-17.269668,50,287.762551
-50.177705,50,287.918763
-50.174991,50,288.091918
-43.22713,50,288.263755
-50.196632,50,288.419967
-50.175925,50,322.834316
-28.283253,50,323.006149
