epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.024321314,0.012072037,0.11101899,0.6964291,0.09576171875,10.0,106.77098,0.73972535,0.7838634,2.1520085,0.25,0.42551020408163265,0.0,20.0,0.0,0.9783163265306122,0.0
1,0.024106687,0.012052665,0.10655073,0.6068443,0.045849609375,20.0,12.60965,0.5934644,0.7855365,7.521814,0.0,0.9548469387755102,0.0,40.0,0.0062500000931322575,0.9891581632653061,0.0062500000931322575
2,0.024030369,0.01204984,0.101243384,0.54649127,0.02888671875,30.0,0.0006318924570223317,0.66692746,0.74327934,0.07381441,0.0,1.0,0.0,60.0,0.0,0.9992346938775512,0.0
3,0.02404495,0.012066631,0.09634048,0.49709758,0.055732421875,40.0,1.4921842105686665,0.65592,0.7509688,-0.43986356,0.0,0.9931122448979592,0.0,80.0,0.0,0.9993622448979593,0.0
4,0.024006331,0.012061695,0.09269438,0.4603289,0.048940429687499995,50.0,0.0013541091466322541,0.53469324,0.74612665,-0.018643234,0.0,1.0,0.0,100.0,0.0,0.9992346938775512,0.0
5,0.02401418,0.0120563945,0.08994057,0.4317087,0.023569335937499998,60.0,0.0005019757663831115,0.5626061,0.6921038,0.00064177264,0.0,1.0,0.0,120.0,0.0,0.9998724489795918,0.0
6,0.024000835,0.012059902,0.087316446,0.40818352,0.038984375,70.0,0.0,0.59348714,0.69314075,-5.593707e-16,0.0,1.0,0.0,140.0,0.0,0.9998724489795918,0.0
7,0.024042692,0.012045607,0.08523833,0.38871422,0.05111328125,80.0,0.0,0.6495815,0.7018397,-7.9203007e-16,0.0,1.0,0.0,160.0,0.0,0.9994897959183673,0.0
8,0.024014847,0.012055849,0.08379502,0.3720749,0.0402685546875,90.0,0.0,0.6078088,0.71138906,-2.3827998e-15,0.0,1.0,0.0,180.0,0.0,0.9996173469387755,0.0
9,0.024047008,0.012047814,0.082713105,0.35796618,0.052919921875,100.0,0.00016229158791247755,0.3220612,0.48117507,-0.00036754197,0.0,1.0,0.0,200.0,0.0,0.9993622448979592,0.0
