# {"t_start": 1653011326.6789749, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-54.720574,50,36.199015
-60.274323,50,36.370847
-57.973586,50,36.542681
-63.902227,50,36.730133
-65.757286,50,36.917587
-51.654897,50,37.089927
-55.59312,50,37.261759
-51.305699,50,37.433592
-55.415105,50,37.605424
-64.383914,50,37.763525
-52.660693,50,71.983373
-58.353097,50,72.155205
-50.687534,50,72.327038
-55.59778,50,72.49887
-50.055221,50,72.656392
-57.198238,50,72.828228
-63.650457,50,73.015681
-61.516381,50,73.203134
-51.45438,50,73.374966
-54.330347,50,73.531177
-50.290941,50,107.930902
-51.007024,50,108.104025
-50.124413,50,108.260237
-50.463133,50,108.43207
-50.171754,50,108.614113
-52.772536,50,108.801566
-50.0708,50,108.973398
-54.975396,50,109.160851
-50.689426,50,109.317063
-50.891745,50,109.490402
-51.400332,50,144.12388
-50.296942,50,144.295712
-71.823366,50,144.460603
-69.910716,50,144.632437
-65.289452,50,144.819889
-71.40621,50,144.993017
-50.080947,50,145.149228
-50.060177,50,145.295832
-50.051807,50,145.452043
-54.202648,50,145.608254
-50.196479,50,180.406703
-50.097837,50,180.578535
-50.072982,50,180.734746
-50.070254,50,180.906578
-50.053886,50,181.06279
-50.040701,50,181.219
-50.090708,50,181.375212
-50.060741,50,181.547045
-50.080816,50,181.703256
-50.086165,50,181.859466
-50.06124,50,216.588654
-50.047715,50,216.760486
-50.066609,50,216.932318
-50.068899,50,217.089892
-50.057932,50,217.261724
-50.041935,50,217.417935
-50.090949,50,217.589768
-50.032889,50,217.76331
-50.059548,50,217.935142
-50.050764,50,218.091354
-50.050129,50,253.149542
-50.036124,50,253.308115
-50.042271,50,253.469681
-50.699798,50,253.655183
-50.05219,50,253.821736
-50.041771,50,253.986293
-50.040327,50,254.153843
-50.031996,50,254.320396
-50.032605,50,254.483956
-37.217408,50,254.675442
-50.026998,50,289.516936
-50.029294,50,289.688769
-50.035713,50,289.860601
-50.051998,50,290.032434
-50.028191,50,290.204266
-50.039713,50,290.376098
-50.042551,50,290.563552
-50.052983,50,290.735384
-50.017787,50,290.908791
-50.037377,50,291.065001
-50.046513,50,325.245338
-50.050667,50,325.404561
-50.04894,50,325.576392
-50.055609,50,325.748225
-50.062375,50,325.920058
-50.058923,50,326.09189
-50.051669,50,326.249436
-50.041979,50,326.421268
-50.051763,50,326.594582
-50.047534,50,326.750793
-50.066161,50,361.175866
-50.029027,50,361.332078
-50.050235,50,361.519531
-50.028192,50,361.691363
-50.05159,50,361.878817
-50.04535,50,362.066271
-50.050465,50,362.255248
-50.06511,50,362.41146
-50.061552,50,362.567671
-50.032153,50,362.69264
-50.051409,50,397.247952
-50.044612,50,397.404167
-50.037159,50,397.575999
-55.933013,50,397.749485
-50.016717,50,397.921318
-50.028044,50,398.061908
-50.142503,50,398.233741
-51.648696,50,398.421194
-50.062252,50,398.563048
-50.074445,50,398.719259
-50.034528,50,433.483894
-50.033386,50,433.640105
-50.041216,50,433.796316
-50.041558,50,433.969432
-52.044171,50,434.141264
-50.030065,50,434.297476
-50.092125,50,434.463461
-50.04764,50,434.619673
-50.340904,50,434.775883
-50.085175,50,434.932095
-50.062464,50,469.905756
-50.016099,50,470.077588
-50.056836,50,470.2338
-50.031268,50,470.405631
-50.087596,50,470.577465
-52.789983,50,470.764918
-51.793574,50,470.967993
-50.057927,50,471.139825
-50.094058,50,471.296036
-50.058077,50,471.452247
-61.855848,50,505.935142
-50.762499,50,506.106974
-50.049801,50,506.263185
-50.03845,50,506.435017
-50.073213,50,506.591228
-50.026787,50,506.747439
-38.335781,50,506.934893
-55.394393,50,507.122346
-50.052417,50,507.309799
-50.03752,50,507.434768
-50.057087,50,542.171266
-50.050236,50,542.327477
-50.802653,50,542.514931
-50.06612,50,542.672472
-50.044249,50,542.844304
-50.049138,50,543.016137
-52.486435,50,543.203591
-51.209928,50,543.375422
-50.94998,50,543.547254
-50.03199,50,543.687845
-51.190864,50,578.518083
-53.989015,50,578.721158
-50.720412,50,578.908612
-50.046603,50,579.064822
-50.363784,50,579.267897
-50.012942,50,579.424108
-50.00707,50,579.595941
-59.472253,50,579.814637
-50.043261,50,579.970849
-54.106708,50,580.111437
-50.047478,50,614.99864
-50.031582,50,615.186094
-53.277257,50,615.373547
-53.824571,50,615.562312
-50.022866,50,615.734144
-50.017667,50,615.921598
-50.037816,50,616.093431
-50.051313,50,616.265263
-50.010668,50,616.421474
-50.127506,50,616.562064
-44.914018,50,651.457175
-50.822371,50,651.629007
-50.144699,50,651.800841
-50.059304,50,651.94143
-50.048989,50,652.083315
-50.051856,50,652.239526
-50.06204,50,652.411358
-50.044268,50,652.567652
-50.151917,50,652.717417
-50.041728,50,652.875079
-52.183147,50,687.759512
-50.138468,50,687.917041
-50.029918,50,688.088874
-50.024912,50,688.260706
-50.737223,50,688.44816
-50.051037,50,688.619993
-50.075245,50,688.807445
-50.060343,50,688.963657
-53.601756,50,689.166732
-50.033588,50,689.307322
-50.059831,50,724.108486
-50.442682,50,724.295939
-50.038403,50,724.461174
-50.052967,50,724.625494
-87.436682,50,724.812947
-50.439882,50,724.98478
-50.143872,50,725.156612
-50.026437,50,725.312824
-50.936129,50,725.484656
-50.026827,50,725.640868
-73.426885,50,760.642862
-50.065208,50,760.814694
-62.901763,50,761.002148
-50.376732,50,761.175265
-50.020037,50,761.331477
-50.082355,50,761.503308
-50.733284,50,761.659521
-50.032691,50,761.833071
-53.690639,50,761.989283
-50.028041,50,762.147043
-50.017339,50,797.557584
-50.043518,50,797.713795
-67.38285,50,797.902598
-50.054689,50,798.043188
-44.039323,50,798.230641
-50.034248,50,798.404607
-58.210893,50,798.576439
-50.149875,50,798.748273
-50.224539,50,798.920104
-50.11773,50,799.076316
-50.276103,50,834.232683
-57.626522,50,834.420137
-50.097886,50,834.597189
-54.93778,50,834.770412
-51.366321,50,834.942246
-50.052135,50,835.098457
-52.831408,50,835.277797
-50.105227,50,835.449634
-50.975529,50,835.637087
-69.540786,50,835.793298
-50.902938,50,870.92142
-50.497397,50,871.093252
-51.437499,50,871.280706
-51.419481,50,871.436918
-51.366403,50,871.624371
-50.975793,50,871.843067
-50.17228,50,872.014899
-50.055978,50,872.171111
-55.998649,50,872.358565
-51.649589,50,872.499155
-50.88199,50,907.6147
-50.156227,50,907.77091
-73.170658,50,907.958364
-50.138787,50,908.114575
-47.12443,50,908.303339
-53.630664,50,908.490793
-51.709002,50,908.647004
-50.104854,50,908.818837
