# {"t_start": 1651869270.627124, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-20.262207,50,36.131552
-4.272009,50,36.319007
-23.330161,50,36.506462
-50.078452,50,36.662674
-0.367551,50,36.850128
-21.412761,50,37.037582
-17.560076,50,37.226374
-16.277938,50,37.398208
-1.356592,50,37.570041
-0.228625,50,37.710633
-26.2961,50,72.071248
-0.153652,50,72.274324
-0.041772,50,72.431832
-0.065264,50,72.603665
-2.233446,50,72.806741
-16.317661,50,72.994196
-50.085541,50,73.150408
-50.038023,50,73.322242
-50.050953,50,73.478453
-1.285595,50,73.634666
-0.051082,50,107.961411
-50.040679,50,108.133245
-50.05832,50,108.289457
-27.30907,50,108.476911
-22.273625,50,108.654449
-50.070688,50,108.810662
-50.056331,50,108.966875
-41.15011,50,109.140027
-50.142078,50,109.327482
-21.300791,50,109.483694
-50.04867,50,143.999917
-50.051972,50,144.162142
-0.110617,50,144.349597
-50.060497,50,144.505809
-24.223433,50,144.693263
-50.073666,50,144.850805
-0.07159,50,145.007016
-50.08508,50,145.194471
-50.083049,50,145.335062
-50.059504,50,145.475653
-22.29785,50,180.007062
-0.076891,50,180.163275
-50.058105,50,180.335109
-0.057966,50,180.491321
-23.198758,50,180.678776
-20.329363,50,180.866231
-0.074086,50,181.022443
-50.11501,50,181.194277
-50.230545,50,181.397353
-50.047152,50,181.554847
-50.08654,50,216.060831
-0.098066,50,216.201423
-34.205996,50,216.388878
-0.146647,50,216.54509
-50.089261,50,216.716924
-0.068798,50,216.874381
-0.104013,50,217.046215
-50.09991,50,217.202428
-8.151782,50,217.358639
-50.054931,50,217.530473
-0.106578,50,252.208492
-0.047923,50,252.365995
-14.361257,50,252.55345
-16.340841,50,252.740906
-3.085776,50,252.897117
-16.243379,50,253.084573
-7.233675,50,253.272027
-17.328025,50,253.459482
-50.153045,50,253.631316
-50.131607,50,253.773197
-19.260832,50,288.443274
-7.264127,50,288.642249
-50.065345,50,288.814082
-0.166111,50,288.985916
-27.301068,50,289.173371
-50.060274,50,289.345205
-0.07195,50,289.501417
-16.313417,50,289.688873
-50.065924,50,289.860706
-0.070774,50,289.975163
-50.06331,50,325.292603
-0.118332,50,325.464436
-26.369653,50,325.667513
-0.131046,50,325.839347
-50.068116,50,325.981238
-50.039235,50,326.153072
-50.185121,50,326.324906
-9.170444,50,326.49674
-50.225701,50,326.684195
-22.22197,50,326.843939
-0.088477,50,361.025721
-4.227448,50,361.199256
-14.346912,50,361.379771
-0.123321,50,361.53735
-26.196461,50,361.715873
-19.261614,50,361.919467
-2.278737,50,362.098987
-2.233457,50,362.287481
-50.253264,50,362.476973
-0.102008,50,362.620589
-13.225462,50,396.823058
-0.145468,50,396.979637
-0.217022,50,397.134223
-50.078186,50,397.295791
-0.314023,50,397.458355
-50.241471,50,397.636878
-0.142181,50,397.799442
-0.262689,50,397.973974
