epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.024278414,0.012123619,0.046976686,0.48732224,0.0821533203125,10.0,16.23053,0.8,0.8,-1.7221112,0.012500000186264515,0.9344387755102042,0.0,20.0,0.0,0.9838010204081633,0.0
1,0.02419174,0.012110724,0.09218146,0.76458734,0.0625048828125,20.0,0.035391077,0.8,0.8,0.93373907,0.0,0.9994897959183673,0.0,40.0,0.0062500000931322575,0.9866071428571429,0.0
2,0.024154712,0.012106167,0.085210845,0.6903658,0.06786132812500001,30.0,0.006836707703769207,0.8,0.8,-0.039459027,0.0,1.0,0.0,60.0,0.0,0.9904336734693878,0.0
3,0.024156846,0.012114595,0.07888426,0.6334108,0.0385302734375,40.0,1.1332580838789,0.8,0.8,-0.09533116,0.0,0.9941326530612244,0.0,80.0,0.0,0.9996173469387755,0.0
4,0.024044147,0.012115682,0.075080365,0.6342888,0.04106933593749999,50.0,32.12461,0.8,0.8,1.6105804,0.0,0.8573979591836735,0.0,100.0,0.0,0.999107142857143,0.0
5,0.02404496,0.012127571,0.068986796,0.59337777,0.040917968750000006,60.0,0.43760663918510545,0.8,0.8,-0.058784656,0.0,0.997704081632653,0.0,120.0,0.0062500000931322575,0.9974489795918368,0.0
6,0.024057552,0.012114356,0.06455027,0.5656034,0.0337060546875,70.0,0.0,0.8,0.8,-1.274115e-15,0.0,1.0,0.0,140.0,0.0,0.9998724489795918,0.0
7,0.024041671,0.012106112,0.061622214,0.54333675,0.0504052734375,80.0,0.22627593204379082,0.8,0.8,0.4741397,0.0,0.9989795918367347,0.0,160.0,0.0,0.9996173469387755,0.0
8,0.024003256,0.012095431,0.058054198,0.51866347,0.060327148437500006,90.0,1.6971834301948547,0.8,0.8,-0.41934353,0.0,0.9933673469387756,0.0,180.0,0.0,0.9993622448979593,0.0
9,0.024000227,0.012094388,0.066884525,0.6220614,0.054052734375,100.0,5.396941661834717,0.8,0.8,0.34325254,0.0,0.9762755102040817,0.0,200.0,0.0,0.9984693877551021,0.0
10,0.0240087,0.012083931,0.06392144,0.5989021,0.07145019531249999,110.0,0.0,0.8,0.8,-3.563908e-15,0.0,1.0,0.0,220.0,0.0,0.9998724489795918,0.0
11,0.024005082,0.012077077,0.074664146,0.6909787,0.052490234375,120.0,0.0,0.8,0.8,-2.1806495e-15,0.0,1.0,0.0,240.0,0.0,0.9985969387755103,0.0
12,0.02400489,0.012072029,0.07330939,0.6822734,0.0639697265625,130.0,0.0004851828271057457,0.8,0.8,0.3937092,0.0,0.9997448979591836,0.0,260.0,0.0,0.9994897959183674,0.0
13,0.02400854,0.012062507,0.069277346,0.67521465,0.0635107421875,140.0,0.018569251522421837,0.8,0.8,-0.017461754,0.0,1.0,0.0,280.0,0.0,0.9954081632653061,0.0
14,0.024001006,0.012062381,0.06666228,0.656713,0.0906298828125,150.0,1.6036508083343506,0.8,0.8,1.4063632,0.0,0.9928571428571429,0.0,300.0,0.0,0.9993622448979593,0.0
15,0.024006218,0.012057528,0.06714756,0.6601072,0.059545898437499994,160.0,10.419521689414978,0.8,0.8,1.186979,0.012500000186264515,0.9540816326530612,0.0,320.0,0.0,0.9997448979591836,0.0
16,0.024005907,0.012061481,0.065886505,0.64923173,0.0798876953125,170.0,3.23746395111084,0.8,0.8,1.5677552,0.0,0.9869897959183673,0.0,340.0,0.0,0.9943877551020409,0.0
17,0.02399772,0.012058124,0.06471924,0.63702554,0.0819873046875,180.0,4.876453095115721,0.8,0.8,-1.0471271,0.0,0.9793367346938775,0.0,360.0,0.0,0.9994897959183673,0.0
18,0.024000818,0.012063384,0.069167055,0.67358685,0.06841796875,190.0,17.125580549240112,0.8,0.8,-11.577972,0.012500000186264515,0.9334183673469387,0.0,380.0,0.0,0.983545918367347,0.0
19,0.023998212,0.012057033,0.0719814,0.6960065,0.089619140625,200.0,23.734428,0.8,0.8,-1.6856947,0.012500000186264515,0.8933673469387755,0.0,400.0,0.018750000279396772,0.9780612244897959,0.0
20,0.024019334,0.012052529,0.074004784,0.7017282,0.13321777343750002,210.0,51.53543,0.8,0.8,1.1532465,0.05000000074505806,0.7931122448979592,0.0,420.0,0.0,0.9821428571428571,0.0
21,0.024027053,0.012053925,0.07811079,0.73162836,0.0971630859375,220.0,34.918747,0.8,0.8,-0.8325995,0.037500000558793545,0.8556122448979592,0.0,440.0,0.03125000046566129,0.9340561224489796,0.0
22,0.024032343,0.012055106,0.08934341,0.7956907,0.09166015625,230.0,33.93155,0.8,0.8,6.2747397,0.037500000558793545,0.8589285714285715,0.0,460.0,0.03125000046566129,0.9383928571428573,0.0
23,0.02401692,0.012062347,0.09260086,0.80273885,0.083916015625,240.0,18.756954,0.8,0.8,-2.0626764,0.06250000093132257,0.9219387755102041,0.0,480.0,0.012500000186264515,0.9855867346938776,0.0
24,0.02401348,0.012063155,0.10669481,0.864607,0.0896240234375,250.0,7.753467590577202,0.8,0.8,8.485202,0.0,0.9650510204081633,0.0,500.0,0.0062500000931322575,0.9728316326530613,0.0
