epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.021259215,0.010907967,0.0108771855,0.022215545,0.0828173828125,10.0,98.56003,0.8,0.8,-9.145628,0.35,0.6632653061224489,0.012500000186264515,20.0,0.23125,0.6533163265306122,0.056250001303851604
1,0.021245722,0.010954337,0.012745354,0.029935325,0.029525146484375,20.0,86.820145,0.8,0.8,-9.119003,0.70000005,0.6959183673469388,0.07500000204890966,40.0,0.50625,0.7264030612244898,0.06250000139698386
2,0.021123243,0.0109495865,0.013694079,0.02925238,0.0501953125,30.0,88.45134,0.8,0.8,8.847969,0.75,0.6806122448979592,0.1999999973922968,60.0,0.63125,0.7825255102040816,0.18125
3,0.021112198,0.010963131,0.016161563,0.061953623,0.06902221679687501,40.0,78.706345,0.8,0.8,-5.841623,0.625,0.7112244897959183,0.18750000465661287,80.0,0.525,0.8285714285714285,0.20625001
4,0.021071156,0.010976551,0.017156433,0.059841573,0.07969604492187501,50.0,37.225548,0.8,0.8,-2.6963062,0.47500002,0.8673469387755102,0.21250000782310963,100.0,0.4875,0.9021683673469387,0.2
5,0.021060556,0.010968478,0.017756311,0.057606556,0.0879638671875,60.0,23.912662506103516,0.8,0.8,-0.63652736,0.45,0.9153061224489796,0.25000000931322575,120.0,0.47499996,0.919515306122449,0.275
6,0.021027565,0.010969792,0.018295756,0.055625353,0.074364013671875,70.0,32.684166,0.8,0.8,-1.1452469,0.575,0.8834183673469387,0.4125,140.0,0.4,0.946045918367347,0.28750002
7,0.021038769,0.010987478,0.018638164,0.054013368,0.08939697265625,80.0,27.22369,0.8,0.8,0.49722487,0.5625,0.900765306122449,0.3875,160.0,0.50625,0.9047193877551021,0.26875
8,0.021045148,0.010987186,0.018568765,0.05343945,0.0797265625,90.0,93.082275,0.8,0.8,-1.5950217,0.79999995,0.6622448979591837,0.25,180.0,0.65,0.7801020408163266,0.23125
9,0.021025196,0.010998389,0.01867175,0.05451639,0.086304931640625,100.0,60.437263,0.8,0.8,5.49341,0.7125,0.7936224489795918,0.375,200.0,0.65,0.7596938775510204,0.175
10,0.021033857,0.010999277,0.018533427,0.056257226,0.105142822265625,110.0,124.35918,0.8,0.8,4.855553,0.8375,0.5528061224489795,0.23750000447034836,220.0,0.70624995,0.688265306122449,0.225
11,0.021045987,0.01100313,0.0181207,0.054988306,0.107672119140625,120.0,156.70363,0.8,0.8,-6.2477174,0.85,0.4392857142857143,0.1375000076368451,240.0,0.79375,0.6039540816326531,0.1875
12,0.021037588,0.011006961,0.017825658,0.054643925,0.0998974609375,130.0,120.22991,0.8,0.8,-3.9517965,0.8125,0.572704081632653,0.1875,260.0,0.81875,0.6341836734693878,0.19999999
13,0.021036718,0.011010995,0.017480543,0.053581424,0.14824584960937498,140.0,97.76509,0.8,0.8,3.8026047,0.7125,0.661734693877551,0.26250001043081284,280.0,0.7125,0.6299744897959183,0.14999999944120646
14,0.021046607,0.01101433,0.017224737,0.052603923,0.17100585937499999,150.0,74.32959,0.8,0.8,-14.091699,0.5875,0.749234693877551,0.23750001,300.0,0.6875,0.6980867346938775,0.18125
15,0.021031504,0.011011446,0.017019695,0.05176052,0.1726806640625,160.0,80.32479,0.8,0.8,4.789315,0.6875,0.7599489795918367,0.30000000074505806,320.0,0.70625,0.7357142857142858,0.19375001
16,0.02103487,0.01100929,0.016844535,0.05103747,0.154342041015625,170.0,100.0762,0.8,0.8,-1.9744544,0.7625,0.6920918367346938,0.33750004,340.0,0.76875,0.7136479591836735,0.225
17,0.021019643,0.011004431,0.016778307,0.05093131,0.169052734375,180.0,83.698715,0.8,0.8,-4.4043894,0.75,0.8073979591836735,0.35000002,360.0,0.85,0.7142857142857143,0.26874998
18,0.021008195,0.011001049,0.016664399,0.050211325,0.2159716796875,190.0,97.74159,0.8,0.8,0.017006874,0.73749995,0.7538265306122449,0.275,380.0,0.83125,0.8017857142857143,0.33125
19,0.02100015,0.011004966,0.01653932,0.049543727,0.211033935546875,200.0,83.335915,0.8,0.8,2.920476,0.6625,0.7408163265306122,0.325,400.0,0.76875,0.7366071428571428,0.25625
20,0.020998891,0.011004128,0.01642525,0.048890755,0.227515869140625,210.0,108.1996,0.8,0.8,2.1456044,0.8625,0.6931122448979592,0.3375000134110451,420.0,0.75625,0.7420918367346938,0.26875
21,0.021000942,0.011000331,0.016368994,0.04829425,0.183349609375,220.0,80.25846,0.8,0.8,-8.357308,0.73749995,0.7461734693877551,0.3125,440.0,0.85,0.7877551020408163,0.35625
22,0.021009648,0.010999852,0.016304944,0.047754105,0.19619140624999998,230.0,76.35526,0.8,0.8,4.0398164,0.825,0.7920918367346939,0.375,460.0,0.76875,0.796045918367347,0.2875
23,0.02100034,0.011002597,0.016238278,0.047195006,0.20203857421875,240.0,110.86341,0.8,0.8,2.4918222,0.825,0.6862244897959183,0.2750000059604645,480.0,0.81875,0.7610969387755102,0.30625
24,0.02099366,0.011004752,0.01617262,0.04668482,0.19667358398437498,250.0,73.759384,0.8,0.8,3.2048936,0.8,0.8125,0.475,500.0,0.825,0.8320153061224489,0.3625
25,0.020991802,0.011005404,0.016166773,0.04633551,0.218607177734375,260.0,68.22392,0.8,0.8,4.387171,0.79999995,0.8329081632653061,0.47500002,520.0,0.74375,0.8408163265306123,0.375
26,0.020992516,0.011007262,0.016205076,0.04685604,0.23042480468749998,270.0,56.090935,0.8,0.8,-5.0857143,0.71250004,0.8545918367346939,0.425,540.0,0.75625,0.861734693877551,0.40625
27,0.020996997,0.011003097,0.016205639,0.046531573,0.2443505859375,280.0,68.4947,0.8,0.8,-1.4410204,0.7125,0.8163265306122449,0.3125,560.0,0.76874995,0.8001275510204082,0.33125
28,0.020990524,0.011004216,0.016182156,0.046149377,0.217125244140625,290.0,79.11271,0.8,0.8,1.3382547,0.7,0.7461734693877551,0.35000002,580.0,0.75625,0.7978316326530612,0.35625
29,0.02098894,0.011001336,0.016172573,0.04582067,0.1915673828125,300.0,67.5621,0.8,0.8,-2.214727,0.6875,0.8321428571428571,0.375,600.0,0.75,0.7988520408163265,0.375
30,0.02098583,0.011002427,0.016155578,0.04549191,0.21285156249999998,310.0,64.04219,0.8,0.8,11.208816,0.7125,0.7948979591836736,0.35,620.0,0.71875,0.8307397959183672,0.36875
31,0.020984676,0.011000965,0.016156502,0.045165516,0.22493896484375,320.0,70.56387,0.8,0.8,1.7498655,0.75,0.8079081632653062,0.33750004,640.0,0.6875,0.8441326530612244,0.3875
32,0.020988774,0.011002881,0.016923256,0.1112013,0.2052978515625,330.0,65.71071,0.8,0.8,12.013878,0.725,0.8196428571428571,0.375,660.0,0.7062501,0.8594387755102041,0.39375
33,0.02098978,0.011005389,0.017240291,0.12360449,0.222083740234375,340.0,73.48723,0.8,0.8,-6.261927,0.7,0.7969387755102041,0.425,680.0,0.76250005,0.8529336734693878,0.425
34,0.020990489,0.01100445,0.017843759,0.13736844,0.18669921875,350.0,68.544014,0.8,0.8,3.143093,0.7625,0.8068877551020408,0.4375,700.0,0.73749995,0.842219387755102,0.35625
35,0.020991802,0.011003875,0.01813432,0.13992365,0.1774951171875,360.0,72.3418,0.8,0.8,5.2803383,0.82500005,0.8198979591836735,0.54999995,720.0,0.825,0.8178571428571428,0.3875
36,0.020985806,0.011003633,0.018164286,0.14038506,0.176844482421875,370.0,74.84078,0.8,0.8,1.9977783,0.875,0.849234693877551,0.6125,740.0,0.84375,0.8552295918367346,0.4875
37,0.020981256,0.011002669,0.018254125,0.13977394,0.200526123046875,380.0,88.52805,0.8,0.8,-11.115976,0.7875,0.7658163265306122,0.4375,760.0,0.85,0.8700255102040816,0.49375
