# {"t_start": 1653102539.8165033, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-50.719779,50,36.04039
-77.130181,50,36.227847
-67.154652,50,36.416622
-52.735097,50,36.604078
-67.166377,50,36.775911
-50.048486,50,36.947745
-50.127806,50,37.11958
-62.066841,50,37.291414
-55.418882,50,37.458638
-50.021512,50,37.599229
-50.969708,50,71.927064
-50.104643,50,72.098898
-74.757869,50,72.301975
-50.055467,50,72.473809
-50.035395,50,72.645643
-50.034512,50,72.817477
-50.047691,50,73.004933
-50.051053,50,73.176766
-50.04452,50,73.33298
-72.519869,50,73.489192
-50.026001,50,107.882888
-53.757091,50,108.070343
-50.057375,50,108.242177
-51.045693,50,108.414011
-50.047728,50,108.587142
-50.039379,50,108.758976
-67.792538,50,108.946431
-50.064372,50,109.133887
-50.039968,50,109.305722
-50.041801,50,109.430692
-50.038472,50,143.741493
-50.016932,50,143.928947
-50.029832,50,144.116403
-50.067049,50,144.289734
-50.032864,50,144.477189
-50.054826,50,144.649024
-50.030312,50,144.820858
-50.065314,50,145.008313
-50.065826,50,145.180148
-50.03163,50,145.306504
-50.062476,50,179.683779
-50.06701,50,179.871234
-52.251275,50,180.074311
-50.046759,50,180.235654
-50.049682,50,180.42311
-50.058348,50,180.588449
-50.042245,50,180.792833
-50.052703,50,180.980288
-52.060745,50,181.152122
-50.038658,50,181.261471
-50.013456,50,215.502034
-62.956476,50,215.70511
-50.032277,50,215.876945
-59.733707,50,216.0644
-50.034208,50,216.237536
-50.051823,50,216.40937
-50.025613,50,216.576705
-50.028398,50,216.748538
-50.06063,50,216.920372
-62.103179,50,217.060963
-50.019294,50,251.403101
-50.019132,50,251.574935
-50.019293,50,251.748053
-50.04913,50,251.919887
-50.032985,50,252.107342
-64.800026,50,252.294797
-50.023672,50,252.482253
-50.069656,50,252.667315
-50.061828,50,252.839148
-50.026403,50,252.964118
-50.03587,50,287.279895
-50.015711,50,287.46735
-50.019235,50,287.654805
-50.057453,50,287.811019
-50.014553,50,287.998474
-50.018161,50,288.170308
-50.050515,50,288.342143
-50.028922,50,288.498355
-50.053633,50,288.67019
-50.032629,50,288.810781
-50.045664,50,322.845567
-50.033046,50,323.017401
-50.043631,50,323.189234
-77.82318,50,323.37669
-50.083896,50,323.548524
-50.029829,50,323.720358
-50.048511,50,323.892193
-50.039697,50,324.064026
-50.034744,50,324.235861
-50.02747,50,324.376453
-50.081717,50,358.62819
-50.037445,50,358.815645
-50.0785,50,358.987479
-50.057668,50,359.174935
-50.038273,50,359.331147
-50.035267,50,359.518603
-50.057574,50,359.674815
-50.017352,50,359.862271
-50.032526,50,360.049726
-50.092236,50,360.174696
-50.025292,50,394.54201
-50.064893,50,394.713845
-50.08914,50,394.9013
-50.030778,50,395.073135
-50.038381,50,395.244968
-50.018088,50,395.416802
-50.109323,50,395.604257
-50.033915,50,395.793094
-50.118496,50,395.949307
