epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.021245379,0.010966046,0.09758989,0.05402966,0.072894287109375,10.0,54.825584,0.68758243,0.74684966,1.5840037,0.45,0.823469387755102,0.15000000409781933,20.0,0.175,0.8589285714285715,0.07500000158324838
1,0.02123889,0.010941453,0.10851496,0.2283519,0.03426513671875,20.0,28.297802,0.64771944,0.7705116,9.486027,0.41250002,0.9040816326530612,0.2500000074505806,40.0,0.36875,0.9941326530612244,0.34375
2,0.021196356,0.010950171,0.105067834,0.20471181,0.02352783203125,30.0,88.442154,0.69383717,0.73990107,7.710931,0.7625,0.686734693877551,0.15000000316649675,60.0,0.3625,0.9704081632653061,0.25
3,0.021202572,0.010999439,0.104252465,0.19428957,0.034989013671875,40.0,11.391628,0.5427687,0.7011552,0.21376514,0.47499996,0.9732142857142857,0.4,80.0,0.425,0.9586734693877552,0.3
4,0.021157,0.01101148,0.1079922,0.26501343,0.045931396484375,50.0,44.613884,0.6290728,0.7526313,5.1734824,0.575,0.8622448979591837,0.2875000089406967,100.0,0.45,0.9725765306122449,0.38124996
5,0.021104787,0.01101462,0.10659453,0.25189444,0.05593505859375,60.0,43.806316,0.5868875,0.7618909,4.1275783,0.5625,0.8686224489795918,0.2625,120.0,0.39375,0.9871173469387755,0.35
6,0.021077966,0.011019757,0.10519531,0.24023187,0.07025390625,70.0,32.733498,0.49949622,0.71244687,6.79552,0.51250005,0.9071428571428573,0.3,140.0,0.39374998,0.9832908163265306,0.325
7,0.021030156,0.011011253,0.10361262,0.22967264,0.11098266601562501,80.0,26.266203,0.5018743,0.7065773,3.2233438,0.5,0.9135204081632653,0.3375,160.0,0.45625,0.9103316326530613,0.25
8,0.021013722,0.011013853,0.10217134,0.22151354,0.104395751953125,90.0,14.899622,0.52350634,0.7140279,-0.46293557,0.525,0.9660714285714285,0.425,180.0,0.48125,0.9613520408163265,0.36874998
9,0.021013455,0.011015058,0.10126525,0.21419421,0.12920654296875,100.0,35.795204,0.59558177,0.74851954,3.729923,0.5875,0.9010204081632653,0.41250002,200.0,0.53125,0.9479591836734694,0.41875
10,0.02101077,0.011023339,0.101324365,0.20881943,0.11329101562499999,110.0,22.222582,0.46257478,0.6521516,6.2639794,0.4875,0.9589285714285714,0.3625,220.0,0.4125,0.9732142857142857,0.35625
11,0.020980846,0.011010242,0.10111599,0.20386693,0.08317260742187499,120.0,15.81028,0.45321295,0.7058178,5.2338705,0.325,0.9688775510204082,0.25000001303851604,240.0,0.425,0.9799744897959185,0.35625
12,0.020984175,0.011006735,0.10032745,0.20121728,0.15555297851562502,130.0,23.953976,0.42511952,0.71647733,-7.6917267,0.5125,0.9482142857142857,0.425,260.0,0.3875,0.9772959183673469,0.33125
13,0.020980686,0.011010447,0.099636815,0.19610201,0.13360107421875,140.0,39.834526,0.6042923,0.73730206,-6.984482,0.525,0.8923469387755102,0.25,280.0,0.44375002,0.9477040816326531,0.25625002
14,0.020957034,0.01101191,0.09939866,0.19207978,0.15221069335937498,150.0,17.04031,0.5549561,0.74360454,0.9861275,0.55,0.9686224489795918,0.4625,300.0,0.50625,0.9734693877551021,0.39375
15,0.02096486,0.011013803,0.099115394,0.18812913,0.130751953125,160.0,19.49968,0.58844495,0.7346429,5.455964,0.5,0.9418367346938776,0.3625,320.0,0.48125002,0.9582908163265306,0.35625
16,0.020968562,0.011011299,0.09921565,0.19625987,0.152220458984375,170.0,25.436691,0.5289474,0.74075663,3.1914818,0.475,0.9329081632653061,0.3125,340.0,0.49375,0.9536989795918367,0.36874998
17,0.020977225,0.011006683,0.09881915,0.1948188,0.16285522460937502,180.0,17.938034,0.4454364,0.7147471,4.7916365,0.5125,0.9734693877551022,0.38750002,360.0,0.45,0.9846938775510204,0.36875
18,0.020970788,0.011004319,0.10011149,0.23202217,0.15416137695312498,190.0,17.644196,0.55329895,0.68804103,7.995556,0.4625,0.9747448979591837,0.3375,380.0,0.48749998,0.9677295918367347,0.3625
19,0.020978129,0.011009635,0.10012827,0.23326483,0.14908203125,200.0,17.370844,0.5640609,0.73035717,-0.22279137,0.45,0.9540816326530612,0.38750002,400.0,0.425,0.9729591836734695,0.30625
20,0.020982262,0.011010166,0.10011874,0.23854727,0.1203857421875,210.0,7.563099,0.45006496,0.6619241,-0.77631426,0.5,0.9823979591836736,0.46249998,420.0,0.39999998,0.9963010204081633,0.375
21,0.020982658,0.011012813,0.09975748,0.23455061,0.095701904296875,220.0,22.072292,0.54912806,0.7182212,5.407201,0.45000002,0.9775510204081632,0.375,440.0,0.39375,0.9850765306122449,0.3625
22,0.020980999,0.011013344,0.099564426,0.23118374,0.119168701171875,230.0,20.755657,0.5941601,0.7313982,-13.637687,0.35000002,0.9369897959183674,0.325,460.0,0.36875,0.9665816326530612,0.29375
23,0.020984903,0.011011271,0.099508986,0.22939153,0.12879150390625,240.0,20.693882,0.54016006,0.72782254,-9.283849,0.51250005,0.9487244897959184,0.4375,480.0,0.475,0.9553571428571429,0.4125
