# {"t_start": 1653590801.067771, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-83.69633,50,35.985348
-77.763215,50,36.172803
-74.623151,50,36.346118
-81.794101,50,36.533572
-50.108291,50,36.689784
-62.420367,50,36.862911
-50.098457,50,37.034744
-63.963522,50,37.206579
-50.100828,50,37.362791
-74.695968,50,37.534624
-67.618282,50,71.866803
-58.037589,50,72.069879
-50.085588,50,72.226091
-50.886444,50,72.399463
-51.474609,50,72.571296
-56.933393,50,72.760037
-64.312407,50,72.931871
-50.124774,50,73.088083
-60.805913,50,73.278251
-44.348256,50,73.450084
-50.090833,50,107.729635
-50.069514,50,107.885849
-50.04433,50,108.057682
-50.072885,50,108.229515
-50.075906,50,108.40135
-50.078345,50,108.557561
-50.093063,50,108.729395
-50.08096,50,108.885608
-50.072408,50,109.057441
-50.070559,50,109.214965
-50.066419,50,143.607095
-50.050403,50,143.763308
-50.059475,50,143.903898
-50.065044,50,144.060111
-50.05221,50,144.200703
-50.060574,50,144.356915
-50.041859,50,144.530043
-50.078026,50,144.70188
-50.04851,50,144.873713
-50.083248,50,145.014304
-50.024081,50,179.639872
-50.033456,50,179.811705
-50.02602,50,179.969244
-50.030778,50,180.141081
-50.036998,50,180.312914
-50.05058,50,180.461873
-77.721148,50,180.664949
-70.380095,50,180.852404
-50.046386,50,181.026464
-50.026232,50,181.151433
-50.065805,50,215.603178
-50.045907,50,215.775012
-50.041434,50,215.946845
-50.041133,50,216.118678
-50.06125,50,216.274892
-50.199246,50,216.446725
-50.023734,50,216.602937
-50.021038,50,216.776127
-50.049429,50,216.94796
-50.027798,50,217.088551
-52.098094,50,251.669847
-50.055982,50,251.84304
-50.071083,50,252.014873
-50.043699,50,252.171085
-50.047566,50,252.327297
-50.020991,50,252.499131
-50.046146,50,252.655344
-50.034684,50,252.827177
-50.047666,50,252.999011
-50.087526,50,253.155223
-50.056022,50,287.547086
-50.058508,50,287.704576
-50.086749,50,287.892031
-50.048496,50,288.063864
-50.048145,50,288.220077
-50.043478,50,288.376289
-50.060861,50,288.548123
-50.086834,50,288.719956
-85.015313,50,288.907412
-60.618353,50,289.064912
-50.075958,50,323.599166
-50.064767,50,323.78662
-50.057804,50,323.958454
-50.064654,50,324.114666
-50.030078,50,324.2865
-50.021006,50,324.458333
-50.034858,50,324.631458
-50.089983,50,324.805448
-50.050097,50,324.961659
-50.044775,50,325.10225
-50.059814,50,359.63376
-50.028086,50,359.800314
-50.055647,50,359.983822
-50.054989,50,360.155362
-50.051717,50,360.34286
-50.031036,50,360.515397
-50.043784,50,360.680954
-50.050049,50,360.851496
-50.072938,50,361.005085
-100.17184,50,361.170641
-50.082788,50,395.826557
-50.079756,50,395.998391
-50.062149,50,396.154603
-50.083839,50,396.310816
-50.03231,50,396.467029
-50.070147,50,396.654483
-61.954828,50,396.841938
-50.046161,50,396.999598
-50.066968,50,397.187052
-50.045711,50,397.327643
-70.814142,50,432.331046
-50.078312,50,432.486628
-50.072918,50,432.647198
-50.090522,50,432.81076
-50.090854,50,432.976316
-50.037395,50,433.146859
-70.292059,50,433.333359
-50.067819,50,433.506894
-63.618065,50,433.695389
-50.050947,50,433.85895
-50.061879,50,468.42112
-50.099858,50,468.577333
-50.072571,50,468.764788
-50.086697,50,468.921
-50.036063,50,469.09417
-50.088651,50,469.250383
-50.071218,50,469.406596
-50.055187,50,469.562808
-50.022637,50,469.719021
-50.07815,50,469.875232
-50.10943,50,504.752791
-105.92073,50,504.940246
-50.063196,50,505.096458
-84.255756,50,505.283913
-80.149263,50,505.485719
-78.370095,50,505.673175
-50.068523,50,505.829388
-75.62861,50,506.00122
-50.269085,50,506.188675
-55.174855,50,506.329266
-50.097643,50,541.101682
-50.052337,50,541.27488
-50.039978,50,541.446713
-92.545376,50,541.635317
-76.842631,50,541.822772
-111.173989,50,542.025849
-50.051578,50,542.197682
-50.071693,50,542.353894
-50.044859,50,542.510106
-50.084164,50,542.666319
-50.062714,50,577.495844
-50.093558,50,577.667677
-50.059156,50,577.83951
-50.106932,50,578.012905
-56.930738,50,578.20036
