# {"t_start": 1651604925.975302, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-40.081741,50,35.558103
-39.141819,50,35.729936
-42.18611,50,35.903228
-26.363243,50,36.090682
-21.19355,50,36.262515
-17.081863,50,36.43435
-19.19556,50,36.623148
-19.192613,50,36.794981
-50.089661,50,36.966815
-36.143957,50,37.123026
-50.394588,50,71.124284
-50.110104,50,71.299892
-50.118371,50,71.471726
-11.119094,50,71.700018
-34.121266,50,71.900263
-50.103372,50,72.056476
-0.080057,50,72.228309
-37.216721,50,72.415763
-50.133575,50,72.571975
-0.089692,50,72.696946
-50.066084,50,106.808333
-50.083761,50,106.980165
-2.260569,50,107.151999
-50.112348,50,107.323833
-50.045852,50,107.495667
-50.140874,50,107.6675
-17.345387,50,107.839333
-0.052166,50,107.995545
-50.043754,50,108.167378
-0.363566,50,108.339213
-17.266221,50,142.736589
-42.18993,50,142.909708
-7.184414,50,143.097163
-44.126562,50,143.284618
-35.176403,50,143.472073
-32.197047,50,143.659527
-50.117816,50,143.83136
-24.519844,50,144.034436
-19.306534,50,144.223239
-39.095959,50,144.363833
-29.123367,50,178.779931
-1.136678,50,178.951764
-50.131534,50,179.120109
-0.083089,50,179.276321
-18.224308,50,179.479398
-36.305472,50,179.666852
-0.220165,50,179.859779
-17.298078,50,180.047234
-50.150504,50,180.219067
-49.072483,50,180.344036
-50.145974,50,214.733059
-50.103694,50,214.920513
-50.03736,50,215.109674
-25.290198,50,215.312749
-49.104519,50,215.500203
-50.180611,50,215.672037
-19.290257,50,215.875113
-0.063223,50,216.046946
-22.095161,50,216.21878
-20.304469,50,216.34375
-50.060843,50,250.777911
-10.348023,50,250.980985
-50.085073,50,251.152819
-50.180769,50,251.355895
-35.194681,50,251.54335
-50.138708,50,251.715183
-50.219451,50,251.919642
-50.109621,50,252.096777
-8.182974,50,252.299853
-50.114712,50,252.456064
-50.131898,50,286.843339
-7.363154,50,287.015173
-16.417608,50,287.202627
-4.349203,50,287.390083
-50.063069,50,287.547582
-26.400988,50,287.735038
-50.197062,50,287.902091
-0.20662,50,288.067523
-30.326295,50,288.270598
-50.242861,50,288.442431
-50.082803,50,322.732286
-50.179415,50,322.935363
-50.20353,50,323.091575
-19.251913,50,323.295941
-50.194345,50,323.452154
-15.251819,50,323.65523
-18.263656,50,323.842684
-4.218985,50,324.026652
-16.235358,50,324.199852
-33.238303,50,324.371688
-0.039012,50,358.842211
-2.230646,50,359.039734
-0.075726,50,359.214628
-16.25563,50,359.402591
-0.177661,50,359.558802
-0.140772,50,359.747569
-50.310294,50,359.925219
-50.04151,50,360.081431
-0.186161,50,360.253264
-0.113251,50,360.393855
-21.26357,50,394.841877
-50.225653,50,395.044954
-27.245476,50,395.216785
-27.236852,50,395.404241
-50.294082,50,395.591696
-21.160344,50,395.76353
-3.14616,50,395.950984
-16.2119,50,396.15406
-50.111489,50,396.325894
-50.23216,50,396.43524
-0.219414,50,430.821309
-0.162093,50,430.993141
-50.108111,50,431.180596
-1.267542,50,431.36805
-50.165543,50,431.539883
-0.151332,50,431.711717
-41.44131,50,431.899172
-0.235217,50,432.072362
-50.628357,50,432.259818
-50.145625,50,432.400407
-6.150073,50,466.854858
-50.255077,50,467.057934
-50.303357,50,467.246793
-0.299801,50,467.434246
-18.267814,50,467.637322
-50.253079,50,467.809156
-0.164904,50,467.99661
-32.276089,50,468.199687
-0.216963,50,468.371519
-13.150337,50,468.480867
-50.257085,50,502.700306
-50.11414,50,502.887761
-0.091501,50,503.059594
-50.204533,50,503.247049
-50.135573,50,503.434503
-50.074027,50,503.623261
-50.155087,50,503.797467
-50.312927,50,503.994938
-50.104554,50,504.18842
-0.03578,50,504.316077
-0.083733,50,538.656923
-36.385058,50,538.828757
-10.272047,50,539.031831
-25.371785,50,539.234907
-12.249399,50,539.437984
-50.092635,50,539.609817
-50.220318,50,539.797272
-50.195869,50,539.997072
-0.201664,50,540.168905
-50.145431,50,540.278254
-13.269058,50,574.809072
-24.242028,50,575.012149
-50.194115,50,575.185386
-50.295959,50,575.374549
-3.209612,50,575.562004
-16.27357,50,575.749457
-18.468838,50,575.936913
-41.169404,50,576.108747
-0.098146,50,576.28058
-14.219176,50,576.422559
-36.084859,50,610.844733
-0.166309,50,611.000946
-3.129149,50,611.157159
