epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.024235684,0.012141625,0.14979891,0.6871847,0.07420898437500001,10.0,108.06673,0.7349237,0.740819,11.322236,0.11250000167638063,0.5239795918367347,0.0,20.0,0.0062500000931322575,0.9498724489795919,0.0
1,0.024205007,0.012115967,0.13456231,0.5907189,0.061108398437499996,20.0,0.029700399609282613,0.58508444,0.6753814,-0.0643698,0.0,1.0,0.0,40.0,0.0,0.993622448979592,0.0
2,0.024258235,0.012080429,0.12818825,0.54755735,0.012470703125,30.0,2.234659405075945e-05,0.5889736,0.68816835,-9.619316e-05,0.0,1.0,0.0,60.0,0.0,0.9994897959183674,0.0
3,0.024186403,0.012076529,0.12067725,0.5092991,0.030205078125,40.0,0.0,0.53085536,0.68168044,-3.3582042e-15,0.0,1.0,0.0,80.0,0.0,0.9982142857142857,0.0
4,0.024137657,0.012075377,0.115680255,0.47641096,0.010229492187500001,50.0,0.00010183410631725565,0.53247285,0.68907005,0.0018932612,0.0,1.0,0.0,100.0,0.0,0.9997448979591836,0.0
5,0.024089102,0.012087342,0.110486045,0.44675294,0.029882812499999998,60.0,0.062033710652031004,0.6085956,0.738389,-0.11508663,0.0,0.9997448979591836,0.0,120.0,0.0,0.9942602040816326,0.0
6,0.024071967,0.012080738,0.1069155,0.42220894,0.021308593749999997,70.0,0.0018069756115437485,0.6270343,0.74287534,-0.03763259,0.0,1.0,0.0,140.0,0.0,0.9997448979591836,0.0
7,0.02404056,0.012079617,0.10401025,0.4020009,0.0319775390625,80.0,1.4500138258990773,0.6275464,0.7529042,-0.16367504,0.0,0.9926020408163265,0.0,160.0,0.0,0.9997448979591836,0.0
8,0.024027493,0.012071679,0.10168503,0.3845457,0.0324609375,90.0,11.779905,0.5942324,0.75038594,4.5627227,0.03750000149011612,0.9372448979591836,0.0,180.0,0.0,0.999107142857143,0.0
9,0.02401407,0.012063202,0.09964667,0.37008974,0.049921875000000004,100.0,8.024334192276001,0.63084704,0.7485064,3.6953454,0.0,0.9637755102040817,0.0,200.0,0.0,0.9989795918367348,0.0
10,0.02402247,0.012060371,0.09875943,0.37011555,0.0514990234375,110.0,3.9189395904541016,0.59805775,0.7608077,0.6206727,0.0,0.9818877551020408,0.0,220.0,0.0,0.999234693877551,0.0
11,0.023988483,0.012060757,0.09686661,0.35835668,0.051669921875,120.0,7.0180559158325195,0.66445875,0.7693006,-1.707685,0.0,0.9635204081632653,0.0,240.0,0.0,0.9992346938775512,0.0
12,0.023963923,0.012067094,0.09546534,0.34840894,0.0532763671875,130.0,0.0,0.6262446,0.7250425,-1.9866124e-15,0.0,1.0,0.0,260.0,0.0,0.995280612244898,0.0
13,0.02396394,0.012059487,0.09426343,0.3390433,0.0356787109375,140.0,0.8574310094118118,0.6328194,0.7356489,-0.787496,0.0,0.9948979591836735,0.0,280.0,0.0,0.999107142857143,0.0
14,0.023953434,0.012060237,0.093202226,0.33047417,0.08718261718749999,150.0,0.8361338317627087,0.59643936,0.7236793,0.23774953,0.0,0.9961734693877551,0.0,300.0,0.0,0.9993622448979593,0.0
15,0.02396345,0.012057642,0.09240216,0.32351476,0.038271484375,160.0,15.21271014213562,0.64148486,0.73863244,1.2363394,0.0,0.9298469387755102,0.0,320.0,0.0,0.9978316326530613,0.0
