epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.021791792,0.011041627,0.08596926,0.0443235,0.0,10.0,0.0,0.60530686,0.6832727,-2.5667285e-16,0.0,1.0,0.0,20.0,0.0,1.0,0.0
1,0.021884453,0.011069311,0.08698809,0.041303005,0.0,20.0,0.0,0.5990698,0.68202776,-2.2425456e-15,0.0,1.0,0.0,40.0,0.0,0.9997448979591836,0.0
2,0.021919562,0.011034814,0.08725936,0.03981933,0.0,30.0,0.0,0.6143861,0.6675603,-1.8570185e-15,0.0,1.0,0.0,60.0,0.0,0.9998724489795918,0.0
3,0.021994127,0.011025546,0.0873748,0.039175782,0.0,40.0,0.0,0.62234735,0.6742703,-7.883828e-16,0.0,1.0,0.0,80.0,0.0,1.0,0.0
4,0.022021273,0.0110260565,0.087380596,0.038777463,0.0,50.0,0.0,0.6373714,0.6701198,-1.026356e-15,0.0,1.0,0.0,100.0,0.0,1.0,0.0
5,0.021979008,0.011038673,0.087437324,0.03875104,0.0,60.0,0.0,0.67892116,0.70593625,-6.3722156e-17,0.0,1.0,0.0,120.0,0.0,1.0,0.0
6,0.02197885,0.011035616,0.08731632,0.038893312,0.0,70.0,0.0,0.67099154,0.7012774,7.992592e-17,0.0,1.0,0.0,140.0,0.0,1.0,0.0
7,0.021968726,0.011018326,0.08727885,0.038909476,0.0,80.0,0.0,0.69999576,0.7400906,-8.968326e-16,0.0,1.0,0.0,160.0,0.0,1.0,0.0
8,0.021958154,0.011011677,0.08737814,0.038917784,0.0,90.0,0.0,0.6953043,0.73901594,-2.1552783e-15,0.0,1.0,0.0,180.0,0.0,1.0,0.0
9,0.02196757,0.011013674,0.08735034,0.038952477,0.0,100.0,0.0,0.7151754,0.74259025,-2.2759604e-15,0.0,1.0,0.0,200.0,0.0,1.0,0.0
10,0.021958929,0.0110170115,0.08724426,0.039123863,0.0,110.0,0.0,0.7180989,0.75091237,-1.4464026e-15,0.0,1.0,0.0,220.0,0.0,1.0,0.0
11,0.021978224,0.011027322,0.08722646,0.03923801,0.0,120.0,0.0,0.7316405,0.7490343,-5.0904467e-16,0.0,1.0,0.0,240.0,0.0,1.0,0.0
12,0.021985967,0.011027424,0.087185845,0.039415848,0.0,130.0,0.0,0.7182705,0.74018013,-7.947343e-16,0.0,1.0,0.0,260.0,0.0,1.0,0.0
13,0.021995094,0.011020502,0.08713758,0.039658386,0.0,140.0,0.0,0.72851205,0.7485858,-1.957774e-15,0.0,1.0,0.0,280.0,0.0,1.0,0.0
14,0.021994604,0.011018103,0.08701002,0.039890293,0.0,150.0,0.0,0.7360336,0.75493544,-6.479714e-16,0.0,1.0,0.0,300.0,0.0,1.0,0.0
15,0.022010295,0.011018747,0.08695458,0.040046614,0.0,160.0,0.0005143024609424174,0.73503196,0.7587784,0.01147488,0.0,1.0,0.0,320.0,0.0,1.0,0.0
16,0.022010233,0.011023139,0.08687229,0.040181763,0.0,170.0,0.0,0.7400625,0.7557441,-1.742233e-15,0.0,1.0,0.0,340.0,0.0,0.9998724489795918,0.0
17,0.021997726,0.011017995,0.08676478,0.040300917,0.0,180.0,0.0006447412306442857,0.75020075,0.7697675,0.071004346,0.0,1.0,0.0,360.0,0.0,0.9994897959183674,0.0
18,0.021998351,0.011017,0.08668615,0.040446553,0.0,190.0,0.0027802977710962296,0.7504379,0.7655722,0.0006731823,0.0,1.0,0.0,380.0,0.0,0.9998724489795918,0.0
19,0.022000208,0.011023389,0.08663964,0.040557183,0.0,200.0,0.0,0.75572026,0.7734544,7.7106256e-16,0.0,1.0,0.0,400.0,0.0,0.9998724489795918,0.0
20,0.02198809,0.011023516,0.08644396,0.040701017,0.0,210.0,0.0,0.75740016,0.7643467,-1.8751505e-15,0.0,1.0,0.0,420.0,0.0,1.0,0.0
21,0.02200126,0.011024596,0.086309135,0.040884126,0.0,220.0,0.0016604266711510718,0.7570069,0.7712896,0.020087618,0.0,1.0,0.0,440.0,0.0,0.9997448979591836,0.0
22,0.022012224,0.011025799,0.086164795,0.04101711,0.0,230.0,0.002824135066475719,0.76016724,0.77219504,-0.1902739,0.0,1.0,0.0,460.0,0.0,0.9998724489795918,0.0
23,0.022013346,0.011021813,0.08601803,0.041183233,0.0,240.0,0.009816252742893994,0.76526916,0.7706555,-0.16573136,0.0,1.0,0.0,480.0,0.0,0.9998724489795918,0.0
24,0.022016633,0.011025494,0.08585782,0.041359767,0.0,250.0,0.00318947370396927,0.75443953,0.7690501,-0.12221856,0.0,1.0,0.0,500.0,0.0,0.9998724489795918,0.0
25,0.022006597,0.011023543,0.085760705,0.041490532,0.0,260.0,0.003279550961451605,0.7681515,0.7775004,-0.4382443,0.0,1.0,0.0,520.0,0.0,1.0,0.0
26,0.022001622,0.011021688,0.085592605,0.04163507,0.0,270.0,0.0025686930457595736,0.75781226,0.7722582,-0.12760907,0.0,1.0,0.0,540.0,0.0,1.0,0.0
27,0.02199076,0.011022047,0.085412964,0.041819938,0.0,280.0,0.0005837735952809453,0.7522557,0.777709,-0.008935923,0.0,1.0,0.0,560.0,0.0,0.9997448979591836,0.0
28,0.021989267,0.0110217035,0.085291214,0.041935947,0.0,290.0,0.0011025839485228062,0.7298573,0.77392995,-0.04353608,0.0,1.0,0.0,580.0,0.0,1.0,0.0
29,0.021997485,0.0110262055,0.08519788,0.042060226,0.0,300.0,0.004846775205805898,0.7020913,0.7888235,-0.44932207,0.0,1.0,0.0,600.0,0.0,1.0,0.0
30,0.021999082,0.011021851,0.08504011,0.042183027,0.0,310.0,0.00823670401587151,0.67508584,0.78324705,-0.1794509,0.0,1.0,0.0,620.0,0.0,0.9998724489795918,0.0
31,0.021999812,0.011023479,0.08496627,0.042234596,0.0,320.0,0.011060291319154203,0.6542257,0.7898082,0.12943807,0.0,1.0,0.0,640.0,0.0,0.9997448979591836,0.0
32,0.021998882,0.011027184,0.084837094,0.042319283,0.0,330.0,0.008288434109999798,0.62784106,0.78218186,-0.37680486,0.0,1.0,0.0,660.0,0.0,0.9998724489795918,0.0
33,0.021995159,0.011027198,0.08467668,0.042399347,0.0,340.0,0.0003045889316126704,0.63091725,0.78209794,-0.033777684,0.0,1.0,0.0,680.0,0.0,1.0,0.0
34,0.021995444,0.011030284,0.08453376,0.042511597,0.0,350.0,0.008347092720214278,0.61394644,0.78099364,-0.055562593,0.0,1.0,0.0,700.0,0.0,0.9998724489795918,0.0
35,0.02200159,0.011029427,0.084368825,0.042623285,0.0,360.0,0.005671955310390331,0.61086357,0.77928984,0.04874685,0.0,1.0,0.0,720.0,0.0062500000931322575,0.9997448979591836,0.0062500000931322575
36,0.022001252,0.011032248,0.08422467,0.042709526,0.0,370.0,0.011834586039185524,0.6195787,0.7852632,0.16500005,0.0,1.0,0.0,740.0,0.0,0.9997448979591836,0.0
37,0.021995224,0.01103244,0.08408536,0.042785265,0.0,380.0,0.0006706724889227189,0.5830484,0.7799196,0.013475373,0.0,1.0,0.0,760.0,0.0062500000931322575,0.999234693877551,0.0062500000931322575
38,0.021991536,0.011031841,0.083994284,0.04284741,0.0,390.0,0.0038705937331542373,0.6463518,0.78117454,-0.8863825,0.0,1.0,0.0,780.0,0.0,0.9997448979591836,0.0
39,0.02198641,0.011032699,0.08390387,0.042897556,0.0,400.0,0.0011500768014229834,0.607118,0.78690755,0.021074114,0.0,1.0,0.0,800.0,0.0,0.9998724489795918,0.0
40,0.02198477,0.011032576,0.083796665,0.042959988,0.0,410.0,0.0007057171314954758,0.62718123,0.7853933,-0.12951353,0.0,1.0,0.0,820.0,0.0,0.9997448979591836,0.0
41,0.021979641,0.011031057,0.08370555,0.04301971,0.0,420.0,0.04067347152158618,0.6244463,0.7810575,-0.19789177,0.0,1.0,0.0,840.0,0.0,1.0,0.0
42,0.021980692,0.011031317,0.08357566,0.043112613,0.0,430.0,0.041091174993198365,0.616792,0.78944564,-0.015391875,0.0,1.0,0.0,860.0,0.0,0.9996173469387756,0.0
43,0.021979883,0.011033641,0.08351472,0.043159537,0.0,440.0,0.061714375391602516,0.63860977,0.7824124,-0.99570787,0.0,1.0,0.0,880.0,0.0,0.9994897959183673,0.0
44,0.021980714,0.011030139,0.08347583,0.04319206,0.0,450.0,0.04803077262477018,0.61901915,0.779826,0.91681534,0.0,0.9997448979591836,0.0,900.0,0.0,0.9997448979591836,0.0
45,0.02198436,0.011030212,0.08342297,0.04323256,0.0,460.0,0.0034741628041956574,0.6477998,0.77775836,0.26891738,0.0,1.0,0.0,920.0,0.0,0.9997448979591836,0.0
46,0.02198379,0.011028823,0.08333265,0.043301232,0.0,470.0,0.11143468739464879,0.61812776,0.7875818,0.15130472,0.0,0.9997448979591836,0.0,940.0,0.0,0.9998724489795918,0.0
47,0.021988805,0.0110296,0.083288684,0.043341,0.0,480.0,0.11735659488476813,0.6220584,0.78715175,2.0573564,0.0,0.9989795918367347,0.0,960.0,0.0,0.9996173469387755,0.0
48,0.021991657,0.011029021,0.083256744,0.04335863,0.0,490.0,0.09038145584054291,0.6636133,0.7861225,-0.27393535,0.0,1.0,0.0,980.0,0.0062500000931322575,0.9996173469387755,0.0062500000931322575
49,0.021993682,0.011026904,0.08320343,0.043384254,0.0,500.0,0.021977728232741356,0.64281213,0.7883465,0.99203974,0.0,0.9994897959183673,0.0,1000.0,0.0,0.9998724489795918,0.0
50,0.021998474,0.011028114,0.083178885,0.043394063,0.0,510.0,0.113484937697649,0.6602095,0.78230906,-0.17761298,0.0,0.9994897959183673,0.0,1020.0,0.0,0.9997448979591836,0.0
51,0.02199179,0.011026397,0.08313046,0.04342448,0.0,520.0,0.036387555,0.6718364,0.7826071,-0.974172,0.0,1.0,0.0,1040.0,0.0,0.9996173469387755,0.0
52,0.021992635,0.011025009,0.08309153,0.04346337,0.0,530.0,0.117543235,0.65614724,0.7795161,0.28532392,0.0,0.999234693877551,0.0,1060.0,0.0062500000931322575,0.9998724489795918,0.0062500000931322575
53,0.021993885,0.01102302,0.0830406,0.043501694,0.0,540.0,0.02180919039528817,0.68659735,0.77601594,-0.5022573,0.0,0.9997448979591836,0.0,1080.0,0.0062500000931322575,0.999234693877551,0.0062500000931322575
54,0.021990282,0.0110237645,0.08298295,0.043545336,0.0,550.0,0.14832959,0.6459243,0.76855016,-0.685079,0.0,0.9997448979591836,0.0,1100.0,0.0062500000931322575,0.9996173469387755,0.0062500000931322575
55,0.02199423,0.0110250525,0.08293541,0.04357964,0.0,560.0,0.09440609,0.62632763,0.76877654,0.20978835,0.0,1.0,0.0,1120.0,0.0,0.9987244897959184,0.0
56,0.021995578,0.011026984,0.0828467,0.04363684,0.0,570.0,0.4389035,0.6434512,0.76719457,-0.1300349,0.0,0.9997448979591836,0.0,1140.0,0.0,0.9992346938775512,0.0
57,0.02200203,0.011029038,0.08281963,0.043673445,0.0,580.0,0.22547826,0.5982954,0.75083494,-0.7401009,0.0,0.9997448979591836,0.0,1160.0,0.0,0.9989795918367348,0.0
58,0.022001853,0.011028546,0.08278203,0.043717172,0.0,590.0,1.1575909,0.6282511,0.7656267,2.8840528,0.0,0.9979591836734694,0.0,1180.0,0.0,0.9988520408163266,0.0
59,0.022002868,0.011027773,0.08271276,0.04377958,0.0,600.0,0.64142346,0.6514602,0.7841146,-0.6976665,0.0,0.9989795918367348,0.0,1200.0,0.0,0.999107142857143,0.0
60,0.022004843,0.011027363,0.08265843,0.04382221,0.0,610.0,0.47510368,0.62497675,0.72959435,-0.0132972,0.0,1.0,0.0,1220.0,0.0,0.9985969387755103,0.0
61,0.022004098,0.01102761,0.08258762,0.04388258,0.0,620.0,1.3154715,0.6327394,0.74260926,-0.9386857,0.0,1.0,0.0,1240.0,0.018750000279396772,0.9984693877551021,0.018750000279396772
62,0.022003043,0.011027547,0.082522824,0.04394923,0.0,630.0,2.2400358,0.6843986,0.73058367,-0.3143978,0.012500000186264515,0.9997448979591836,0.012500000186264515,1260.0,0.0,0.9993622448979593,0.0
