# {"t_start": 1653667966.664406, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-50.061353,50,29.400229
-50.08323,50,29.572063
-50.040311,50,29.740949
-50.098929,50,29.913305
-50.069954,50,30.086635
-50.039045,50,30.258469
-50.073071,50,30.430302
-50.064685,50,30.602137
-50.09155,50,30.758349
-50.086021,50,30.914562
-50.093809,50,59.373133
-50.067489,50,59.529346
-50.073926,50,59.68556
-50.102757,50,59.852105
-50.041538,50,60.023938
-50.035353,50,60.18015
-50.153672,50,60.351985
-50.062785,50,60.508197
-50.13056,50,60.673434
-50.058996,50,60.829646
-50.083524,50,89.774162
-50.042643,50,89.945996
-50.092013,50,90.103514
-50.114331,50,90.275348
-50.11215,50,90.433784
-50.089666,50,90.605619
-50.051234,50,90.777452
-50.054068,50,90.949285
-50.123701,50,91.105498
-50.031578,50,91.277837
-50.082076,50,120.172976
-50.053724,50,120.34481
-50.081651,50,120.516644
-50.069071,50,120.687531
-50.06026,50,120.859366
-50.0502,50,121.031199
-50.064444,50,121.218654
-50.066559,50,121.390489
-50.059097,50,121.562323
-50.028556,50,121.734156
-50.055849,50,150.168833
-50.122962,50,150.356289
-50.034731,50,150.512501
-50.036429,50,150.684335
-50.051669,50,150.856169
-50.04452,50,151.028003
-50.072521,50,151.184215
-50.024269,50,151.357384
-50.045767,50,151.513598
-50.066202,50,151.669809
-50.025332,50,179.916749
-50.087137,50,180.168012
-50.040391,50,180.339846
-50.017346,50,180.51168
-50.061084,50,180.683514
-50.094175,50,180.857747
-50.133039,50,181.029581
-50.042852,50,181.201415
-50.03813,50,181.358916
-50.097603,50,181.468266
-50.041534,50,209.760864
-50.073038,50,209.94832
-50.049498,50,210.105868
-50.064163,50,210.277701
-50.090095,50,210.433913
-50.056588,50,210.605747
-50.054884,50,210.777581
-50.095445,50,210.965036
-50.037903,50,211.136871
-50.051981,50,211.277461
-50.051553,50,239.468002
-50.087969,50,239.628475
-50.08898,50,239.79276
-50.067007,50,239.965959
-50.051547,50,240.122172
-50.078,50,240.278385
-50.059026,50,240.450218
-50.052918,50,240.622053
-50.032902,50,240.793886
-50.088267,50,240.934478
-50.108946,50,269.147269
-50.071776,50,269.319103
-50.048144,50,269.490937
-50.060635,50,269.662771
