epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_qf,test/episode,test/mean_F,test/mean_K,test/mean_Q,test/mean_r,test/success_rate,test/success_rate2,test/success_rate3,train/episode,train/success_rate,train/success_rate2,train/success_rate3
0,0.023874896,0.012141642,0.26366505,1.2117534,0.0,10.0,0.01487977453507483,0.5043002,0.52134407,1.03531,0.0,1.0,0.0,20.0,0.0,0.9964285714285714,0.0
1,0.023826508,0.012119907,0.17510268,0.8802976,0.0,20.0,0.001406563795171678,0.47096717,0.5785202,0.5221459,0.0,0.9997448979591836,0.0,40.0,0.0,0.9997448979591836,0.0
2,0.023845846,0.012056762,0.14373827,0.7296171,0.0,30.0,0.0,0.51152414,0.6204473,-6.9076754e-16,0.0,1.0,0.0,60.0,0.0,1.0,0.0
3,0.023904251,0.01199839,0.12800221,0.63895655,0.0,40.0,0.0,0.5968292,0.6538774,-9.242464e-16,0.0,1.0,0.0,80.0,0.0,0.9998724489795918,0.0
4,0.02396646,0.012038467,0.11934077,0.57697487,0.0,50.0,0.0007146124844439328,0.5682273,0.66131544,0.26239675,0.0,1.0,0.0,100.0,0.0,1.0,0.0
5,0.02398248,0.012038241,0.11427615,0.53210306,0.0,60.0,0.0,0.6078117,0.6458396,-1.1115853e-15,0.0,1.0,0.0,120.0,0.0,1.0,0.0
6,0.023954982,0.012055214,0.112360656,0.50004023,0.0,70.0,0.030668810664792545,0.64554536,0.71685,-0.017026775,0.0,1.0,0.0,140.0,0.0,1.0,0.0
7,0.023980916,0.012049214,0.11134085,0.47350463,0.0,80.0,0.0002954707306344062,0.62429166,0.6608934,0.06390945,0.0,1.0,0.0,160.0,0.0,0.9997448979591836,0.0
8,0.023962919,0.012050931,0.11536261,0.49790883,0.0,90.0,0.0,0.64674777,0.68409204,-1.5807957e-15,0.0,1.0,0.0,180.0,0.0,0.9998724489795918,0.0
9,0.023979796,0.012072323,0.11779966,0.48567435,0.0,100.0,0.00013347456115297973,0.6751435,0.7271458,-0.09135522,0.0,1.0,0.0,200.0,0.0,1.0,0.0
10,0.023959886,0.012079967,0.12462503,0.50938797,0.0,110.0,0.0,0.71056575,0.7408234,-1.330722e-15,0.0,1.0,0.0,220.0,0.0,1.0,0.0
11,0.023971094,0.012066513,0.13350748,0.5198396,0.0,120.0,0.03507001872640103,0.6768207,0.74987286,-0.046706736,0.0,0.9994897959183673,0.0,240.0,0.0,0.9997448979591836,0.0
12,0.0239521,0.012058428,0.14994591,0.5626953,0.0,130.0,0.0007848275708965957,0.6841062,0.7249665,0.043237444,0.0,1.0,0.0,260.0,0.0,1.0,0.0
13,0.023967441,0.012055419,0.1677883,0.6021454,0.0,140.0,0.000859484716784209,0.6833598,0.71925634,-0.0013982151,0.0,1.0,0.0,280.0,0.0,0.9998724489795918,0.0
14,0.023978401,0.012056671,0.18884519,0.65976477,0.0,150.0,0.001107736403355375,0.6675377,0.7289461,0.22443138,0.0,1.0,0.0,300.0,0.0,0.9998724489795918,0.0
15,0.023983544,0.012052134,0.20501602,0.7021755,0.0,160.0,0.029329150449484587,0.63806826,0.694595,-0.07981274,0.0,1.0,0.0,320.0,0.0,0.9996173469387755,0.0
16,0.023993144,0.012046741,0.21882941,0.7482026,0.0,170.0,0.17683828435838223,0.6343709,0.73888254,-0.07196711,0.0,1.0,0.0,340.0,0.0,0.9994897959183674,0.0
17,0.024004014,0.01205275,0.23390257,0.8052901,0.0,180.0,0.003334419510792941,0.6616324,0.7587907,-0.11536933,0.0,1.0,0.0,360.0,0.0,0.999107142857143,0.0
18,0.024008956,0.0120604765,0.24839321,0.84427804,0.0,190.0,0.06995202926918864,0.6962005,0.7483225,-0.14395444,0.0,1.0,0.0,380.0,0.0,0.9996173469387755,0.0
19,0.024004605,0.012069553,0.26041085,0.8719356,0.0,200.0,0.005539264093386009,0.5833441,0.7504723,0.09290266,0.0,1.0,0.0,400.0,0.0,0.9997448979591836,0.0
20,0.024013136,0.012065969,0.28037167,0.9294959,0.0,210.0,0.030799715,0.6053736,0.7662412,0.8403706,0.0,0.999234693877551,0.0,420.0,0.0,0.9994897959183673,0.0
21,0.024007324,0.012066011,0.296202,0.97554356,0.0,220.0,0.5090335,0.5847807,0.7275475,0.41220987,0.0,0.9994897959183674,0.0,440.0,0.0,0.9989795918367348,0.0
22,0.024017101,0.0120686935,0.3078755,1.0013332,0.0,230.0,0.051403872668743134,0.6720348,0.7425823,-0.77447206,0.0,1.0,0.0,460.0,0.0,0.9998724489795918,0.0
