# {"t_start": 1652813521.4017844, "env_id": "CheolFingersLiquid-v1"} 
r,l,t
-50.054209,50,36.01353
-50.037866,50,36.185071
-50.040856,50,36.368581
-50.037367,50,36.542115
-50.030696,50,36.71266
-50.044135,50,36.89218
-50.064605,50,37.0717
-50.055275,50,37.255208
-50.074955,50,37.430738
-50.042361,50,37.582332
-50.106676,50,66.91094
-50.145209,50,67.0755
-50.055133,50,67.241057
-50.055986,50,67.408609
-50.03208,50,67.583141
-50.154526,50,67.752688
-50.05545,50,67.927221
-50.056711,50,68.093775
-50.053744,50,68.260331
-50.048428,50,68.422896
-50.096705,50,98.101499
-50.101871,50,98.275034
-50.12681,50,98.451562
-50.077051,50,98.629088
-50.109393,50,98.806612
-50.073429,50,98.977156
-50.117172,50,99.153684
-50.077702,50,99.336196
-50.093304,50,99.511726
-50.044229,50,99.652349
-50.076548,50,129.17573
-50.055984,50,129.3363
-50.092748,50,129.497868
-50.101683,50,129.663425
-50.104413,50,129.833968
-50.032619,50,130.006507
-50.067352,50,130.17306
-50.062459,50,130.335626
-50.08241,50,130.504175
-50.064821,50,130.661754
-50.051464,50,160.492554
-50.077689,50,160.670001
-50.052496,50,160.846448
-50.071097,50,161.025888
-50.026875,50,161.200342
-50.04191,50,161.37081
-50.079365,50,161.549252
-50.058432,50,161.720716
-50.035249,50,161.893177
-50.030773,50,162.04271
-50.02315,50,191.862521
-50.065284,50,192.034981
-50.095314,50,192.203454
-50.104194,50,192.374919
-50.074333,50,192.539404
-50.12585,50,192.705884
-50.035221,50,192.875355
-50.042842,50,193.046818
-50.03779,50,193.21629
-50.034057,50,193.379778
-50.102286,50,223.29828
-50.048256,50,223.478716
-50.026722,50,223.650179
-50.05817,50,223.825631
-50.053877,50,223.993109
-50.047701,50,224.159588
-50.046108,50,224.336036
-50.102131,50,224.510492
-50.03817,50,224.67099
-50.075134,50,224.829494
-50.112676,50,254.647315
-50.069198,50,254.816786
-50.042753,50,254.990244
-51.411779,50,255.169685
-50.045454,50,255.339154
-50.459908,50,255.512612
-50.028771,50,255.687067
-50.133068,50,255.857535
-50.07364,50,256.028998
-50.086219,50,256.17853
-50.034748,50,286.980272
-50.040834,50,287.154729
-50.084007,50,287.331175
-50.150535,50,287.513605
-50.035321,50,287.689057
-50.059606,50,287.868496
-50.06494,50,288.061892
-50.054799,50,288.246316
-50.023982,50,288.440708
-50.05396,50,288.643075
-50.044624,50,319.508617
-50.089735,50,319.693041
-50.049631,50,319.874474
-50.05278,50,320.048929
-50.077646,50,320.229365
-50.030296,50,320.412792
-50.035529,50,320.588243
-50.062455,50,320.770673
-50.054362,50,320.954099
-50.022181,50,321.117589
-50.040764,50,351.367056
-50.043387,50,351.545499
-50.037687,50,351.734907
-50.067337,50,351.914345
-50.058701,50,352.091791
-50.042891,50,352.279205
-50.085801,50,352.458645
-50.068432,50,352.63609
-50.050681,50,352.819517
-50.032235,50,352.973036
-50.067635,50,383.160697
-50.062072,50,383.340137
-50.075735,50,383.509607
-50.021749,50,383.683066
-50.082127,50,383.85852
-50.088917,50,384.035963
-50.051039,50,384.221382
-50.026785,50,384.417769
-50.063035,50,384.597209
-50.065685,50,384.762691
-50.023287,50,415.098887
-50.070314,50,415.274338
-50.083497,50,415.460757
-50.044657,50,415.64817
-50.104372,50,415.829603
-50.032494,50,416.014027
-50.03063,50,416.194463
-50.023466,50,416.381879
-50.038145,50,416.56331
-50.02938,50,416.720819
-50.03069,50,446.970285
-50.046338,50,447.154708
-50.079123,50,447.347107
-50.07014,50,447.532528
-50.071638,50,447.721936
-50.027314,50,447.901375
-50.106934,50,448.092777
-50.090231,50,448.280192
-50.034205,50,448.464616
-50.039523,50,448.63907
-50.040568,50,479.556491
-50.067843,50,479.74
-50.103367,50,479.928495
-50.077536,50,480.104026
-50.064838,50,480.292522
-50.038099,50,480.48002
-50.062047,50,480.661535
-50.094223,50,480.843049
-50.052343,50,481.023566
-50.025822,50,481.189123
-50.024143,50,511.858078
-50.078612,50,512.038595
-50.101469,50,512.21612
-50.071659,50,512.397634
-50.070255,50,512.576157
-50.127207,50,512.761661
-50.049522,50,512.943175
-50.110017,50,513.121698
-50.052999,50,513.301217
-50.088046,50,513.466774
-50.108939,50,543.822566
-50.077506,50,543.997099
-50.02071,50,544.175622
-50.051164,50,544.353146
-50.05084,50,544.532665
-50.02137,50,544.719167
-50.050414,50,544.89769
-50.008065,50,545.07721
-50.034191,50,545.254735
-50.061922,50,545.418296
-50.089755,50,575.808026
-50.087196,50,575.988542
-50.066996,50,576.163074
-50.087924,50,576.334616
-50.076473,50,576.508152
-50.039589,50,576.684679
-50.089857,50,576.862204
-50.211541,50,577.053693
-50.145663,50,577.239196
-50.106298,50,577.40575
-50.131295,50,607.586134
-50.126083,50,607.76665
-50.144967,50,607.948165
-50.300228,50,608.128682
-50.093267,50,608.309199
-50.168324,50,608.498693
-50.091825,50,608.667242
-50.071024,50,608.848757
-50.033771,50,609.02329
-50.083016,50,609.187849
-50.090981,50,639.574558
-50.09237,50,639.758068
-50.11047,50,639.933598
-50.103038,50,640.116109
-50.104109,50,640.298621
-50.119309,50,640.483127
-50.193961,50,640.658657
-50.112038,50,640.84117
-50.130198,50,641.023681
-50.115515,50,641.180263
-50.100933,50,672.805658
-50.113953,50,672.981189
-50.120033,50,673.154725
-50.117847,50,673.334244
-50.063165,50,673.505785
-50.094671,50,673.671342
-50.098393,50,673.840889
-50.057623,50,674.011433
-50.089749,50,674.189955
-50.093036,50,674.354514
-50.101172,50,704.780119
-50.120887,50,704.957644
-50.376824,50,705.139159
-50.094022,50,705.312694
-50.092496,50,705.477254
-50.074292,50,705.651788
-50.083697,50,705.824326
-50.117866,50,705.999856
-50.088861,50,706.173392
-50.097816,50,706.323991
-50.071401,50,738.010255
-50.125495,50,738.188777
-50.497105,50,738.375278
-50.387717,50,738.566767
-50.088439,50,738.743294
-50.0884,50,738.926803
-50.098186,50,739.108318
-50.125522,50,739.287837
-50.07085,50,739.468354
-50.414039,50,739.635907
-50.089626,50,770.09893
-50.133959,50,770.27446
-50.075619,50,770.458966
-50.630467,50,770.642475
-50.142429,50,770.825984
-50.089594,50,771.007499
-50.095578,50,771.182032
-50.087616,50,771.364544
-50.084067,50,771.540075
-50.088198,50,771.703637
-50.084761,50,801.919802
-50.144191,50,802.104308
-50.097193,50,802.289813
-50.130533,50,802.474319
-50.086616,50,802.646857
-50.426693,50,802.844328
-50.111255,50,803.029833
-50.061839,50,803.218328
-50.09526,50,803.397847
-50.113744,50,803.552434
-50.101747,50,833.977057
-50.088655,50,834.15857
-50.085282,50,834.343077
-50.058747,50,834.521598
-50.2869,50,834.704111
-50.083755,50,834.882633
-50.102282,50,835.076116
-50.089207,50,835.266606
-50.105856,50,835.446126
-51.081628,50,835.60869
-50.094918,50,865.996397
-50.112309,50,866.173923
-50.08282,50,866.349453
-50.117099,50,866.535954
-50.088027,50,866.727442
-50.094318,50,866.911948
-50.108882,50,867.118396
-50.092362,50,867.305895
-50.137441,50,867.49439
-50.134656,50,867.672913
-50.107115,50,898.036279
-214.671898,50,898.234744
-50.071624,50,898.412266
-50.048694,50,898.589786
-50.072576,50,898.767308
-50.095566,50,898.942835
-50.095203,50,899.128334
-53.953192,50,899.343754
-50.092097,50,899.524266
-50.073866,50,899.681841
-50.031718,50,930.232456
-50.708122,50,930.418954
-50.038878,50,930.596475
-50.132742,50,930.759037
-50.090694,50,930.946532
-50.131551,50,931.126048
-50.06366,50,931.30257
-50.099893,50,931.471117
-50.07409,50,931.635672
-50.108749,50,931.80721
-50.114831,50,961.262778
-50.068563,50,961.433318
-50.073209,50,961.605853
-50.06536,50,961.791354
-50.067807,50,961.96289
-51.197106,50,962.147392
-51.609174,50,962.341868
-50.064579,50,962.523379
-50.056437,50,962.692921
-50.111425,50,962.83055
-50.0983,50,992.501537
-50.115538,50,992.674072
-50.056922,50,992.843616
-51.693554,50,993.030111
-50.099946,50,993.209628
